benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,Alt-2,24,0.3115,,Alt-2,3529.384615,95.57021538
,,,EffectiveQM,24,0.687222222,,EffectiveQM,3495.846154,193.2220043
,,,ILS,24,0.1557,,ILS,3693.115385,22.70746538
,,,,,,,,,
4mod5-v1_22,5,11,Alt-2,6.3,0.4863,,,,
,,,EffectiveQM,6,0.295111111,,,,
,,,ILS,6,0.1804,,,,
,,,,,,,,,
9symml_195,11,15232,Alt-2,22031.7,523.6181,,,,
,,,EffectiveQM,21923.33333,1064.292333,,,,
,,,ILS,23299.2,115.6717,,,,
,,,,,,,,,
adr4_197,13,1498,Alt-2,2049.9,53.0474,,,,
,,,EffectiveQM,2065.333333,95.88455556,,,,
,,,ILS,2150.4,20.8704,,,,
,,,,,,,,,
alu-v0_27,5,17,Alt-2,18,0.5571,,,,
,,,EffectiveQM,18,0.516777778,,,,
,,,ILS,18,0.1965,,,,
,,,,,,,,,
co14_215,15,7840,Alt-2,9427.2,424.5885,,,,
,,,EffectiveQM,9257.666667,802.3702222,,,,
,,,ILS,10269.9,78.9966,,,,
,,,,,,,,,
cycle10_2_110,12,2648,Alt-2,3472.5,101.3509,,,,
,,,EffectiveQM,3420.666667,170.0104444,,,,
,,,ILS,3467.1,18.7907,,,,
,,,,,,,,,
decod24-v2_43,4,22,Alt-2,18,0.1186,,,,
,,,EffectiveQM,18,0.181888889,,,,
,,,ILS,18,0.0622,,,,
,,,,,,,,,
ising_model_10,10,90,Alt-2,0,0.0252,,,,
,,,EffectiveQM,0,0.025333333,,,,
,,,ILS,0,0.0113,,,,
,,,,,,,,,
ising_model_13,13,120,Alt-2,0,0.0079,,,,
,,,EffectiveQM,0,0.019444444,,,,
,,,ILS,0,0.0107,,,,
,,,,,,,,,
ising_model_16,16,150,Alt-2,0,0.082,,,,
,,,EffectiveQM,0,0.324777778,,,,
,,,ILS,0,0.0852,,,,
,,,,,,,,,
misex1_241,15,2100,Alt-2,2520.3,61.3658,,,,
,,,EffectiveQM,2514.666667,105.3314444,,,,
,,,ILS,2655.3,22.0586,,,,
,,,,,,,,,
mod5mils_65,5,16,Alt-2,12,0.143,,,,
,,,EffectiveQM,12,0.258,,,,
,,,ILS,12,0.0752,,,,
,,,,,,,,,
qft_10,10,90,Alt-2,87.6,5.2386,,,,
,,,EffectiveQM,87,15.05833333,,,,
,,,ILS,91.5,1.438,,,,
,,,,,,,,,
qft_13,13,156,Alt-2,171.3,13.0213,,,,
,,,EffectiveQM,168.3333333,31.10922222,,,,
,,,ILS,177.9,2.9085,,,,
,,,,,,,,,
qft_16,16,240,Alt-2,279.3,26.3135,,,,
,,,EffectiveQM,274.6666667,84.47066667,,,,
,,,ILS,289.8,4.9963,,,,
,,,,,,,,,
qft_20,20,380,Alt-2,471,46.0452,,,,
,,,EffectiveQM,462,202.6887778,,,,
,,,ILS,490.2,8.3218,,,,
,,,,,,,,,
radd_250,13,1405,Alt-2,1929,55.2232,,,,
,,,EffectiveQM,1902.666667,106.555,,,,
,,,ILS,1968.6,14.9007,,,,
,,,,,,,,,
rd73_252,10,2319,Alt-2,3256.8,67.1796,,,,
,,,EffectiveQM,3230,159.2971111,,,,
,,,ILS,3406.2,20.5015,,,,
,,,,,,,,,
rd84_142,15,154,Alt-2,172.5,13.4701,,,,
,,,EffectiveQM,171.6666667,24.61711111,,,,
,,,ILS,174.9,2.6382,,,,
,,,,,,,,,
rd84_253,12,5960,Alt-2,9126,234.2399,,,,
,,,EffectiveQM,9044.666667,355.6527778,,,,
,,,ILS,9306,62.2398,,,,
,,,,,,,,,
sqn_258,10,4459,Alt-2,6092.7,109.7714,,,,
,,,EffectiveQM,6013.333333,226.0487778,,,,
,,,ILS,6301.5,40.3143,,,,
,,,,,,,,,
square_root_7,15,3089,Alt-2,4772.7,135.7384,,,,
,,,EffectiveQM,4629,338.2577778,,,,
,,,ILS,4691.7,38.9511,,,,
,,,,,,,,,
sym6_145,7,1701,Alt-2,1962.6,45.8792,,,,
,,,EffectiveQM,1923,59.08644444,,,,
,,,ILS,2023.5,9.7807,,,,
,,,,,,,,,
sym9_193,11,15232,Alt-2,22031.7,521.6922,,,,
,,,EffectiveQM,21923.33333,1078.052667,,,,
,,,ILS,23299.2,113.6617,,,,
,,,,,,,,,
z4_268,11,1343,Alt-2,1830.9,45.3107,,,,
,,,EffectiveQM,1802.666667,102.6798889,,,,
,,,ILS,1880.1,12.5763,,,,
