benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,Alt-2,0,0.0011,,Alt-2,979.9153846,53.63861923
,,,EffectiveQM,0,0.001,,EffectiveQM,858.9102564,130.7104701
,,,ILS,0,3.8254,,ILS,1054.511538,37.82103654
,,,,,,,,,
4mod5-v1_22,5,11,Alt-2,0,0.003,,,,
,,,EffectiveQM,0,0.002444444,,,,
,,,ILS,0,1.2334,,,,
,,,,,,,,,
9symml_195,11,15232,Alt-2,6186.9,272.6518,,,,
,,,EffectiveQM,5295.666667,577.0763333,,,,
,,,ILS,6427.8,104.1655,,,,
,,,,,,,,,
adr4_197,13,1498,Alt-2,559.8,37.2852,,,,
,,,EffectiveQM,501.3333333,84.07244444,,,,
,,,ILS,617.55,9.0142,,,,
,,,,,,,,,
alu-v0_27,5,17,Alt-2,3,0.1678,,,,
,,,EffectiveQM,3,0.186333333,,,,
,,,ILS,3,0.61555,,,,
,,,,,,,,,
co14_215,15,7840,Alt-2,2875.8,206.6588,,,,
,,,EffectiveQM,2741.333333,649.0736667,,,,
,,,ILS,3520.95,167.8231,,,,
,,,,,,,,,
cycle10_2_110,12,2648,Alt-2,935.7,53.866,,,,
,,,EffectiveQM,882.3333333,108.7282222,,,,
,,,ILS,1107.9,53.5513,,,,
,,,,,,,,,
decod24-v2_43,4,22,Alt-2,0,0.0014,,,,
,,,EffectiveQM,0,0.001,,,,
,,,ILS,0,8.1583,,,,
,,,,,,,,,
ising_model_10,10,90,Alt-2,0,0.0043,,,,
,,,EffectiveQM,0,0.012444444,,,,
,,,ILS,0,12.1914,,,,
,,,,,,,,,
ising_model_13,13,120,Alt-2,0,0.0025,,,,
,,,EffectiveQM,0,0.005444444,,,,
,,,ILS,7.5,25.32665,,,,
,,,,,,,,,
ising_model_16,16,150,Alt-2,0,0.017,,,,
,,,EffectiveQM,0,0.103444444,,,,
,,,ILS,0,19.438,,,,
,,,,,,,,,
misex1_241,15,2100,Alt-2,508.2,38.1293,,,,
,,,EffectiveQM,434.6666667,59.97755556,,,,
,,,ILS,559.35,52.5816,,,,
,,,,,,,,,
mod5mils_65,5,16,Alt-2,0,0.0076,,,,
,,,EffectiveQM,0,0.004333333,,,,
,,,ILS,0,0.06965,,,,
,,,,,,,,,
qft_10,10,90,Alt-2,27.3,4.0998,,,,
,,,EffectiveQM,27.33333333,12.85988889,,,,
,,,ILS,30.9,18.00285,,,,
,,,,,,,,,
qft_13,13,156,Alt-2,64.5,8.5141,,,,
,,,EffectiveQM,62,41.904,,,,
,,,ILS,73.65,13.64905,,,,
,,,,,,,,,
qft_16,16,240,Alt-2,120,18.4495,,,,
,,,EffectiveQM,115.6666667,87.82733333,,,,
,,,ILS,133.2,22.2385,,,,
,,,,,,,,,
qft_20,20,380,Alt-2,228.6,38.3749,,,,
,,,EffectiveQM,218,222.2923333,,,,
,,,ILS,252.9,74.56565,,,,
,,,,,,,,,
radd_250,13,1405,Alt-2,600.3,34.4747,,,,
,,,EffectiveQM,524.6666667,73.699,,,,
,,,ILS,634.95,17.10805,,,,
,,,,,,,,,
rd73_252,10,2319,Alt-2,951,53.7262,,,,
,,,EffectiveQM,793.3333333,122.0447778,,,,
,,,ILS,984.3,46.15885,,,,
,,,,,,,,,
rd84_142,15,154,Alt-2,58.5,7.3196,,,,
,,,EffectiveQM,56.33333333,19.82511111,,,,
,,,ILS,74.85,1.5322,,,,
,,,,,,,,,
rd84_253,12,5960,Alt-2,2580.3,114.2312,,,,
,,,EffectiveQM,2218,239.8206667,,,,
,,,ILS,2688.3,29.176,,,,
,,,,,,,,,
sqn_258,10,4459,Alt-2,1684.8,93.4897,,,,
,,,EffectiveQM,1485,166.6084444,,,,
,,,ILS,1753.65,99.70725,,,,
,,,,,,,,,
square_root_7,15,3089,Alt-2,886.5,77.9015,,,,
,,,EffectiveQM,785.6666667,214.224,,,,
,,,ILS,1119.3,36.61845,,,,
,,,,,,,,,
sym6_145,7,1701,Alt-2,519.6,25.0031,,,,
,,,EffectiveQM,460,62.55511111,,,,
,,,ILS,517.95,6.7282,,,,
,,,,,,,,,
sym9_193,11,15232,Alt-2,6186.9,273.7234,,,,
,,,EffectiveQM,5295.666667,579.1241111,,,,
,,,ILS,6394.5,141.2011,,,,
,,,,,,,,,
z4_268,11,1343,Alt-2,500.1,36.5006,,,,
,,,EffectiveQM,431.6666667,76.44277778,,,,
,,,ILS,514.8,18.66675,,,,
