benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,ILS,0,0.5959,,Alt-1,337.2346154,62.74381154
,,,Alt-1,0,0.096,,EffectiveQM,326.6025641,167.3088761
,,,EffectiveQM,0,0.086111111,,ILS,410.2846154,28.05919231
,,,,,,,,,
4mod5-v1_22,5,11,ILS,0,0.632,,,,
,,,Alt-1,0.3,0.482,,,,
,,,EffectiveQM,0,0.400555556,,,,
,,,,,,,,,
9symml_195,11,15232,ILS,2637.9,92.1646,,,,
,,,Alt-1,2042.7,238.3173,,,,
,,,EffectiveQM,2001.333333,685.2501111,,,,
,,,,,,,,,
adr4_197,13,1498,ILS,272.4,30.4097,,,,
,,,Alt-1,237,42.9623,,,,
,,,EffectiveQM,229.6666667,101.5621111,,,,
,,,,,,,,,
alu-v0_27,5,17,ILS,0,0.4744,,,,
,,,Alt-1,0,0.177,,,,
,,,EffectiveQM,0,0.176222222,,,,
,,,,,,,,,
co14_215,15,7840,ILS,806.1,92.8245,,,,
,,,Alt-1,772.8,241.8164,,,,
,,,EffectiveQM,731.6666667,733.7938889,,,,
,,,,,,,,,
cycle10_2_110,12,2648,ILS,478.5,40.6418,,,,
,,,Alt-1,399.6,63.7726,,,,
,,,EffectiveQM,380,150.6313333,,,,
,,,,,,,,,
decod24-v2_43,4,22,ILS,0,0.5767,,,,
,,,Alt-1,0,0.0641,,,,
,,,EffectiveQM,0,0.071888889,,,,
,,,,,,,,,
ising_model_10,10,90,ILS,0,0.4879,,,,
,,,Alt-1,0,0.3238,,,,
,,,EffectiveQM,0,0.254888889,,,,
,,,,,,,,,
ising_model_13,13,120,ILS,0,0.6259,,,,
,,,Alt-1,0,0.1377,,,,
,,,EffectiveQM,0,0.143444444,,,,
,,,,,,,,,
ising_model_16,16,150,ILS,0,0.661,,,,
,,,Alt-1,0,0.4973,,,,
,,,EffectiveQM,0,0.477888889,,,,
,,,,,,,,,
misex1_241,15,2100,ILS,230.1,35.8588,,,,
,,,Alt-1,191.4,34.9665,,,,
,,,EffectiveQM,187.6666667,85.25633333,,,,
,,,,,,,,,
mod5mils_65,5,16,ILS,0,0.5253,,,,
,,,Alt-1,0,0.0898,,,,
,,,EffectiveQM,0,0.098777778,,,,
,,,,,,,,,
qft_10,10,90,ILS,21,4.3583,,,,
,,,Alt-1,21,7.7992,,,,
,,,EffectiveQM,21,20.32488889,,,,
,,,,,,,,,
qft_13,13,156,ILS,44.7,10.3903,,,,
,,,Alt-1,42.6,29.1803,,,,
,,,EffectiveQM,41.33333333,57.57288889,,,,
,,,,,,,,,
qft_16,16,240,ILS,84.9,17.9604,,,,
,,,Alt-1,73.8,63.9334,,,,
,,,EffectiveQM,70,161.3802222,,,,
,,,,,,,,,
qft_20,20,380,ILS,164.4,30.5707,,,,
,,,Alt-1,139.5,163.7546,,,,
,,,EffectiveQM,132,458.5033333,,,,
,,,,,,,,,
radd_250,13,1405,ILS,256.5,29.8393,,,,
,,,Alt-1,221.1,31.1251,,,,
,,,EffectiveQM,212,86.40133333,,,,
,,,,,,,,,
rd73_252,10,2319,ILS,409.5,30.0133,,,,
,,,Alt-1,342,47.2772,,,,
,,,EffectiveQM,341.6666667,119.8408889,,,,
,,,,,,,,,
rd84_142,15,154,ILS,25.5,8.7675,,,,
,,,Alt-1,21.3,15.9947,,,,
,,,EffectiveQM,15.66666667,43.07655556,,,,
,,,,,,,,,
rd84_253,12,5960,ILS,1253.4,71.9957,,,,
,,,Alt-1,1047.3,152.6141,,,,
,,,EffectiveQM,1034.333333,294.2725556,,,,
,,,,,,,,,
sqn_258,10,4459,ILS,608.4,42.6483,,,,
,,,Alt-1,484.8,68.419,,,,
,,,EffectiveQM,469,159.9205556,,,,
,,,,,,,,,
square_root_7,15,3089,ILS,407.7,56.0273,,,,
,,,Alt-1,390.9,136.3347,,,,
,,,EffectiveQM,335,398.2098889,,,,
,,,,,,,,,
sym6_145,7,1701,ILS,109.8,16.2414,,,,
,,,Alt-1,101.1,20.0208,,,,
,,,EffectiveQM,100.6666667,34.91711111,,,,
,,,,,,,,,
sym9_193,11,15232,ILS,2637.9,90.5698,,,,
,,,Alt-1,2042.7,237.4978,,,,
,,,EffectiveQM,2001.333333,684.6494444,,,,
,,,,,,,,,
z4_268,11,1343,ILS,218.7,23.6782,,,,
,,,Alt-1,196.2,33.6854,,,,
,,,EffectiveQM,187.3333333,72.75755556,,,,
