benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,Alt-1,0,0.0007,,Alt-1,1031.503846,45.50170769
,,,EffectiveQM,0,0.000666667,,EffectiveQM,1015.923077,112.4696581
,,,ILS,0,0.0048,,ILS,1149.796154,40.65140769
,,,,,,,,,
4mod5-v1_22,5,11,Alt-1,0,0.0018,,,,
,,,EffectiveQM,0,0.001777778,,,,
,,,ILS,0,0.0048,,,,
,,,,,,,,,
9symml_195,11,15232,Alt-1,6745.2,248.3773,,,,
,,,EffectiveQM,6684.666667,550.6994444,,,,
,,,ILS,7561.8,184.5852,,,,
,,,,,,,,,
adr4_197,13,1498,Alt-1,547.5,25.9739,,,,
,,,EffectiveQM,536.6666667,73.29277778,,,,
,,,ILS,608.4,37.8939,,,,
,,,,,,,,,
alu-v0_27,5,17,Alt-1,3,0.0752,,,,
,,,EffectiveQM,3,0.140222222,,,,
,,,ILS,3,0.3325,,,,
,,,,,,,,,
co14_215,15,7840,Alt-1,3372,181.9774,,,,
,,,EffectiveQM,3291,591.8531111,,,,
,,,ILS,3750.6,129.4221,,,,
,,,,,,,,,
cycle10_2_110,12,2648,Alt-1,1039.5,42.4598,,,,
,,,EffectiveQM,1012,108.0728889,,,,
,,,ILS,1133.4,59.7997,,,,
,,,,,,,,,
decod24-v2_43,4,22,Alt-1,0,0.0007,,,,
,,,EffectiveQM,0,0.000555556,,,,
,,,ILS,0,0.0069,,,,
,,,,,,,,,
ising_model_10,10,90,Alt-1,0,0.0027,,,,
,,,EffectiveQM,0,0.004555556,,,,
,,,ILS,0,0.0029,,,,
,,,,,,,,,
ising_model_13,13,120,Alt-1,0,0.0044,,,,
,,,EffectiveQM,0,0.004333333,,,,
,,,ILS,0,0.0103,,,,
,,,,,,,,,
ising_model_16,16,150,Alt-1,0,0.0296,,,,
,,,EffectiveQM,0,0.068444444,,,,
,,,ILS,0,0.0347,,,,
,,,,,,,,,
misex1_241,15,2100,Alt-1,497.1,22.1556,,,,
,,,EffectiveQM,490,51.001,,,,
,,,ILS,561.3,32.3052,,,,
,,,,,,,,,
mod5mils_65,5,16,Alt-1,0,0.0038,,,,
,,,EffectiveQM,0,0.003777778,,,,
,,,ILS,0,0.0036,,,,
,,,,,,,,,
qft_10,10,90,Alt-1,28.8,3.9387,,,,
,,,EffectiveQM,27,8.818222222,,,,
,,,ILS,28.2,3.7638,,,,
,,,,,,,,,
qft_13,13,156,Alt-1,66,13.8928,,,,
,,,EffectiveQM,63.66666667,31.23022222,,,,
,,,ILS,69,8.2504,,,,
,,,,,,,,,
qft_16,16,240,Alt-1,121.8,27.8835,,,,
,,,EffectiveQM,120.3333333,66.77922222,,,,
,,,ILS,124.5,12.7225,,,,
,,,,,,,,,
radd_250,13,1405,Alt-1,548.7,23.753,,,,
,,,EffectiveQM,531.3333333,68.25011111,,,,
,,,ILS,611.4,41.5264,,,,
,,,,,,,,,
rd73_252,10,2319,Alt-1,894.3,41.2343,,,,
,,,EffectiveQM,889.3333333,93.14244444,,,,
,,,ILS,987.3,52.5492,,,,
,,,,,,,,,
rd84_142,15,154,Alt-1,59.4,6.8516,,,,
,,,EffectiveQM,57,16.74866667,,,,
,,,ILS,64.8,8.0569,,,,
,,,,,,,,,
rd84_253,12,5960,Alt-1,2775.3,115.5408,,,,
,,,EffectiveQM,2744.333333,215.0666667,,,,
,,,ILS,3108.9,102.7917,,,,
,,,,,,,,,
sqn_258,10,4459,Alt-1,1614.9,63.0991,,,,
,,,EffectiveQM,1589.666667,186.6114444,,,,
,,,ILS,1865.1,73.5393,,,,
,,,,,,,,,
square_root_7,15,3089,Alt-1,808.8,74.4503,,,,
,,,EffectiveQM,762,193.9443333,,,,
,,,ILS,828.3,64.4327,,,,
,,,,,,,,,
sym6_145,7,1701,Alt-1,487.5,18.1672,,,,
,,,EffectiveQM,482,42.96888889,,,,
,,,ILS,503.4,25.0409,,,,
,,,,,,,,,
sym9_193,11,15232,Alt-1,6745.2,248.1804,,,,
,,,EffectiveQM,6684.666667,552.8914444,,,,
,,,ILS,7561.8,187.5627,,,,
,,,,,,,,,
z4_268,11,1343,Alt-1,464.1,24.9898,,,,
,,,EffectiveQM,445.3333333,72.61588889,,,,
,,,ILS,523.5,32.2935,,,,
