benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,Alt-1,24,0.3078,,Alt-1,2663.642308,99.71528462
,,,EffectiveQM,24,0.791444444,,EffectiveQM,2639.371795,297.473735
,,,ILS,24,0.1462,,ILS,2772.934615,23.47781538
,,,,,,,,,
4mod5-v1_22,5,11,Alt-1,6,0.4698,,,,
,,,EffectiveQM,6,0.425888889,,,,
,,,ILS,6,0.0901,,,,
,,,,,,,,,
9symml_195,11,15232,Alt-1,16338.9,494.0942,,,,
,,,EffectiveQM,16240,1525.913333,,,,
,,,ILS,16947.3,108.8339,,,,
,,,,,,,,,
adr4_197,13,1498,Alt-1,1591.5,55.2991,,,,
,,,EffectiveQM,1567.666667,162.1351111,,,,
,,,ILS,1615.5,17.9178,,,,
,,,,,,,,,
alu-v0_27,5,17,Alt-1,12,0.4551,,,,
,,,EffectiveQM,12,0.84,,,,
,,,ILS,12,0.1887,,,,
,,,,,,,,,
co14_215,15,7840,Alt-1,8010.3,430.279,,,,
,,,EffectiveQM,7890.333333,1246.742778,,,,
,,,ILS,8668.5,123.0591,,,,
,,,,,,,,,
cycle10_2_110,12,2648,Alt-1,2770.2,101.6935,,,,
,,,EffectiveQM,2728,334.8551111,,,,
,,,ILS,2801.7,23.6584,,,,
,,,,,,,,,
decod24-v2_43,4,22,Alt-1,18,0.1396,,,,
,,,EffectiveQM,18,0.271777778,,,,
,,,ILS,18,0.0661,,,,
,,,,,,,,,
ising_model_10,10,90,Alt-1,0,0.0202,,,,
,,,EffectiveQM,0,0.072444444,,,,
,,,ILS,0,0.0035,,,,
,,,,,,,,,
ising_model_13,13,120,Alt-1,0,0.02,,,,
,,,EffectiveQM,0,0.018888889,,,,
,,,ILS,0,0.0027,,,,
,,,,,,,,,
ising_model_16,16,150,Alt-1,0,0.1366,,,,
,,,EffectiveQM,0,0.172666667,,,,
,,,ILS,0,0.0235,,,,
,,,,,,,,,
misex1_241,15,2100,Alt-1,2048.1,61.0579,,,,
,,,EffectiveQM,2032,179.1106667,,,,
,,,ILS,2073.9,22.1347,,,,
,,,,,,,,,
mod5mils_65,5,16,Alt-1,12,0.1464,,,,
,,,EffectiveQM,12,0.259555556,,,,
,,,ILS,12,0.0574,,,,
,,,,,,,,,
qft_10,10,90,Alt-1,47.7,8.155,,,,
,,,EffectiveQM,45.33333333,18.78988889,,,,
,,,ILS,54.3,1.4522,,,,
,,,,,,,,,
qft_13,13,156,Alt-1,103.8,24.5877,,,,
,,,EffectiveQM,99.33333333,59.43977778,,,,
,,,ILS,109.5,2.8062,,,,
,,,,,,,,,
qft_16,16,240,Alt-1,174.9,44.0227,,,,
,,,EffectiveQM,171.3333333,126.6162222,,,,
,,,ILS,187.2,7.3858,,,,
,,,,,,,,,
qft_20,20,380,Alt-1,305.1,92.3128,,,,
,,,EffectiveQM,294,321.5722222,,,,
,,,ILS,337.8,6.3092,,,,
,,,,,,,,,
radd_250,13,1405,Alt-1,1496.7,50.2441,,,,
,,,EffectiveQM,1470,140.3634444,,,,
,,,ILS,1527.6,11.2964,,,,
,,,,,,,,,
rd73_252,10,2319,Alt-1,2450.1,82.8125,,,,
,,,EffectiveQM,2436.666667,265.0783333,,,,
,,,ILS,2513.1,19.6128,,,,
,,,,,,,,,
rd84_142,15,154,Alt-1,145.2,17.731,,,,
,,,EffectiveQM,142,44.26377778,,,,
,,,ILS,146.7,2.5955,,,,
,,,,,,,,,
rd84_253,12,5960,Alt-1,6501.9,223.5446,,,,
,,,EffectiveQM,6458,661.2077778,,,,
,,,ILS,6734.4,51.3541,,,,
,,,,,,,,,
sqn_258,10,4459,Alt-1,4631.1,141.4851,,,,
,,,EffectiveQM,4600.666667,396.3175556,,,,
,,,ILS,4765.8,32.8642,,,,
,,,,,,,,,
square_root_7,15,3089,Alt-1,3227.7,170.7913,,,,
,,,EffectiveQM,3167,463.8138889,,,,
,,,ILS,3528.6,43.9125,,,,
,,,,,,,,,
sym6_145,7,1701,Alt-1,1603.2,40.7198,,,,
,,,EffectiveQM,1587.333333,120.3827778,,,,
,,,ILS,1654.5,9.7481,,,,
,,,,,,,,,
sym9_193,11,15232,Alt-1,16338.9,498.2317,,,,
,,,EffectiveQM,16240,1523.726667,,,,
,,,ILS,16947.3,108.7927,,,,
,,,,,,,,,
z4_268,11,1343,Alt-1,1397.4,53.8399,,,,
,,,EffectiveQM,1382,141.1351111,,,,
,,,ILS,1410.6,16.1114,,,,
