benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,Alt-1,24,0.2985,,Alt-1,3520.442308,69.21348077
,,,EffectiveQM,24,0.687222222,,EffectiveQM,3495.846154,193.2220043
,,,ILS,24,0.1557,,ILS,3693.115385,22.70746538
,,,,,,,,,
4mod5-v1_22,5,11,Alt-1,6,0.3686,,,,
,,,EffectiveQM,6,0.295111111,,,,
,,,ILS,6,0.1804,,,,
,,,,,,,,,
9symml_195,11,15232,Alt-1,22014,350.7111,,,,
,,,EffectiveQM,21923.33333,1064.292333,,,,
,,,ILS,23299.2,115.6717,,,,
,,,,,,,,,
adr4_197,13,1498,Alt-1,2067.6,36.0188,,,,
,,,EffectiveQM,2065.333333,95.88455556,,,,
,,,ILS,2150.4,20.8704,,,,
,,,,,,,,,
alu-v0_27,5,17,Alt-1,18,0.3799,,,,
,,,EffectiveQM,18,0.516777778,,,,
,,,ILS,18,0.1965,,,,
,,,,,,,,,
co14_215,15,7840,Alt-1,9334.2,260.234,,,,
,,,EffectiveQM,9257.666667,802.3702222,,,,
,,,ILS,10269.9,78.9966,,,,
,,,,,,,,,
cycle10_2_110,12,2648,Alt-1,3445.5,75.8046,,,,
,,,EffectiveQM,3420.666667,170.0104444,,,,
,,,ILS,3467.1,18.7907,,,,
,,,,,,,,,
decod24-v2_43,4,22,Alt-1,18,0.0937,,,,
,,,EffectiveQM,18,0.181888889,,,,
,,,ILS,18,0.0622,,,,
,,,,,,,,,
ising_model_10,10,90,Alt-1,0,0.0475,,,,
,,,EffectiveQM,0,0.025333333,,,,
,,,ILS,0,0.0113,,,,
,,,,,,,,,
ising_model_13,13,120,Alt-1,0,0.0302,,,,
,,,EffectiveQM,0,0.019444444,,,,
,,,ILS,0,0.0107,,,,
,,,,,,,,,
ising_model_16,16,150,Alt-1,0,0.7246,,,,
,,,EffectiveQM,0,0.324777778,,,,
,,,ILS,0,0.0852,,,,
,,,,,,,,,
misex1_241,15,2100,Alt-1,2541.6,45.9329,,,,
,,,EffectiveQM,2514.666667,105.3314444,,,,
,,,ILS,2655.3,22.0586,,,,
,,,,,,,,,
mod5mils_65,5,16,Alt-1,12,0.1001,,,,
,,,EffectiveQM,12,0.258,,,,
,,,ILS,12,0.0752,,,,
,,,,,,,,,
qft_10,10,90,Alt-1,88.5,5.2711,,,,
,,,EffectiveQM,87,15.05833333,,,,
,,,ILS,91.5,1.438,,,,
,,,,,,,,,
qft_13,13,156,Alt-1,170.1,18.1597,,,,
,,,EffectiveQM,168.3333333,31.10922222,,,,
,,,ILS,177.9,2.9085,,,,
,,,,,,,,,
qft_16,16,240,Alt-1,278.1,33.9365,,,,
,,,EffectiveQM,274.6666667,84.47066667,,,,
,,,ILS,289.8,4.9963,,,,
,,,,,,,,,
qft_20,20,380,Alt-1,471.3,67.2613,,,,
,,,EffectiveQM,462,202.6887778,,,,
,,,ILS,490.2,8.3218,,,,
,,,,,,,,,
radd_250,13,1405,Alt-1,1920.3,35.1945,,,,
,,,EffectiveQM,1902.666667,106.555,,,,
,,,ILS,1968.6,14.9007,,,,
,,,,,,,,,
rd73_252,10,2319,Alt-1,3252.6,49.4081,,,,
,,,EffectiveQM,3230,159.2971111,,,,
,,,ILS,3406.2,20.5015,,,,
,,,,,,,,,
rd84_142,15,154,Alt-1,172.8,8.3848,,,,
,,,EffectiveQM,171.6666667,24.61711111,,,,
,,,ILS,174.9,2.6382,,,,
,,,,,,,,,
rd84_253,12,5960,Alt-1,9111.6,169.6748,,,,
,,,EffectiveQM,9044.666667,355.6527778,,,,
,,,ILS,9306,62.2398,,,,
,,,,,,,,,
sqn_258,10,4459,Alt-1,6023.4,99.2443,,,,
,,,EffectiveQM,6013.333333,226.0487778,,,,
,,,ILS,6301.5,40.3143,,,,
,,,,,,,,,
square_root_7,15,3089,Alt-1,4774.8,129.7305,,,,
,,,EffectiveQM,4629,338.2577778,,,,
,,,ILS,4691.7,38.9511,,,,
,,,,,,,,,
sym6_145,7,1701,Alt-1,1933.8,26.5697,,,,
,,,EffectiveQM,1923,59.08644444,,,,
,,,ILS,2023.5,9.7807,,,,
,,,,,,,,,
sym9_193,11,15232,Alt-1,22014,352.6872,,,,
,,,EffectiveQM,21923.33333,1078.052667,,,,
,,,ILS,23299.2,113.6617,,,,
,,,,,,,,,
z4_268,11,1343,Alt-1,1839.3,33.2835,,,,
,,,EffectiveQM,1802.666667,102.6798889,,,,
,,,ILS,1880.1,12.5763,,,,
