benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,ILS,0,0.5959,,EffectiveQM,326.6025641,167.3088761
,,,EffectiveQM,0,0.086111111,,ILS,410.2846154,28.05919231
,,,SAD2,0.9,8.352903605,,SAD2,447.9692308,207.7414289
,,,SID3,0,91.69692659,,SID3,518.7692308,581.3775693
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,0.3305649312781842,,,,,
,,,EffectiveQM vs SAD2 effect size,0.44721359549995787,,,,,
,,,,,,,,
4mod5-v1_22,5,11,ILS,0,0.632,,,,
,,,EffectiveQM,0,0.400555556,,,,
,,,SAD2,0.9,4.694765759,,,,
,,,SID3,0,55.08378315,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,0.3305649312781842,,,,,
,,,EffectiveQM vs SAD2 effect size,0.44721359549995787,,,,,
,,,,,,,,
9symml_195,11,15232,ILS,2637.9,92.1646,,,,
,,,EffectiveQM,2001.333333,685.2501111,,,,
,,,SAD2,2325.6,1473.313335,,,,
,,,SID3,2118,1355.510943,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,1.9286955056677873e-12,,,,,
,,,EffectiveQM vs ILS effect size,7.508396431937371,,,,,
,,,EffectiveQM vs SAD2 p-value,0.00023342902482904364,,,,,
,,,EffectiveQM vs SAD2 effect size,2.0472030962768106,,,,,
,,,,,,,,
adr4_197,13,1498,ILS,272.4,30.4097,,,,
,,,EffectiveQM,229.6666667,101.5621111,,,,
,,,SAD2,297.3,109.2916003,,,,
,,,SID3,303,466.064478,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,2.1588961580089046e-09,,,,,
,,,EffectiveQM vs ILS effect size,4.898785324319995,,,,,
,,,EffectiveQM vs SAD2 p-value,6.859103645324596e-13,,,,,
,,,EffectiveQM vs SAD2 effect size,7.9783380193509235,,,,,
,,,,,,,,
alu-v0_27,5,17,ILS,0,0.4744,,,,
,,,EffectiveQM,0,0.176222222,,,,
,,,SAD2,3,6.138863277,,,,
,,,SID3,0,48.90856695,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,0.0,,,,,
,,,EffectiveQM vs SAD2 effect size,inf,,,,,
,,,,,,,,
co14_215,15,7840,ILS,806.1,92.8245,,,,
,,,EffectiveQM,731.6666667,733.7938889,,,,
,,,SAD2,1471.2,778.7956569,,,,
,,,SID3,753,1018.534118,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,0.001953247397569287,,,,,
,,,EffectiveQM vs ILS effect size,1.6194122155098858,,,,,
,,,EffectiveQM vs SAD2 p-value,9.15952593471652e-09,,,,,
,,,EffectiveQM vs SAD2 effect size,4.464796274390479,,,,,
,,,,,,,,
cycle10_2_110,12,2648,ILS,478.5,40.6418,,,,
,,,EffectiveQM,380,150.6313333,,,,
,,,SAD2,542.4,163.9600113,,,,
,,,SID3,1338,533.4949113,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,1.2610858620585704e-10,,,,,
,,,EffectiveQM vs ILS effect size,5.845033830969261,,,,,
,,,EffectiveQM vs SAD2 p-value,6.540377812868222e-07,,,,,
,,,EffectiveQM vs SAD2 effect size,3.3359641588971454,,,,,
,,,,,,,,
decod24-v2_43,4,22,ILS,0,0.5767,,,,
,,,EffectiveQM,0,0.071888889,,,,
,,,SAD2,0,4.813669777,,,,
,,,SID3,0,81.04000449,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,nan,,,,,
,,,EffectiveQM vs SAD2 effect size,nan,,,,,
,,,,,,,,
ising_model_10,10,90,ILS,0,0.4879,,,,
,,,EffectiveQM,0,0.254888889,,,,
,,,SAD2,15,9.011555982,,,,
,,,SID3,0,78.78622055,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,0.0,,,,,
,,,EffectiveQM vs SAD2 effect size,inf,,,,,
,,,,,,,,
ising_model_13,13,120,ILS,0,0.6259,,,,
,,,EffectiveQM,0,0.143444444,,,,
,,,SAD2,38.1,19.25786083,,,,
,,,SID3,0,59.68097949,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,4.815582044128998e-06,,,,,
,,,EffectiveQM vs SAD2 effect size,2.8714877042917824,,,,,
,,,,,,,,
ising_model_16,16,150,ILS,0,0.661,,,,
,,,EffectiveQM,0,0.477888889,,,,
,,,SAD2,69,29.68844807,,,,
,,,SID3,0,51.41879272,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,4.625250506954849e-07,,,,,
,,,EffectiveQM vs SAD2 effect size,3.4202030199666065,,,,,
,,,,,,,,
misex1_241,15,2100,ILS,230.1,35.8588,,,,
,,,EffectiveQM,187.6666667,85.25633333,,,,
,,,SAD2,348.6,125.0291469,,,,
,,,SID3,315,443.2101806,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,1.0241412951973735e-07,,,,,
,,,EffectiveQM vs ILS effect size,3.8009438889800053,,,,,
