benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,EffectiveQM,0,0.000666667,,EffectiveQM,1015.923077,112.4696581
,,,ILS,0,0.0048,,ILS,1149.796154,40.65140769
,,,SAD2,0,5.950591087,,SAD2,1428.219231,214.0677032
,,,SID3,0,0.002919436,,SID3,1054.730769,28.97572128
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,nan,,,,,
,,,EffectiveQM vs SAD2 effect size,nan,,,,,
,,,,,,,,
4mod5-v1_22,5,11,EffectiveQM,0,0.001777778,,,,
,,,ILS,0,0.0048,,,,
,,,SAD2,0,2.37907064,,,,
,,,SID3,0,0.003638268,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,nan,,,,,
,,,EffectiveQM vs SAD2 effect size,nan,,,,,
,,,,,,,,
9symml_195,11,15232,EffectiveQM,6684.666667,550.6994444,,,,
,,,ILS,7561.8,184.5852,,,,
,,,SAD2,8634.9,1658.026753,,,,
,,,SID3,6027,131.7254126,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,2.31696415514124e-13,,,,,
,,,EffectiveQM vs ILS effect size,8.499955352480473,,,,,
,,,EffectiveQM vs SAD2 p-value,1.5758840540952057e-08,,,,,
,,,EffectiveQM vs SAD2 effect size,4.309251088811143,,,,,
,,,,,,,,
adr4_197,13,1498,EffectiveQM,536.6666667,73.29277778,,,,
,,,ILS,608.4,37.8939,,,,
,,,SAD2,868.8,96.8182143,,,,
,,,SID3,669,16.5569756,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,1.3368183493475169e-09,,,,,
,,,EffectiveQM vs ILS effect size,5.0494200587598845,,,,,
,,,EffectiveQM vs SAD2 p-value,3.144918868889396e-09,,,,,
,,,EffectiveQM vs SAD2 effect size,4.782951998790287,,,,,
,,,,,,,,
alu-v0_27,5,17,EffectiveQM,3,0.140222222,,,,
,,,ILS,3,0.3325,,,,
,,,SAD2,6,2.892480803,,,,
,,,SID3,6,0.027638206,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,0.0,,,,,
,,,EffectiveQM vs SAD2 effect size,inf,,,,,
,,,,,,,,
co14_215,15,7840,EffectiveQM,3291,591.8531111,,,,
,,,ILS,3750.6,129.4221,,,,
,,,SAD2,5250,778.2183538,,,,
,,,SID3,4200,185.7098569,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,5.777222843232051e-08,,,,,
,,,EffectiveQM vs ILS effect size,3.952000694436339,,,,,
,,,EffectiveQM vs SAD2 p-value,8.127426100939559e-15,,,,,
,,,EffectiveQM vs SAD2 effect size,10.3136811175471,,,,,
,,,,,,,,
cycle10_2_110,12,2648,EffectiveQM,1012,108.0728889,,,,
,,,ILS,1133.4,59.7997,,,,
,,,SAD2,1403.1,155.5345935,,,,
,,,SID3,1137,17.4222351,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,1.4178714146528569e-05,,,,,
,,,EffectiveQM vs ILS effect size,2.6333206632820274,,,,,
,,,EffectiveQM vs SAD2 p-value,7.969130131099998e-10,,,,,
,,,EffectiveQM vs SAD2 effect size,5.215953636173738,,,,,
,,,,,,,,
decod24-v2_43,4,22,EffectiveQM,0,0.000555556,,,,
,,,ILS,0,0.0069,,,,
,,,SAD2,0,4.560423613,,,,
,,,SID3,0,0.003150463,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,nan,,,,,
,,,EffectiveQM vs SAD2 effect size,nan,,,,,
,,,,,,,,
ising_model_10,10,90,EffectiveQM,0,0.004555556,,,,
,,,ILS,0,0.0029,,,,
,,,SAD2,0,6.561441541,,,,
,,,SID3,0,0.007035494,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,nan,,,,,
,,,EffectiveQM vs SAD2 effect size,nan,,,,,
,,,,,,,,
ising_model_13,13,120,EffectiveQM,0,0.004333333,,,,
,,,ILS,0,0.0103,,,,
,,,SAD2,0,6.806917667,,,,
,,,SID3,0,0.00693965,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,nan,,,,,
,,,EffectiveQM vs SAD2 effect size,nan,,,,,
,,,,,,,,
ising_model_16,16,150,EffectiveQM,0,0.068444444,,,,
,,,ILS,0,0.0347,,,,
,,,SAD2,0,10.00201287,,,,
,,,SID3,0,0.034679174,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,nan,,,,,
,,,EffectiveQM vs SAD2 effect size,nan,,,,,
,,,,,,,,
misex1_241,15,2100,EffectiveQM,490,51.001,,,,
,,,ILS,561.3,32.3052,,,,
,,,SAD2,1090.5,120.5564088,,,,
