benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,EffectiveQM,24,0.791444444,,EffectiveQM,2639.371795,297.473735
,,,ILS,24,0.1462,,ILS,2772.934615,23.47781538
,,,SAD2,38.1,7.345154762,,SAD2,3796.603846,267.4199837
,,,SID3,96,0.486204643,,SID3,4921.846154,22.95921883
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,1.1912914812294158e-07,,,,,
,,,EffectiveQM vs SAD2 effect size,3.761672226011068,,,,,
,,,,,,,,
4mod5-v1_22,5,11,EffectiveQM,6,0.425888889,,,,
,,,ILS,6,0.0901,,,,
,,,SAD2,9.6,4.660143423,,,,
,,,SID3,9,0.250879526,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,4.4042787291820685e-08,,,,,
,,,EffectiveQM vs SAD2 effect size,4.024922359499621,,,,,
,,,,,,,,
9symml_195,11,15232,EffectiveQM,16240,1525.913333,,,,
,,,ILS,16947.3,108.8339,,,,
,,,SAD2,22627.8,2087.741517,,,,
,,,SID3,27468,98.64434111,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,8.468364531901691e-06,,,,,
,,,EffectiveQM vs ILS effect size,2.745969273922468,,,,,
,,,EffectiveQM vs SAD2 p-value,2.192907177874612e-28,,,,,
,,,EffectiveQM vs SAD2 effect size,59.415476907904804,,,,,
,,,,,,,,
adr4_197,13,1498,EffectiveQM,1567.666667,162.1351111,,,,
,,,ILS,1615.5,17.9178,,,,
,,,SAD2,2218.2,88.33356378,,,,
,,,SID3,3009,21.92470778,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,4.4519217867223575e-05,,,,,
,,,EffectiveQM vs ILS effect size,2.389185957329839,,,,,
,,,EffectiveQM vs SAD2 p-value,3.224795152651998e-18,,,,,
