benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,EffectiveQM,24,0.419444444,,EffectiveQM,3518.974359,139.8271923
,,,ILS,24,0.1176,,ILS,3709.130769,20.88747692
,,,SAD2,40.2,4.975601244,,SAD2,5491.015385,204.4897741
,,,SID3,51,0.024319887,,SID3,6523.961538,4.937010308
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,1.431300833115496e-17,,,,,
,,,EffectiveQM vs SAD2 effect size,14.788509052639485,,,,,
,,,,,,,,
4mod5-v1_22,5,11,EffectiveQM,6,0.258111111,,,,
,,,ILS,6,0.0591,,,,
,,,SAD2,9.6,4.841132426,,,,
,,,SID3,9,0.017020941,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,1.1269971106007857e-05,,,,,
,,,EffectiveQM vs SAD2 effect size,2.6832815729997472,,,,,
,,,,,,,,
9symml_195,11,15232,EffectiveQM,22183,669.6541111,,,,
,,,ILS,23413.8,118.3802,,,,
,,,SAD2,34219.8,1620.154355,,,,
,,,SID3,40017,15.59682524,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,2.4454668176477733e-08,,,,,
,,,EffectiveQM vs ILS effect size,4.186077551104641,,,,,
,,,EffectiveQM vs SAD2 p-value,1.5970322835411507e-26,,,,,
,,,EffectiveQM vs SAD2 effect size,46.80695730704178,,,,,
,,,,,,,,
adr4_197,13,1498,EffectiveQM,2115.666667,79.98888889,,,,
,,,ILS,2255.4,16.4128,,,,
,,,SAD2,3102.6,81.5248343,,,,
,,,SID3,3804,3.890790081,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,1.3167855013249634e-09,,,,,
,,,EffectiveQM vs ILS effect size,5.054221955402043,,,,,
,,,EffectiveQM vs SAD2 p-value,4.034914889793933e-16,,,,,
,,,EffectiveQM vs SAD2 effect size,12.24147707537341,,,,,
,,,,,,,,
alu-v0_27,5,17,EffectiveQM,18,0.436666667,,,,
,,,ILS,18,0.1273,,,,
,,,SAD2,31.8,2.907628918,,,,
,,,SID3,21,0.016511202,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,3.067063222644245e-08,,,,,
,,,EffectiveQM vs SAD2 effect size,4.123538702203658,,,,,
,,,,,,,,
co14_215,15,7840,EffectiveQM,9165,648.5677778,,,,
,,,ILS,10053.9,75.5926,,,,
,,,SAD2,16092.3,639.6906389,,,,
,,,SID3,20034,18.54367126,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,3.1539927065839656e-08,,,,,
,,,EffectiveQM vs ILS effect size,4.115865146537581,,,,,
,,,EffectiveQM vs SAD2 p-value,5.340676367079329e-18,,,,,
,,,EffectiveQM vs SAD2 effect size,15.633687253344467,,,,,
,,,,,,,,
cycle10_2_110,12,2648,EffectiveQM,3422.666667,142.733,,,,
,,,ILS,3464.1,15.57,,,,
,,,SAD2,5693.4,151.6065855,,,,
,,,SID3,6516,1.976133718,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,0.00010365613138342645,,,,,
,,,EffectiveQM vs ILS effect size,2.2133253341765045,,,,,
,,,EffectiveQM vs SAD2 p-value,7.952616494011619e-22,,,,,
