benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,EffectiveQM,24,0.687222222,,EffectiveQM,3495.846154,193.2220043
,,,ILS,24,0.1557,,ILS,3693.115385,22.70746538
,,,SAD2,47.4,9.078220487,,SAD2,5209.130769,229.978763
,,,SID3,99,0.214042912,,SID3,6821.192308,5.263380418
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,1.1219232556383724e-10,,,,,
,,,EffectiveQM vs SAD2 effect size,5.886908883491543,,,,,
,,,,,,,,
4mod5-v1_22,5,11,EffectiveQM,6,0.295111111,,,,
,,,ILS,6,0.1804,,,,
,,,SAD2,12.3,1.857025051,,,,
,,,SID3,9,0.18625617,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,2.8977813630515664e-06,,,,,
,,,EffectiveQM vs SAD2 effect size,2.986486417781857,,,,,
,,,,,,,,
9symml_195,11,15232,EffectiveQM,21923.33333,1064.292333,,,,
,,,ILS,23299.2,115.6717,,,,
,,,SAD2,30727.5,1753.948936,,,,
,,,SID3,40854,25.5993207,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,9.053065000957155e-09,,,,,
,,,EffectiveQM vs ILS effect size,4.468190608726184,,,,,
,,,EffectiveQM vs SAD2 p-value,2.5300484861085622e-15,,,,,
,,,EffectiveQM vs SAD2 effect size,11.025969166882263,,,,,
,,,,,,,,
adr4_197,13,1498,EffectiveQM,2065.333333,95.88455556,,,,
,,,ILS,2150.4,20.8704,,,,
,,,SAD2,2970.6,92.94831996,,,,
,,,SID3,4131,4.864162731,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,4.57451298587037e-05,,,,,
,,,EffectiveQM vs ILS effect size,2.3834795917220983,,,,,
,,,EffectiveQM vs SAD2 p-value,1.141154890291197e-19,,,,,
,,,EffectiveQM vs SAD2 effect size,19.404687835728115,,,,,
,,,,,,,,
alu-v0_27,5,17,EffectiveQM,18,0.516777778,,,,
,,,ILS,18,0.1965,,,,
,,,SAD2,29.1,5.134367919,,,,
,,,SID3,21,0.196466694,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,1.5752304307341946e-07,,,,,
,,,EffectiveQM vs SAD2 effect size,3.6897648489956616,,,,,
,,,,,,,,
co14_215,15,7840,EffectiveQM,9257.666667,802.3702222,,,,
,,,ILS,10269.9,78.9966,,,,
,,,SAD2,16374.9,767.4801505,,,,
,,,SID3,22395,24.93706991,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,2.850272391134288e-13,,,,,
,,,EffectiveQM vs ILS effect size,8.398071173072486,,,,,
,,,EffectiveQM vs SAD2 p-value,1.362126463035813e-16,,,,,
,,,EffectiveQM vs SAD2 effect size,13.019573480478723,,,,,
,,,,,,,,
cycle10_2_110,12,2648,EffectiveQM,3420.666667,170.0104444,,,,
,,,ILS,3467.1,18.7907,,,,
,,,SAD2,5552.4,155.2072156,,,,
,,,SID3,7302,3.041052303,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,0.003477323761026111,,,,,
,,,EffectiveQM vs ILS effect size,1.5031966321142325,,,,,
,,,EffectiveQM vs SAD2 p-value,2.933208307279991e-17,,,,,
,,,EffectiveQM vs SAD2 effect size,14.201389802387451,,,,,
,,,,,,,,
decod24-v2_43,4,22,EffectiveQM,18,0.181888889,,,,
,,,ILS,18,0.0622,,,,
,,,SAD2,30,3.205105639,,,,
,,,SID3,27,0.193340063,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,0.0,,,,,
,,,EffectiveQM vs SAD2 effect size,inf,,,,,
,,,,,,,,
ising_model_10,10,90,EffectiveQM,0,0.025333333,,,,
