benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,EffectiveQM,0,0.001,,EffectiveQM,858.9102564,130.7104701
,,,ILS,0,3.8254,,ILS,1054.511538,37.82103654
,,,SAD2,0,2.633478999,,SAD2,1343.088462,94.26352748
,,,SID3,0,0,,SID3,1021.5,38.87961538
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,nan,,,,,
,,,EffectiveQM vs SAD2 effect size,nan,,,,,
,,,,,,,,
4mod5-v1_22,5,11,EffectiveQM,0,0.002444444,,,,
,,,ILS,0,1.2334,,,,
,,,SAD2,0,1.624257159,,,,
,,,SID3,0,0,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,nan,,,,,
,,,EffectiveQM vs SAD2 effect size,nan,,,,,
,,,,,,,,
9symml_195,11,15232,EffectiveQM,5295.666667,577.0763333,,,,
,,,ILS,6427.8,104.1655,,,,
,,,SAD2,8032.2,604.9399066,,,,
,,,SID3,5481,82.46,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,4.416934527994145e-12,,,,,
,,,EffectiveQM vs ILS effect size,7.149651536401538,,,,,
,,,EffectiveQM vs SAD2 p-value,1.5272723292782674e-09,,,,,
,,,EffectiveQM vs SAD2 effect size,5.007212422883258,,,,,
,,,,,,,,
adr4_197,13,1498,EffectiveQM,501.3333333,84.07244444,,,,
,,,ILS,617.55,9.0142,,,,
,,,SAD2,828,44.7349689,,,,
,,,SID3,681,13.22,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,2.7735897473772028e-11,,,,,
,,,EffectiveQM vs ILS effect size,6.406965471842113,,,,,
,,,EffectiveQM vs SAD2 p-value,3.46636546152223e-10,,,,,
,,,EffectiveQM vs SAD2 effect size,5.492928923558657,,,,,
,,,,,,,,
alu-v0_27,5,17,EffectiveQM,3,0.186333333,,,,
,,,ILS,3,0.61555,,,,
,,,SAD2,6,1.979552722,,,,
,,,SID3,9,0.01,,,,
,,,,,,,,,
,,,EffectiveQM vs ILS p-value,nan,,,,,
,,,EffectiveQM vs ILS effect size,nan,,,,,
,,,EffectiveQM vs SAD2 p-value,0.0,,,,,
,,,EffectiveQM vs SAD2 effect size,inf,,,,,
