benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,ILS,0,0.5959,,EffectiveQM-short,342.2692308,28.01196538
,,,EffectiveQM-short,0,0.5959,,ILS,410.2846154,28.01196538
,,,SAD2,0.9,8.352903605,,SAD2,447.9346154,207.4201634
,,,SID3,0,91.69692659,,SID3,518.7692308,581.3775693
,,,,,,,,,
4mod5-v1_22,5,11,ILS,0,0.632,,,,
,,,EffectiveQM-short,0.666666667,0.632,,,,
,,,SAD2,0.9,4.694765759,,,,
,,,SID3,0,55.08378315,,,,
,,,,,,,,,
9symml_195,11,15232,ILS,2637.9,92.1646,,,,
,,,EffectiveQM-short,2092.333333,92.1646,,,,
,,,SAD2,2325.6,1473.313335,,,,
,,,SID3,2118,1355.510943,,,,
,,,,,,,,,
adr4_197,13,1498,ILS,272.4,30.4097,,,,
,,,EffectiveQM-short,237.3333333,30.4097,,,,
,,,SAD2,297.3,109.2916003,,,,
,,,SID3,303,466.064478,,,,
,,,,,,,,,
alu-v0_27,5,17,ILS,0,0.4744,,,,
,,,EffectiveQM-short,0,0.4744,,,,
,,,SAD2,3,6.138863277,,,,
,,,SID3,0,48.90856695,,,,
,,,,,,,,,
co14_215,15,7840,ILS,806.1,92.8245,,,,
,,,EffectiveQM-short,796.6666667,92.8245,,,,
,,,SAD2,1471.2,778.7956569,,,,
,,,SID3,753,1018.534118,,,,
,,,,,,,,,
cycle10_2_110,12,2648,ILS,478.5,40.6418,,,,
,,,EffectiveQM-short,393,40.6418,,,,
,,,SAD2,542.4,163.9600113,,,,
,,,SID3,1338,533.4949113,,,,
,,,,,,,,,
decod24-v2_43,4,22,ILS,0,0.5767,,,,
,,,EffectiveQM-short,0,0.5767,,,,
,,,SAD2,0,4.813669777,,,,
,,,SID3,0,81.04000449,,,,
,,,,,,,,,
ising_model_10,10,90,ILS,0,0.4879,,,,
,,,EffectiveQM-short,0,0.4879,,,,
,,,SAD2,15,9.011555982,,,,
,,,SID3,0,78.78622055,,,,
,,,,,,,,,
ising_model_13,13,120,ILS,0,0.6259,,,,
,,,EffectiveQM-short,0,0.6259,,,,
,,,SAD2,38.1,19.25786083,,,,
,,,SID3,0,59.68097949,,,,
,,,,,,,,,
ising_model_16,16,150,ILS,0,0.661,,,,
,,,EffectiveQM-short,0,0.661,,,,
,,,SAD2,69,29.68844807,,,,
,,,SID3,0,51.41879272,,,,
,,,,,,,,,
misex1_241,15,2100,ILS,230.1,35.8588,,,,
,,,EffectiveQM-short,192.6666667,35.8588,,,,
,,,SAD2,348.6,125.0291469,,,,
,,,SID3,315,443.2101806,,,,
,,,,,,,,,
mod5mils_65,5,16,ILS,0,0.5253,,,,
,,,EffectiveQM-short,0,0.5253,,,,
,,,SAD2,0,4.958484101,,,,
,,,SID3,0,69.8088851,,,,
,,,,,,,,,
qft_10,10,90,ILS,21,4.3583,,,,
,,,EffectiveQM-short,21,4.3583,,,,
,,,SAD2,24.3,11.24224052,,,,
,,,SID3,21,377.8088582,,,,
,,,,,,,,,
qft_13,13,156,ILS,44.7,10.3903,,,,
,,,EffectiveQM-short,42,10.3903,,,,
,,,SAD2,68.1,21.1761519,,,,
,,,SID3,45,597.5953355,,,,
,,,,,,,,,
qft_16,16,240,ILS,84.9,17.9604,,,,
,,,EffectiveQM-short,75,17.9604,,,,
,,,SAD2,126.3,32.26209402,,,,
,,,SID3,93,1131.496568,,,,
,,,,,,,,,
qft_20,20,380,ILS,164.4,30.5707,,,,
,,,EffectiveQM-short,146.3333333,30.5707,,,,
,,,SAD2,233.1,80.81296022,,,,
,,,SID3,165,783.4043437,,,,
,,,,,,,,,
radd_250,13,1405,ILS,256.5,29.8393,,,,
,,,EffectiveQM-short,223.6666667,29.8393,,,,
,,,SAD2,289.2,83.43779151,,,,
,,,SID3,297,485.8988021,,,,
,,,,,,,,,
rd73_252,10,2319,ILS,409.5,30.0133,,,,
,,,EffectiveQM-short,351.6666667,30.0133,,,,
,,,SAD2,437.7,135.4683667,,,,
,,,SID3,423,569.1075377,,,,
,,,,,,,,,
rd84_142,15,154,ILS,25.5,8.7675,,,,
,,,EffectiveQM-short,18.66666667,8.7675,,,,
,,,SAD2,69.9,18.26775515,,,,
,,,SID3,39,378.5321074,,,,
,,,,,,,,,
rd84_253,12,5960,ILS,1253.4,71.9957,,,,
,,,EffectiveQM-short,1055,71.9957,,,,
,,,SAD2,1292.7,422.1843026,,,,
,,,SID3,1248,996.8388694,,,,
,,,,,,,,,
sqn_258,10,4459,ILS,608.4,42.6483,,,,
,,,EffectiveQM-short,482.3333333,42.6483,,,,
,,,SAD2,661.8,276.9527362,,,,
,,,SID3,597,656.4121909,,,,
,,,,,,,,,
square_root_7,15,3089,ILS,407.7,56.0273,,,,
,,,EffectiveQM-short,388,56.0273,,,,
,,,SAD2,667.2,274.8543807,,,,
,,,SID3,3252,2701.238781,,,,
,,,,,,,,,
sym6_145,7,1701,ILS,109.8,16.2414,,,,
,,,EffectiveQM-short,101,16.2414,,,,
,,,SAD2,150.3,90.04389007,,,,
,,,SID3,171,380.8951192,,,,
,,,,,,,,,
sym9_193,11,15232,ILS,2637.9,90.5698,,,,
,,,EffectiveQM-short,2092.333333,90.5698,,,,
,,,SAD2,2246.7,1139.55337,,,,
,,,SID3,2118,1297.673818,,,,
,,,,,,,,,
z4_268,11,1343,ILS,218.7,23.6782,,,,
,,,EffectiveQM-short,190,23.6782,,,,
,,,SAD2,267.9,77.71481013,,,,
,,,SID3,192,405.6756822,,,,
