benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,EffectiveQM-short,0,0.2,,EffectiveQM-short,1039.128205,25.78825409
,,,ILS,0,0.0048,,ILS,1149.796154,40.65140769
,,,SAD2,0,5.950591087,,SAD2,1428.219231,214.0677032
,,,SID3,0,0.002919436,,SID3,1054.730769,28.97572128
,,,,,,,,,
4mod5-v1_22,5,11,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,0.0048,,,,
,,,SAD2,0,2.37907064,,,,
,,,SID3,0,0.003638268,,,,
,,,,,,,,,
9symml_195,11,15232,EffectiveQM-short,6773.666667,131.7254126,,,,
,,,ILS,7561.8,184.5852,,,,
,,,SAD2,8634.9,1658.026753,,,,
,,,SID3,6027,131.7254126,,,,
,,,,,,,,,
adr4_197,13,1498,EffectiveQM-short,567,16.5569756,,,,
,,,ILS,608.4,37.8939,,,,
,,,SAD2,868.8,96.8182143,,,,
,,,SID3,669,16.5569756,,,,
,,,,,,,,,
alu-v0_27,5,17,EffectiveQM-short,3,0.2,,,,
,,,ILS,3,0.3325,,,,
,,,SAD2,6,2.892480803,,,,
,,,SID3,6,0.027638206,,,,
,,,,,,,,,
co14_215,15,7840,EffectiveQM-short,3377.666667,129.4221,,,,
,,,ILS,3750.6,129.4221,,,,
,,,SAD2,5250,778.2183538,,,,
,,,SID3,4200,185.7098569,,,,
,,,,,,,,,
cycle10_2_110,12,2648,EffectiveQM-short,1045.666667,17.4222351,,,,
,,,ILS,1133.4,59.7997,,,,
,,,SAD2,1403.1,155.5345935,,,,
,,,SID3,1137,17.4222351,,,,
,,,,,,,,,
decod24-v2_43,4,22,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,0.0069,,,,
,,,SAD2,0,4.560423613,,,,
,,,SID3,0,0.003150463,,,,
,,,,,,,,,
ising_model_10,10,90,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,0.0029,,,,
,,,SAD2,0,6.561441541,,,,
,,,SID3,0,0.007035494,,,,
,,,,,,,,,
ising_model_13,13,120,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,0.0103,,,,
,,,SAD2,0,6.806917667,,,,
,,,SID3,0,0.00693965,,,,
,,,,,,,,,
ising_model_16,16,150,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,0.0347,,,,
,,,SAD2,0,10.00201287,,,,
,,,SID3,0,0.034679174,,,,
,,,,,,,,,
misex1_241,15,2100,EffectiveQM-short,499.3333333,18.86407499,,,,
,,,ILS,561.3,32.3052,,,,
,,,SAD2,1090.5,120.5564088,,,,
,,,SID3,837,18.86407499,,,,
,,,,,,,,,
mod5mils_65,5,16,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,0.0036,,,,
,,,SAD2,0,1.927703524,,,,
,,,SID3,0,0.002967596,,,,
,,,,,,,,,
qft_10,10,90,EffectiveQM-short,30.33333333,0.242245169,,,,
,,,ILS,28.2,3.7638,,,,
,,,SAD2,39.6,6.476417089,,,,
,,,SID3,51,0.242245169,,,,
,,,,,,,,,
qft_13,13,156,EffectiveQM-short,72.66666667,0.637457228,,,,
,,,ILS,69,8.2504,,,,
,,,SAD2,90,13.26996479,,,,
,,,SID3,102,0.637457228,,,,
,,,,,,,,,
qft_16,16,240,EffectiveQM-short,133.6666667,1.030888557,,,,
,,,ILS,124.5,12.7225,,,,
,,,SAD2,154.8,17.44707582,,,,
,,,SID3,168,1.030888557,,,,
,,,,,,,,,
radd_250,13,1405,EffectiveQM-short,540.6666667,26.64484767,,,,
,,,ILS,611.4,41.5264,,,,
,,,SAD2,813.6,78.09780161,,,,
,,,SID3,693,26.64484767,,,,
,,,,,,,,,
rd73_252,10,2319,EffectiveQM-short,913.6666667,18.00392028,,,,
,,,ILS,987.3,52.5492,,,,
,,,SAD2,1203.3,131.9629656,,,,
,,,SID3,987,18.00392028,,,,
,,,,,,,,,
rd84_142,15,154,EffectiveQM-short,62,0.907780228,,,,
,,,ILS,64.8,8.0569,,,,
,,,SAD2,112.8,12.9083544,,,,
,,,SID3,81,0.907780228,,,,
,,,,,,,,,
rd84_253,12,5960,EffectiveQM-short,2772,75.0690703,,,,
,,,ILS,3108.9,102.7917,,,,
,,,SAD2,3528.6,417.7776284,,,,
,,,SID3,2598,75.0690703,,,,
,,,,,,,,,
sqn_258,10,4459,EffectiveQM-short,1690.666667,22.21024097,,,,
,,,ILS,1865.1,73.5393,,,,
,,,SAD2,2229,295.072528,,,,
,,,SID3,1710,22.21024097,,,,
,,,,,,,,,
square_root_7,15,3089,EffectiveQM-short,784,64.4327,,,,
,,,ILS,828.3,64.4327,,,,
,,,SAD2,1472.1,197.3546743,,,,
,,,SID3,1080,92.53012175,,,,
,,,,,,,,,
sym6_145,7,1701,EffectiveQM-short,503,2.451793079,,,,
,,,ILS,503.4,25.0409,,,,
,,,SAD2,796.8,98.12825267,,,,
,,,SID3,522,2.451793079,,,,
,,,,,,,,,
sym9_193,11,15232,EffectiveQM-short,6773.666667,131.0194682,,,,
,,,ILS,7561.8,187.5627,,,,
,,,SAD2,8691.9,1371.442806,,,,
,,,SID3,6027,131.0194682,,,,
,,,,,,,,,
z4_268,11,1343,EffectiveQM-short,474.6666667,12.25339645,,,,
,,,ILS,523.5,32.2935,,,,
,,,SAD2,747.9,75.58684902,,,,
,,,SID3,528,12.25339645,,,,
