benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,EffectiveQM-short,24,0.2,,EffectiveQM-short,2682.692308,20.08328351
,,,ILS,24,0.1462,,ILS,2772.934615,23.47781538
,,,SAD2,38.1,7.345154762,,SAD2,3796.603846,267.4199837
,,,SID3,96,0.486204643,,SID3,4921.846154,22.95921883
,,,,,,,,,
4mod5-v1_22,5,11,EffectiveQM-short,6.333333333,0.2,,,,
,,,ILS,6,0.0901,,,,
,,,SAD2,9.6,4.660143423,,,,
,,,SID3,9,0.250879526,,,,
,,,,,,,,,
9symml_195,11,15232,EffectiveQM-short,16403,98.64434111,,,,
,,,ILS,16947.3,108.8339,,,,
,,,SAD2,22627.8,2087.741517,,,,
,,,SID3,27468,98.64434111,,,,
,,,,,,,,,
adr4_197,13,1498,EffectiveQM-short,1590.666667,17.9178,,,,
,,,ILS,1615.5,17.9178,,,,
,,,SAD2,2218.2,88.33356378,,,,
,,,SID3,3009,21.92470778,,,,
,,,,,,,,,
alu-v0_27,5,17,EffectiveQM-short,12,0.2,,,,
,,,ILS,12,0.1887,,,,
,,,SAD2,19.5,3.963636303,,,,
,,,SID3,24,0.266605644,,,,
,,,,,,,,,
co14_215,15,7840,EffectiveQM-short,8085.333333,115.6623802,,,,
,,,ILS,8668.5,123.0591,,,,
,,,SAD2,12967.5,1024.881892,,,,
,,,SID3,19890,115.6623802,,,,
,,,,,,,,,
cycle10_2_110,12,2648,EffectiveQM-short,2798,9.377844238,,,,
,,,ILS,2801.7,23.6584,,,,
,,,SAD2,3934.5,160.0586827,,,,
,,,SID3,4938,9.377844238,,,,
,,,,,,,,,
decod24-v2_43,4,22,EffectiveQM-short,18,0.2,,,,
,,,ILS,18,0.0661,,,,
,,,SAD2,27,2.912364817,,,,
,,,SID3,27,0.314626942,,,,
,,,,,,,,,
ising_model_10,10,90,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,0.0035,,,,
,,,SAD2,10.8,4.324300456,,,,
,,,SID3,0,0.217854023,,,,
,,,,,,,,,
ising_model_13,13,120,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,0.0027,,,,
,,,SAD2,20.1,7.500860929,,,,
,,,SID3,0,0.06589222,,,,
,,,,,,,,,
ising_model_16,16,150,EffectiveQM-short,5.666666667,0.2,,,,
,,,ILS,0,0.0235,,,,
,,,SAD2,28.2,8.159334731,,,,
,,,SID3,0,0.083412409,,,,
,,,,,,,,,
misex1_241,15,2100,EffectiveQM-short,2072.333333,13.27480577,,,,
,,,ILS,2073.9,22.1347,,,,
,,,SAD2,3155.1,118.6500158,,,,
,,,SID3,4212,13.27480577,,,,
,,,,,,,,,
mod5mils_65,5,16,EffectiveQM-short,12,0.2,,,,
,,,ILS,12,0.0574,,,,
,,,SAD2,19.5,5.886794567,,,,
,,,SID3,18,0.231009493,,,,
,,,,,,,,,
qft_10,10,90,EffectiveQM-short,52.66666667,1.025838938,,,,
,,,ILS,54.3,1.4522,,,,
,,,SAD2,73.5,7.505987239,,,,
,,,SID3,63,1.025838938,,,,
,,,,,,,,,
qft_13,13,156,EffectiveQM-short,107.3333333,2.8062,,,,
,,,ILS,109.5,2.8062,,,,
,,,SAD2,149.1,13.15239587,,,,
,,,SID3,138,5.698930988,,,,
,,,,,,,,,
qft_16,16,240,EffectiveQM-short,182,7.3858,,,,
,,,ILS,187.2,7.3858,,,,
,,,SAD2,259.8,17.33057194,,,,
,,,SID3,261,11.62377494,,,,
,,,,,,,,,
qft_20,20,380,EffectiveQM-short,315.6666667,6.3092,,,,
,,,ILS,337.8,6.3092,,,,
,,,SAD2,441.9,27.13893576,,,,
,,,SID3,483,17.53602425,,,,
,,,,,,,,,
radd_250,13,1405,EffectiveQM-short,1501.666667,11.2964,,,,
,,,ILS,1527.6,11.2964,,,,
,,,SAD2,2064,92.15431051,,,,
,,,SID3,2838,22.53521322,,,,
,,,,,,,,,
rd73_252,10,2319,EffectiveQM-short,2488,9.717958231,,,,
,,,ILS,2513.1,19.6128,,,,
,,,SAD2,3316.2,147.3136695,,,,
,,,SID3,4089,9.717958231,,,,
,,,,,,,,,
rd84_142,15,154,EffectiveQM-short,148.3333333,2.5955,,,,
,,,ILS,146.7,2.5955,,,,
,,,SAD2,241.5,10.66613407,,,,
,,,SID3,267,2.852600288,,,,
,,,,,,,,,
rd84_253,12,5960,EffectiveQM-short,6508,51.3541,,,,
,,,ILS,6734.4,51.3541,,,,
,,,SAD2,8986.8,480.553682,,,,
,,,SID3,11382,69.88953947,,,,
,,,,,,,,,
sqn_258,10,4459,EffectiveQM-short,4658.666667,17.64729712,,,,
,,,ILS,4765.8,32.8642,,,,
,,,SAD2,6445.8,311.4160508,,,,
,,,SID3,8676,17.64729712,,,,
,,,,,,,,,
square_root_7,15,3089,EffectiveQM-short,3319.666667,43.9125,,,,
,,,ILS,3528.6,43.9125,,,,
,,,SAD2,4890.6,254.1457198,,,,
,,,SID3,7095,65.97454243,,,,
,,,,,,,,,
sym6_145,7,1701,EffectiveQM-short,1629.666667,3.503114653,,,,
,,,ILS,1654.5,9.7481,,,,
,,,SAD2,2260.2,89.63218987,,,,
,,,SID3,2829,3.503114653,,,,
,,,,,,,,,
sym9_193,11,15232,EffectiveQM-short,16403,99.8458257,,,,
,,,ILS,16947.3,108.7927,,,,
,,,SAD2,22555.5,1890.532265,,,,
,,,SID3,27468,99.8458257,,,,
,,,,,,,,,
z4_268,11,1343,EffectiveQM-short,1408,8.288465338,,,,
,,,ILS,1410.6,16.1114,,,,
,,,SAD2,1950.9,86.95940361,,,,
,,,SID3,2688,8.288465338,,,,
