benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,EffectiveQM-short,24,0.2,,EffectiveQM-short,3630.397436,4.228785276
,,,ILS,24,0.1176,,ILS,3709.130769,20.88747692
,,,SAD2,40.2,4.975601244,,SAD2,5491.015385,204.4897741
,,,SID3,51,0.024319887,,SID3,6523.961538,4.937010308
,,,,,,,,,
4mod5-v1_22,5,11,EffectiveQM-short,6,0.2,,,,
,,,ILS,6,0.0591,,,,
,,,SAD2,9.6,4.841132426,,,,
,,,SID3,9,0.017020941,,,,
,,,,,,,,,
9symml_195,11,15232,EffectiveQM-short,22561.33333,15.59682524,,,,
,,,ILS,23413.8,118.3802,,,,
,,,SAD2,34219.8,1620.154355,,,,
,,,SID3,40017,15.59682524,,,,
,,,,,,,,,
adr4_197,13,1498,EffectiveQM-short,2197.666667,3.890790081,,,,
,,,ILS,2255.4,16.4128,,,,
,,,SAD2,3102.6,81.5248343,,,,
,,,SID3,3804,3.890790081,,,,
,,,,,,,,,
alu-v0_27,5,17,EffectiveQM-short,18,0.2,,,,
,,,ILS,18,0.1273,,,,
,,,SAD2,31.8,2.907628918,,,,
,,,SID3,21,0.016511202,,,,
,,,,,,,,,
co14_215,15,7840,EffectiveQM-short,9382.666667,18.54367126,,,,
,,,ILS,10053.9,75.5926,,,,
,,,SAD2,16092.3,639.6906389,,,,
,,,SID3,20034,18.54367126,,,,
,,,,,,,,,
cycle10_2_110,12,2648,EffectiveQM-short,3495,1.976133718,,,,
,,,ILS,3464.1,15.57,,,,
,,,SAD2,5693.4,151.6065855,,,,
,,,SID3,6516,1.976133718,,,,
,,,,,,,,,
decod24-v2_43,4,22,EffectiveQM-short,18,0.2,,,,
,,,ILS,18,0.051,,,,
,,,SAD2,29.7,3.521638203,,,,
,,,SID3,27,0.009261847,,,,
,,,,,,,,,
ising_model_10,10,90,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,0.0071,,,,
,,,SAD2,0,6.636776114,,,,
,,,SID3,0,0.014162779,,,,
,,,,,,,,,
ising_model_13,13,120,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,0.0088,,,,
,,,SAD2,1.5,7.706035113,,,,
,,,SID3,15,0.44376565,,,,
,,,,,,,,,
ising_model_16,16,150,EffectiveQM-short,38.66666667,1.9165,,,,
,,,ILS,39,1.9165,,,,
,,,SAD2,45.9,7.647049165,,,,
,,,SID3,57,21.32898165,,,,
,,,,,,,,,
misex1_241,15,2100,EffectiveQM-short,2680.666667,3.487869883,,,,
,,,ILS,2662.2,18.1159,,,,
,,,SAD2,4363.2,107.1892863,,,,
,,,SID3,4902,3.487869883,,,,
,,,,,,,,,
mod5mils_65,5,16,EffectiveQM-short,12,0.2,,,,
,,,ILS,12,0.0531,,,,
,,,SAD2,23.4,5.161290932,,,,
,,,SID3,21,0.011570215,,,,
,,,,,,,,,
qft_10,10,90,EffectiveQM-short,106.3333333,0.2,,,,
,,,ILS,91.5,1.2358,,,,
,,,SAD2,128.1,6.459695649,,,,
,,,SID3,108,0.06475667,,,,
,,,,,,,,,
qft_13,13,156,EffectiveQM-short,184,0.221601191,,,,
,,,ILS,176.4,1.836,,,,
,,,SAD2,246.9,9.468400073,,,,
,,,SID3,261,0.221601191,,,,
,,,,,,,,,
qft_16,16,240,EffectiveQM-short,295.3333333,0.296238909,,,,
,,,ILS,283.2,3.8201,,,,
,,,SAD2,438.6,12.8837877,,,,
,,,SID3,597,0.296238909,,,,
,,,,,,,,,
radd_250,13,1405,EffectiveQM-short,2035,5.891708927,,,,
,,,ILS,2046.3,11.406,,,,
,,,SAD2,2946.6,69.34110062,,,,
,,,SID3,3732,5.891708927,,,,
,,,,,,,,,
rd73_252,10,2319,EffectiveQM-short,3582.333333,1.59293891,,,,
,,,ILS,3505.5,16.4578,,,,
,,,SAD2,4910.1,123.5511093,,,,
,,,SID3,5643,1.59293891,,,,
,,,,,,,,,
rd84_142,15,154,EffectiveQM-short,180.3333333,0.246118765,,,,
,,,ILS,175.5,2.2304,,,,
,,,SAD2,288.6,9.138984179,,,,
,,,SID3,303,0.246118765,,,,
,,,,,,,,,
rd84_253,12,5960,EffectiveQM-short,9664,10.23865211,,,,
,,,ILS,9567,58.8024,,,,
,,,SAD2,13461.3,428.6491544,,,,
,,,SID3,15468,10.23865211,,,,
,,,,,,,,,
sqn_258,10,4459,EffectiveQM-short,6635.666667,3.993686562,,,,
,,,ILS,6535.8,30.7664,,,,
,,,SAD2,9249.9,285.1503653,,,,
,,,SID3,10500,3.993686562,,,,
,,,,,,,,,
square_root_7,15,3089,EffectiveQM-short,4771.666667,23.23509062,,,,
,,,ILS,4727.4,31.1948,,,,
,,,SAD2,7598.4,183.7619044,,,,
,,,SID3,11040,23.23509062,,,,
,,,,,,,,,
sym6_145,7,1701,EffectiveQM-short,1961,0.507458897,,,,
,,,ILS,2019.6,7.5212,,,,
,,,SAD2,2948.4,85.15932391,,,,
,,,SID3,3396,0.507458897,,,,
,,,,,,,,,
sym9_193,11,15232,EffectiveQM-short,22575,15.10871807,,,,
,,,ILS,23413.8,119.1016,,,,
,,,SAD2,34188,1395.772732,,,,
,,,SID3,40017,15.10871807,,,,
,,,,,,,,,
z4_268,11,1343,EffectiveQM-short,1965.666667,1.604414034,,,,
,,,ILS,1929,12.2899,,,,
,,,SAD2,2708.1,63.83471634,,,,
,,,SID3,3084,1.604414034,,,,
