benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,EffectiveQM-short,24,0.2,,EffectiveQM-short,3596.987179,5.282166503
,,,ILS,24,0.1557,,ILS,3693.115385,22.70746538
,,,SAD2,47.4,9.078220487,,SAD2,5209.130769,229.978763
,,,SID3,99,0.214042912,,SID3,6821.192308,5.263380418
,,,,,,,,,
4mod5-v1_22,5,11,EffectiveQM-short,6,0.2,,,,
,,,ILS,6,0.1804,,,,
,,,SAD2,12.3,1.857025051,,,,
,,,SID3,9,0.18625617,,,,
,,,,,,,,,
9symml_195,11,15232,EffectiveQM-short,22427.33333,25.5993207,,,,
,,,ILS,23299.2,115.6717,,,,
,,,SAD2,30727.5,1753.948936,,,,
,,,SID3,40854,25.5993207,,,,
,,,,,,,,,
adr4_197,13,1498,EffectiveQM-short,2124,4.864162731,,,,
,,,ILS,2150.4,20.8704,,,,
,,,SAD2,2970.6,92.94831996,,,,
,,,SID3,4131,4.864162731,,,,
,,,,,,,,,
alu-v0_27,5,17,EffectiveQM-short,18,0.2,,,,
,,,ILS,18,0.1965,,,,
,,,SAD2,29.1,5.134367919,,,,
,,,SID3,21,0.196466694,,,,
,,,,,,,,,
co14_215,15,7840,EffectiveQM-short,9527.333333,24.93706991,,,,
,,,ILS,10269.9,78.9966,,,,
,,,SAD2,16374.9,767.4801505,,,,
,,,SID3,22395,24.93706991,,,,
,,,,,,,,,
cycle10_2_110,12,2648,EffectiveQM-short,3501.333333,3.041052303,,,,
,,,ILS,3467.1,18.7907,,,,
,,,SAD2,5552.4,155.2072156,,,,
,,,SID3,7302,3.041052303,,,,
,,,,,,,,,
decod24-v2_43,4,22,EffectiveQM-short,18,0.2,,,,
,,,ILS,18,0.0622,,,,
,,,SAD2,30,3.205105639,,,,
,,,SID3,27,0.193340063,,,,
,,,,,,,,,
ising_model_10,10,90,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,0.0113,,,,
,,,SAD2,44.1,6.837339258,,,,
,,,SID3,0,0.040459394,,,,
,,,,,,,,,
ising_model_13,13,120,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,0.0107,,,,
,,,SAD2,86.7,8.369408512,,,,
,,,SID3,0,0.041208744,,,,
,,,,,,,,,
ising_model_16,16,150,EffectiveQM-short,23,0.2,,,,
,,,ILS,0,0.0852,,,,
,,,SAD2,111.9,8.506269646,,,,
,,,SID3,0,0.052189827,,,,
,,,,,,,,,
misex1_241,15,2100,EffectiveQM-short,2623.333333,5.497008724,,,,
,,,ILS,2655.3,22.0586,,,,
,,,SAD2,4341.9,122.2208402,,,,
,,,SID3,5589,5.497008724,,,,
,,,,,,,,,
mod5mils_65,5,16,EffectiveQM-short,12,0.2,,,,
,,,ILS,12,0.0752,,,,
,,,SAD2,23.7,2.274930525,,,,
,,,SID3,21,0.18759799,,,,
,,,,,,,,,
qft_10,10,90,EffectiveQM-short,96,0.340665655,,,,
,,,ILS,91.5,1.438,,,,
,,,SAD2,139.5,8.753508186,,,,
,,,SID3,108,0.340665655,,,,
,,,,,,,,,
qft_13,13,156,EffectiveQM-short,182,0.742278137,,,,
,,,ILS,177.9,2.9085,,,,
,,,SAD2,279.6,9.45431416,,,,
,,,SID3,300,0.742278137,,,,
,,,,,,,,,
qft_16,16,240,EffectiveQM-short,294,2.566555004,,,,
,,,ILS,289.8,4.9963,,,,
,,,SAD2,472.5,18.84460893,,,,
,,,SID3,633,2.566555004,,,,
,,,,,,,,,
qft_20,20,380,EffectiveQM-short,505.6666667,1.805933666,,,,
,,,ILS,490.2,8.3218,,,,
,,,SAD2,752.1,31.38596942,,,,
,,,SID3,1026,1.805933666,,,,
,,,,,,,,,
radd_250,13,1405,EffectiveQM-short,1951,5.517238092,,,,
,,,ILS,1968.6,14.9007,,,,
,,,SAD2,2760.6,79.79653726,,,,
,,,SID3,3618,5.517238092,,,,
,,,,,,,,,
rd73_252,10,2319,EffectiveQM-short,3304.333333,2.641077385,,,,
,,,ILS,3406.2,20.5015,,,,
,,,SAD2,4477.2,137.5471166,,,,
,,,SID3,5862,2.641077385,,,,
,,,,,,,,,
rd84_142,15,154,EffectiveQM-short,177.3333333,0.949367628,,,,
,,,ILS,174.9,2.6382,,,,
,,,SAD2,323.1,11.30124495,,,,
,,,SID3,327,0.949367628,,,,
,,,,,,,,,
rd84_253,12,5960,EffectiveQM-short,9228,12.29187691,,,,
,,,ILS,9306,62.2398,,,,
,,,SAD2,12967.5,465.5169946,,,,
,,,SID3,14754,12.29187691,,,,
,,,,,,,,,
sqn_258,10,4459,EffectiveQM-short,6220,5.62616972,,,,
,,,ILS,6301.5,40.3143,,,,
,,,SAD2,8683.2,311.0307621,,,,
,,,SID3,11739,5.62616972,,,,
,,,,,,,,,
square_root_7,15,3089,EffectiveQM-short,4980,9.05466361,,,,
,,,ILS,4691.7,38.9511,,,,
,,,SAD2,7643.4,212.6996207,,,,
,,,SID3,9840,9.05466361,,,,
,,,,,,,,,
sym6_145,7,1701,EffectiveQM-short,1952,1.394375582,,,,
,,,ILS,2023.5,9.7807,,,,
,,,SAD2,2921.1,86.73745286,,,,
,,,SID3,3831,1.394375582,,,,
,,,,,,,,,
sym9_193,11,15232,EffectiveQM-short,22436,26.03426584,,,,
,,,ILS,23299.2,113.6617,,,,
,,,SAD2,31068.6,1593.227021,,,,
,,,SID3,40854,26.03426584,,,,
,,,,,,,,,
z4_268,11,1343,EffectiveQM-short,1891,2.83324748,,,,
,,,ILS,1880.1,12.5763,,,,
,,,SAD2,2596.5,76.0845592,,,,
,,,SID3,4011,2.83324748,,,,
