benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,EffectiveQM-short,0,0.2,,EffectiveQM-short,901.0641026,19.2299457
,,,ILS,0,3.8254,,ILS,1054.511538,37.82103654
,,,SAD2,0,2.633478999,,SAD2,1343.088462,94.26352748
,,,SID3,0,0,,SID3,1021.5,38.87961538
,,,,,,,,,
4mod5-v1_22,5,11,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,1.2334,,,,
,,,SAD2,0,1.624257159,,,,
,,,SID3,0,0,,,,
,,,,,,,,,
9symml_195,11,15232,EffectiveQM-short,5476,82.46,,,,
,,,ILS,6427.8,104.1655,,,,
,,,SAD2,8032.2,604.9399066,,,,
,,,SID3,5481,82.46,,,,
,,,,,,,,,
adr4_197,13,1498,EffectiveQM-short,532,9.0142,,,,
,,,ILS,617.55,9.0142,,,,
,,,SAD2,828,44.7349689,,,,
,,,SID3,681,13.22,,,,
,,,,,,,,,
alu-v0_27,5,17,EffectiveQM-short,3,0.2,,,,
,,,ILS,3,0.61555,,,,
,,,SAD2,6,1.979552722,,,,
,,,SID3,9,0.01,,,,
,,,,,,,,,
co14_215,15,7840,EffectiveQM-short,2883.666667,130.77,,,,
,,,ILS,3520.95,167.8231,,,,
,,,SAD2,4836.3,323.3339238,,,,
,,,SID3,3975,130.77,,,,
,,,,,,,,,
cycle10_2_110,12,2648,EffectiveQM-short,966.6666667,10.13,,,,
,,,ILS,1107.9,53.5513,,,,
,,,SAD2,1298.1,79.91598895,,,,
,,,SID3,1125,10.13,,,,
,,,,,,,,,
decod24-v2_43,4,22,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,8.1583,,,,
,,,SAD2,0,2.264758897,,,,
,,,SID3,0,0,,,,
,,,,,,,,,
ising_model_10,10,90,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,12.1914,,,,
,,,SAD2,0,3.739561319,,,,
,,,SID3,0,0,,,,
,,,,,,,,,
ising_model_13,13,120,EffectiveQM-short,0,0.2,,,,
,,,ILS,7.5,25.32665,,,,
,,,SAD2,0,4.291182232,,,,
,,,SID3,0,0,,,,
,,,,,,,,,
ising_model_16,16,150,EffectiveQM-short,0.666666667,0.2,,,,
,,,ILS,0,19.438,,,,
,,,SAD2,0,5.297206879,,,,
,,,SID3,0,0,,,,
,,,,,,,,,
misex1_241,15,2100,EffectiveQM-short,469.3333333,17.45,,,,
,,,ILS,559.35,52.5816,,,,
,,,SAD2,1070.1,62.36299686,,,,
,,,SID3,621,17.45,,,,
,,,,,,,,,
mod5mils_65,5,16,EffectiveQM-short,0,0.2,,,,
,,,ILS,0,0.06965,,,,
,,,SAD2,0,1.8923316,,,,
,,,SID3,0,0,,,,
,,,,,,,,,
qft_10,10,90,EffectiveQM-short,30,0.86,,,,
,,,ILS,30.9,18.00285,,,,
,,,SAD2,42.6,3.975086021,,,,
,,,SID3,45,0.86,,,,
,,,,,,,,,
qft_13,13,156,EffectiveQM-short,64.33333333,5.826331282,,,,
,,,ILS,73.65,13.64905,,,,
,,,SAD2,91.5,5.826331282,,,,
,,,SID3,108,7.43,,,,
,,,,,,,,,
qft_16,16,240,EffectiveQM-short,123,8.985703635,,,,
,,,ILS,133.2,22.2385,,,,
,,,SAD2,168.9,8.985703635,,,,
,,,SID3,189,18.6,,,,
,,,,,,,,,
qft_20,20,380,EffectiveQM-short,231.3333333,15.14765322,,,,
,,,ILS,252.9,74.56565,,,,
,,,SAD2,292.8,15.14765322,,,,
,,,SID3,318,98.81,,,,
,,,,,,,,,
radd_250,13,1405,EffectiveQM-short,542.3333333,17.10805,,,,
,,,ILS,634.95,17.10805,,,,
,,,SAD2,782.7,41.97122307,,,,
,,,SID3,633,18.97,,,,
,,,,,,,,,
rd73_252,10,2319,EffectiveQM-short,849.3333333,14.94,,,,
,,,ILS,984.3,46.15885,,,,
,,,SAD2,1270.2,70.86455727,,,,
,,,SID3,1062,14.94,,,,
,,,,,,,,,
rd84_142,15,154,EffectiveQM-short,60.33333333,1.5322,,,,
,,,ILS,74.85,1.5322,,,,
,,,SAD2,111.9,5.809315944,,,,
,,,SID3,84,9.26,,,,
,,,,,,,,,
rd84_253,12,5960,EffectiveQM-short,2372.333333,29.176,,,,
,,,ILS,2688.3,29.176,,,,
,,,SAD2,3268.5,202.9964733,,,,
,,,SID3,2952,52.07,,,,
,,,,,,,,,
sqn_258,10,4459,EffectiveQM-short,1537.333333,22.28,,,,
,,,ILS,1753.65,99.70725,,,,
,,,SAD2,2172,140.8907236,,,,
,,,SID3,1467,22.28,,,,
,,,,,,,,,
square_root_7,15,3089,EffectiveQM-short,854.6666667,36.61845,,,,
,,,ILS,1119.3,36.61845,,,,
,,,SAD2,1608.6,102.4125349,,,,
,,,SID3,1263,417.53,,,,
,,,,,,,,,
sym6_145,7,1701,EffectiveQM-short,503,2.94,,,,
,,,ILS,517.95,6.7282,,,,
,,,SAD2,796.5,49.98952515,,,,
,,,SID3,540,2.94,,,,
,,,,,,,,,
sym9_193,11,15232,EffectiveQM-short,5476,81.74,,,,
,,,ILS,6394.5,141.2011,,,,
,,,SAD2,7567.8,622.890144,,,,
,,,SID3,5481,81.74,,,,
,,,,,,,,,
z4_268,11,1343,EffectiveQM-short,452.3333333,11.4,,,,
,,,ILS,514.8,18.66675,,,,
,,,SAD2,675.6,40.0823281,,,,
,,,SID3,525,11.4,,,,
