benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,ILS,0,0.5959,,1,337.8589744,65.70033333
,,,1,0,0.079111111,,3,328.3589744,124.2197436
,,,3,0,0.146666667,,5,326.6025641,167.3088761
,,,5,0,0.086111111,,7,320.6153846,222.4652308
,,,7,0,0.141444444,,9,323.5512821,278.4139316
,,,9,0,0.081777778,,ILS,410.2846154,28.05919231
,,,,,,,,,
4mod5-v1_22,5,11,ILS,0,0.632,,,,
,,,1,0,0.352666667,,,,
,,,3,0.333333333,0.535111111,,,,
,,,5,0,0.400555556,,,,
,,,7,0,0.299,,,,
,,,9,0,0.268222222,,,,
,,,,,,,,,
9symml_195,11,15232,ILS,2637.9,92.1646,,,,
,,,1,2038.333333,240.4807778,,,,
,,,3,1997,505.6226667,,,,
,,,5,2001.333333,685.2501111,,,,
,,,7,1949.666667,909.3815556,,,,
,,,9,1990.666667,1122.182222,,,,
,,,,,,,,,
adr4_197,13,1498,ILS,272.4,30.4097,,,,
,,,1,237.6666667,38.25477778,,,,
,,,3,232.3333333,71.39155556,,,,
,,,5,229.6666667,101.5621111,,,,
,,,7,227.6666667,110.227,,,,
,,,9,219.6666667,156.2442222,,,,
,,,,,,,,,
alu-v0_27,5,17,ILS,0,0.4744,,,,
,,,1,0,0.227111111,,,,
,,,3,0,0.168666667,,,,
,,,5,0,0.176222222,,,,
,,,7,0,0.114111111,,,,
,,,9,0,0.260333333,,,,
,,,,,,,,,
co14_215,15,7840,ILS,806.1,92.8245,,,,
,,,1,783,219.4884444,,,,
,,,3,742,459.0173333,,,,
,,,5,731.6666667,733.7938889,,,,
,,,7,743,679.9371111,,,,
,,,9,735.3333333,1013.617333,,,,
,,,,,,,,,
cycle10_2_110,12,2648,ILS,478.5,40.6418,,,,
,,,1,402,79.90744444,,,,
,,,3,371,135.2117778,,,,
,,,5,380,150.6313333,,,,
,,,7,373,228.4506667,,,,
,,,9,373.3333333,299.1355556,,,,
,,,,,,,,,
decod24-v2_43,4,22,ILS,0,0.5767,,,,
,,,1,0,0.067666667,,,,
,,,3,0,0.074777778,,,,
,,,5,0,0.071888889,,,,
,,,7,0,0.072333333,,,,
,,,9,0,0.078222222,,,,
,,,,,,,,,
ising_model_10,10,90,ILS,0,0.4879,,,,
,,,1,0,0.244222222,,,,
,,,3,0,0.310555556,,,,
,,,5,0,0.254888889,,,,
,,,7,0,0.314222222,,,,
,,,9,0,0.203555556,,,,
,,,,,,,,,
ising_model_13,13,120,ILS,0,0.6259,,,,
,,,1,0,0.145222222,,,,
,,,3,0,0.131222222,,,,
,,,5,0,0.143444444,,,,
,,,7,0,0.136444444,,,,
,,,9,0,0.225111111,,,,
,,,,,,,,,
ising_model_16,16,150,ILS,0,0.661,,,,
,,,1,0,0.458888889,,,,
,,,3,0,0.341666667,,,,
,,,5,0,0.477888889,,,,
,,,7,0,0.495444444,,,,
,,,9,0,0.380333333,,,,
,,,,,,,,,
misex1_241,15,2100,ILS,230.1,35.8588,,,,
,,,1,197.3333333,36.81566667,,,,
,,,3,189,51.29933333,,,,
,,,5,187.6666667,85.25633333,,,,
,,,7,185.3333333,112.2347778,,,,
,,,9,182.6666667,155.2112222,,,,
,,,,,,,,,
mod5mils_65,5,16,ILS,0,0.5253,,,,
,,,1,0,0.086111111,,,,
,,,3,0,0.115222222,,,,
,,,5,0,0.098777778,,,,
,,,7,0,0.097111111,,,,
,,,9,0,0.102,,,,
,,,,,,,,,
qft_10,10,90,ILS,21,4.3583,,,,
,,,1,21,12.53644444,,,,
,,,3,21,14.23011111,,,,
,,,5,21,20.32488889,,,,
,,,7,21,24.673,,,,
,,,9,21,27.58177778,,,,
,,,,,,,,,
qft_13,13,156,ILS,44.7,10.3903,,,,
,,,1,42,33.49055556,,,,
,,,3,41.66666667,43.54177778,,,,
,,,5,41.33333333,57.57288889,,,,
,,,7,41.33333333,80.54622222,,,,
,,,9,42,87.50711111,,,,
,,,,,,,,,
qft_16,16,240,ILS,84.9,17.9604,,,,
,,,1,76.33333333,70.91411111,,,,
,,,3,71.33333333,133.1713333,,,,
,,,5,70,161.3802222,,,,
,,,7,69.33333333,243.3863333,,,,
,,,9,69,243.6656667,,,,
,,,,,,,,,
qft_20,20,380,ILS,164.4,30.5707,,,,
,,,1,139.6666667,195.2118889,,,,
,,,3,134.6666667,326.3497778,,,,
,,,5,132,458.5033333,,,,
,,,7,129.3333333,642.5705556,,,,
,,,9,130.3333333,812.5743333,,,,
,,,,,,,,,
radd_250,13,1405,ILS,256.5,29.8393,,,,
,,,1,221.3333333,35.06211111,,,,
,,,3,217,63.303,,,,
,,,5,212,86.40133333,,,,
,,,7,205,123.073,,,,
,,,9,203.6666667,168.8256667,,,,
,,,,,,,,,
rd73_252,10,2319,ILS,409.5,30.0133,,,,
,,,1,353,49.52122222,,,,
,,,3,347.6666667,81.87511111,,,,
,,,5,341.6666667,119.8408889,,,,
,,,7,339,187.9556667,,,,
,,,9,338.6666667,192.5963333,,,,
,,,,,,,,,
rd84_142,15,154,ILS,25.5,8.7675,,,,
,,,1,21.33333333,25.28588889,,,,
,,,3,17,33.41377778,,,,
,,,5,15.66666667,43.07655556,,,,
,,,7,15.33333333,51.67511111,,,,
,,,9,14.33333333,67.01755556,,,,
,,,,,,,,,
rd84_253,12,5960,ILS,1253.4,71.9957,,,,
,,,1,1076.333333,119.3396667,,,,
,,,3,1034.333333,260.3048889,,,,
,,,5,1034.333333,294.2725556,,,,
,,,7,1027.333333,492.3816667,,,,
,,,9,1030.666667,628.425,,,,
,,,,,,,,,
sqn_258,10,4459,ILS,608.4,42.6483,,,,
,,,1,486,58.00677778,,,,
,,,3,479.6666667,110.4587778,,,,
,,,5,469,159.9205556,,,,
,,,7,459.3333333,223.7297778,,,,
,,,9,457.6666667,264.2352222,,,,
,,,,,,,,,
