benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,1,0,0.000333333,,1,1030.102564,37.23299145
,,,3,0,0.001111111,,3,1016.628205,80.24852137
,,,5,0,0.000666667,,5,1015.923077,112.4696581
,,,7,0,0.001222222,,7,1009.089744,154.8228248
,,,9,0,0.001222222,,9,1006.692308,179.271094
,,,ILS,0,0.0048,,ILS,1149.796154,40.65140769
,,,,,,,,,
4mod5-v1_22,5,11,1,0,0.001222222,,,,
,,,3,0,0.002,,,,
,,,5,0,0.001777778,,,,
,,,7,0,0.002444444,,,,
,,,9,0,0.002888889,,,,
,,,ILS,0,0.0048,,,,
,,,,,,,,,
9symml_195,11,15232,1,6688.333333,196.1492222,,,,
,,,3,6670,370.3718889,,,,
,,,5,6684.666667,550.6994444,,,,
,,,7,6643,732.1377778,,,,
,,,9,6606.333333,776.0627778,,,,
,,,ILS,7561.8,184.5852,,,,
,,,,,,,,,
adr4_197,13,1498,1,556.6666667,21.01033333,,,,
,,,3,522.3333333,55.25011111,,,,
,,,5,536.6666667,73.29277778,,,,
,,,7,518.6666667,110.3804444,,,,
,,,9,519,100.0645556,,,,
,,,ILS,608.4,37.8939,,,,
,,,,,,,,,
alu-v0_27,5,17,1,3,0.100777778,,,,
,,,3,3,0.146777778,,,,
,,,5,3,0.140222222,,,,
,,,7,3,0.162,,,,
,,,9,3,0.204444444,,,,
,,,ILS,3,0.3325,,,,
,,,,,,,,,
co14_215,15,7840,1,3370.666667,163.7843333,,,,
,,,3,3362.666667,439.713,,,,
,,,5,3291,591.8531111,,,,
,,,7,3304.333333,762.1828889,,,,
,,,9,3339.333333,908.9078889,,,,
,,,ILS,3750.6,129.4221,,,,
,,,,,,,,,
cycle10_2_110,12,2648,1,1036,48.838,,,,
,,,3,1003.666667,89.17044444,,,,
,,,5,1012,108.0728889,,,,
,,,7,1012.666667,177.5104444,,,,
,,,9,1013.333333,203.6464444,,,,
,,,ILS,1133.4,59.7997,,,,
,,,,,,,,,
decod24-v2_43,4,22,1,0,0.000333333,,,,
,,,3,0,0.000555556,,,,
,,,5,0,0.000555556,,,,
,,,7,0,0.001111111,,,,
,,,9,0,0.001333333,,,,
,,,ILS,0,0.0069,,,,
,,,,,,,,,
ising_model_10,10,90,1,0,0.003111111,,,,
,,,3,0,0.001777778,,,,
,,,5,0,0.004555556,,,,
,,,7,0,0.006888889,,,,
,,,9,0,0.007444444,,,,
,,,ILS,0,0.0029,,,,
,,,,,,,,,
ising_model_13,13,120,1,0,0.004222222,,,,
,,,3,0,0.004777778,,,,
,,,5,0,0.004333333,,,,
,,,7,0,0.004333333,,,,
,,,9,0,0.004666667,,,,
,,,ILS,0,0.0103,,,,
,,,,,,,,,
ising_model_16,16,150,1,0,0.064555556,,,,
,,,3,0,0.061111111,,,,
,,,5,0,0.068444444,,,,
