benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,1,24,0.348555556,,1,2665.141026,97.17903419
,,,3,24,0.662333333,,3,2646.410256,203.646312
,,,5,24,0.791444444,,5,2639.371795,297.473735
,,,7,24,0.807444444,,7,2636.217949,390.340547
,,,9,24,1.46,,9,2632.833333,477.9671538
,,,ILS,24,0.1462,,ILS,2772.934615,23.47781538
,,,,,,,,,
4mod5-v1_22,5,11,1,6,0.210666667,,,,
,,,3,6,0.335222222,,,,
,,,5,6,0.425888889,,,,
,,,7,6,0.360666667,,,,
,,,9,6,0.483333333,,,,
,,,ILS,6,0.0901,,,,
,,,,,,,,,
9symml_195,11,15232,1,16317.66667,500.8233333,,,,
,,,3,16238.66667,1054.005556,,,,
,,,5,16240,1525.913333,,,,
,,,7,16235,1754.155556,,,,
,,,9,16214,2256.822222,,,,
,,,ILS,16947.3,108.8339,,,,
,,,,,,,,,
adr4_197,13,1498,1,1593.666667,60.72677778,,,,
,,,3,1578.666667,109.0613333,,,,
,,,5,1567.666667,162.1351111,,,,
,,,7,1570,184.388,,,,
,,,9,1564.333333,322.1254444,,,,
,,,ILS,1615.5,17.9178,,,,
,,,,,,,,,
alu-v0_27,5,17,1,12,0.458222222,,,,
,,,3,12,0.612,,,,
,,,5,12,0.84,,,,
,,,7,12,0.918444444,,,,
,,,9,12,1.019555556,,,,
,,,ILS,12,0.1887,,,,
,,,,,,,,,
co14_215,15,7840,1,8035,355.7304444,,,,
,,,3,7985.333333,731.3748889,,,,
,,,5,7890.333333,1246.742778,,,,
,,,7,7872.333333,1927.352222,,,,
,,,9,7870,2008.897778,,,,
,,,ILS,8668.5,123.0591,,,,
,,,,,,,,,
cycle10_2_110,12,2648,1,2783.333333,87.87722222,,,,
,,,3,2750,181.7456667,,,,
,,,5,2728,334.8551111,,,,
,,,7,2721.666667,398.1253333,,,,
,,,9,2724.666667,506.5478889,,,,
,,,ILS,2801.7,23.6584,,,,
,,,,,,,,,
decod24-v2_43,4,22,1,18,0.136555556,,,,
,,,3,18,0.229111111,,,,
,,,5,18,0.271777778,,,,
,,,7,18,0.384777778,,,,
,,,9,18,0.447,,,,
,,,ILS,18,0.0661,,,,
,,,,,,,,,
ising_model_10,10,90,1,0,0.022777778,,,,
,,,3,0,0.027111111,,,,
,,,5,0,0.072444444,,,,
,,,7,0,0.027,,,,
,,,9,0,0.081333333,,,,
,,,ILS,0,0.0035,,,,
,,,,,,,,,
ising_model_13,13,120,1,0,0.021444444,,,,
,,,3,0,0.018666667,,,,
,,,5,0,0.018888889,,,,
,,,7,0,0.018444444,,,,
,,,9,0,0.020444444,,,,
,,,ILS,0,0.0027,,,,
,,,,,,,,,
ising_model_16,16,150,1,0,0.194888889,,,,
,,,3,0,0.142888889,,,,
,,,5,0,0.172666667,,,,
,,,7,0,0.226222222,,,,
,,,9,0,0.248444444,,,,
,,,ILS,0,0.0235,,,,
,,,,,,,,,
misex1_241,15,2100,1,2051.333333,64.46322222,,,,
,,,3,2037.333333,136.9252222,,,,
,,,5,2032,179.1106667,,,,
,,,7,2026.333333,248.63,,,,
,,,9,2025.666667,290.4815556,,,,
,,,ILS,2073.9,22.1347,,,,
,,,,,,,,,
mod5mils_65,5,16,1,12,0.134222222,,,,
,,,3,12,0.227777778,,,,
,,,5,12,0.259555556,,,,
,,,7,12,0.406333333,,,,
,,,9,12,0.590333333,,,,
,,,ILS,12,0.0574,,,,
,,,,,,,,,
qft_10,10,90,1,49,9.943222222,,,,
,,,3,45.66666667,15.60433333,,,,
,,,5,45.33333333,18.78988889,,,,
,,,7,45,25.55177778,,,,
,,,9,45.33333333,24.52533333,,,,
,,,ILS,54.3,1.4522,,,,
,,,,,,,,,
qft_13,13,156,1,103.6666667,19.195,,,,
,,,3,102,38.67266667,,,,
,,,5,99.33333333,59.43977778,,,,
,,,7,98.33333333,68.42611111,,,,
,,,9,98,84.37655556,,,,
,,,ILS,109.5,2.8062,,,,
,,,,,,,,,
qft_16,16,240,1,174,45.57411111,,,,
,,,3,173.6666667,78.49311111,,,,
,,,5,171.3333333,126.6162222,,,,
,,,7,170.3333333,136.2564444,,,,
,,,9,167.6666667,202.1181111,,,,
,,,ILS,187.2,7.3858,,,,
,,,,,,,,,
qft_20,20,380,1,303.3333333,84.99411111,,,,
,,,3,294,202.8818889,,,,
,,,5,294,321.5722222,,,,
,,,7,289.6666667,430.9056667,,,,
,,,9,292.6666667,407.9395556,,,,
,,,ILS,337.8,6.3092,,,,
,,,,,,,,,
radd_250,13,1405,1,1496,45.00155556,,,,
,,,3,1475.333333,111.9747778,,,,
,,,5,1470,140.3634444,,,,
,,,7,1468.333333,172.6135556,,,,
,,,9,1456.666667,310.5187778,,,,
,,,ILS,1527.6,11.2964,,,,
,,,,,,,,,
rd73_252,10,2319,1,2456.333333,74.35933333,,,,
,,,3,2441.666667,182.4701111,,,,
,,,5,2436.666667,265.0783333,,,,
,,,7,2429,382.3656667,,,,
,,,9,2418.666667,465.95,,,,
,,,ILS,2513.1,19.6128,,,,
,,,,,,,,,
rd84_142,15,154,1,146,21.27722222,,,,
,,,3,142.6666667,42.85711111,,,,
,,,5,142,44.26377778,,,,
,,,7,142.3333333,57.72244444,,,,
,,,9,140.3333333,94.86544444,,,,
,,,ILS,146.7,2.5955,,,,
,,,,,,,,,
rd84_253,12,5960,1,6507.333333,226.6424444,,,,
,,,3,6470.333333,556.5312222,,,,
,,,5,6458,661.2077778,,,,
,,,7,6444.333333,911.0383333,,,,
,,,9,6437,1192.622444,,,,
,,,ILS,6734.4,51.3541,,,,
,,,,,,,,,
sqn_258,10,4459,1,4610,154.3076667,,,,
,,,3,4603,263.3685556,,,,
,,,5,4600.666667,396.3175556,,,,
,,,7,4576.666667,650.94,,,,
,,,9,4576,699.7991111,,,,
,,,ILS,4765.8,32.8642,,,,
,,,,,,,,,
square_root_7,15,3089,1,3268,186.0881111,,,,
,,,3,3185.333333,355.3046667,,,,
,,,5,3167,463.8138889,,,,
,,,7,3188.333333,668.4895556,,,,
,,,9,3171,819.8445556,,,,
,,,ILS,3528.6,43.9125,,,,
,,,,,,,,,
sym6_145,7,1701,1,1607.333333,43.87577778,,,,
,,,3,1589,76.38166667,,,,
,,,5,1587.333333,120.3827778,,,,
,,,7,1587,156.9156667,,,,
,,,9,1589.333333,210.251,,,,
,,,ILS,1654.5,9.7481,,,,
,,,,,,,,,
sym9_193,11,15232,1,16317.66667,498.9971111,,,,
,,,3,16238.66667,1052.766222,,,,
,,,5,16240,1523.726667,,,,
,,,7,16235,1750.641111,,,,
,,,9,16214,2265.671111,,,,
,,,ILS,16947.3,108.7927,,,,
,,,,,,,,,
z4_268,11,1343,1,1402,45.25088889,,,,
,,,3,1383.333333,102.13,,,,
,,,5,1382,141.1351111,,,,
,,,7,1370,221.1874444,,,,
,,,9,1376.333333,259.4386667,,,,
,,,ILS,1410.6,16.1114,,,,
