benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,1,24,0.183888889,,1,3543.846154,42.60682479
,,,3,24,0.306222222,,3,3519.75641,110.9770256
,,,5,24,0.419444444,,5,3518.974359,139.8271923
,,,7,24,0.614,,7,3509.987179,225.3724274
,,,9,24,0.591777778,,9,3510.897436,277.2262393
,,,ILS,24,0.1176,,ILS,3709.130769,20.88747692
,,,,,,,,,
4mod5-v1_22,5,11,1,6,0.078,,,,
,,,3,6,0.120777778,,,,
,,,5,6,0.258111111,,,,
,,,7,6,0.226555556,,,,
,,,9,6,0.219,,,,
,,,ILS,6,0.0591,,,,
,,,,,,,,,
9symml_195,11,15232,1,22260.66667,217.986,,,,
,,,3,22181.33333,576.0233333,,,,
,,,5,22183,669.6541111,,,,
,,,7,22109.33333,1272.243111,,,,
,,,9,22104,1688.268667,,,,
,,,ILS,23413.8,118.3802,,,,
,,,,,,,,,
adr4_197,13,1498,1,2131.333333,30.00011111,,,,
,,,3,2125.333333,61.46233333,,,,
,,,5,2115.666667,79.98888889,,,,
,,,7,2110,127.2428889,,,,
,,,9,2116.666667,137.6911111,,,,
,,,ILS,2255.4,16.4128,,,,
,,,,,,,,,
alu-v0_27,5,17,1,18,0.163,,,,
,,,3,18,0.300111111,,,,
,,,5,18,0.436666667,,,,
,,,7,18,0.487444444,,,,
,,,9,18,0.564777778,,,,
,,,ILS,18,0.1273,,,,
,,,,,,,,,
co14_215,15,7840,1,9243.666667,189.5356667,,,,
,,,3,9121,498.7701111,,,,
,,,5,9165,648.5677778,,,,
,,,7,9119.666667,1057.170444,,,,
,,,9,9136.666667,1097.578111,,,,
,,,ILS,10053.9,75.5926,,,,
,,,,,,,,,
cycle10_2_110,12,2648,1,3438,40.58622222,,,,
,,,3,3421,114.3413333,,,,
,,,5,3422.666667,142.733,,,,
,,,7,3418,169.2933333,,,,
,,,9,3412.666667,240.3487778,,,,
,,,ILS,3464.1,15.57,,,,
,,,,,,,,,
decod24-v2_43,4,22,1,18,0.075777778,,,,
,,,3,18,0.116,,,,
,,,5,18,0.155666667,,,,
,,,7,18,0.198444444,,,,
,,,9,18,0.280666667,,,,
,,,ILS,18,0.051,,,,
,,,,,,,,,
ising_model_10,10,90,1,0,0.001888889,,,,
,,,3,0,0.002555556,,,,
,,,5,0,0.008777778,,,,
,,,7,0,0.011333333,,,,
,,,9,0,0.028111111,,,,
,,,ILS,0,0.0071,,,,
,,,,,,,,,
ising_model_13,13,120,1,0,0.017,,,,
,,,3,0,0.014888889,,,,
,,,5,0,0.037444444,,,,
,,,7,0,0.029444444,,,,
,,,9,0,0.043,,,,
,,,ILS,0,0.0088,,,,
,,,,,,,,,
ising_model_16,16,150,1,34.33333333,7.382666667,,,,
,,,3,34,11.00566667,,,,
,,,5,33.33333333,14.91366667,,,,
,,,7,34.33333333,14.644,,,,
,,,9,33.66666667,17.73766667,,,,
,,,ILS,39,1.9165,,,,
,,,,,,,,,
misex1_241,15,2100,1,2588.333333,27.94366667,,,,
,,,3,2556.333333,68.547,,,,
,,,5,2567.333333,92.72544444,,,,
,,,7,2558,110.1677778,,,,
,,,9,2570.666667,170.5761111,,,,
,,,ILS,2662.2,18.1159,,,,
,,,,,,,,,
mod5mils_65,5,16,1,12,0.081222222,,,,
,,,3,12,0.165222222,,,,
,,,5,12,0.162111111,,,,
,,,7,12,0.260333333,,,,
,,,9,12,0.237111111,,,,
,,,ILS,12,0.0531,,,,
,,,,,,,,,
qft_10,10,90,1,89,4.159222222,,,,
,,,3,87.66666667,9.132444444,,,,
,,,5,87.66666667,14.13011111,,,,
,,,7,87,17.41433333,,,,
,,,9,87,17.67244444,,,,
,,,ILS,91.5,1.2358,,,,
,,,,,,,,,
qft_13,13,156,1,170.6666667,12.24411111,,,,
,,,3,169,22.99744444,,,,
,,,5,167.6666667,30.88011111,,,,
,,,7,168.3333333,40.47011111,,,,
,,,9,168,47.90311111,,,,
,,,ILS,176.4,1.836,,,,
,,,,,,,,,
qft_16,16,240,1,271,23.42011111,,,,
,,,3,270.3333333,42.16011111,,,,
,,,5,270.3333333,57.50933333,,,,
,,,7,268.6666667,82.596,,,,
,,,9,268.3333333,104.3295556,,,,
,,,ILS,283.2,3.8201,,,,
,,,,,,,,,
radd_250,13,1405,1,2018.333333,21.21211111,,,,
,,,3,1991,58.45011111,,,,
,,,5,1977,77.55977778,,,,
,,,7,1997,98.17633333,,,,
,,,9,1978.333333,144.6611111,,,,
,,,ILS,2046.3,11.406,,,,
,,,,,,,,,
rd73_252,10,2319,1,3348.333333,41.26322222,,,,
,,,3,3326.333333,91.77522222,,,,
,,,5,3311,122.0618889,,,,
,,,7,3342.333333,169.7857778,,,,
,,,9,3332.333333,193.5251111,,,,
,,,ILS,3505.5,16.4578,,,,
,,,,,,,,,
rd84_142,15,154,1,174.3333333,8.153777778,,,,
,,,3,174,13.69666667,,,,
,,,5,173,18.91788889,,,,
,,,7,173.6666667,20.86788889,,,,
,,,9,173.3333333,24.79955556,,,,
,,,ILS,175.5,2.2304,,,,
,,,,,,,,,
rd84_253,12,5960,1,9362.333333,101.1547778,,,,
,,,3,9333,305.0116667,,,,
,,,5,9306,330.5206667,,,,
,,,7,9246.333333,554.6117778,,,,
,,,9,9338.666667,623.3514444,,,,
,,,ILS,9567,58.8024,,,,
,,,,,,,,,
sqn_258,10,4459,1,6303.666667,47.22333333,,,,
,,,3,6246.333333,158.2686667,,,,
,,,5,6239.666667,222.3055556,,,,
,,,7,6256,277.505,,,,
,,,9,6190,352.3082222,,,,
,,,ILS,6535.8,30.7664,,,,
,,,,,,,,,
square_root_7,15,3089,1,4572,73.75277778,,,,
,,,3,4431.333333,176.9753333,,,,
,,,5,4446.333333,313.1576667,,,,
,,,7,4422,387.2804444,,,,
,,,9,4432,396.979,,,,
,,,ILS,4727.4,31.1948,,,,
,,,,,,,,,
sym6_145,7,1701,1,1934.666667,21.44711111,,,,
,,,3,1925.666667,43.61055556,,,,
,,,5,1924.666667,51.90333333,,,,
,,,7,1914.333333,85.801,,,,
,,,9,1919,123.4043333,,,,
,,,ILS,2019.6,7.5212,,,,
,,,,,,,,,
sym9_193,11,15232,1,22260.66667,215.785,,,,
,,,3,22181.33333,575.6144444,,,,
,,,5,22183,670.1983333,,,,
,,,7,22109.33333,1267.581444,,,,
,,,9,22104,1694.763444,,,,
,,,ILS,23413.8,119.1016,,,,
,,,,,,,,,
z4_268,11,1343,1,1860.666667,23.92677778,,,,
,,,3,1860.666667,56.53444444,,,,
,,,5,1842,76.30122222,,,,
,,,7,1847.333333,105.0038889,,,,
,,,9,1840,130.02,,,,
,,,ILS,1929,12.2899,,,,
