benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,1,24,0.262666667,,1,3527.410256,60.81354274
,,,3,24,0.533555556,,3,3517.551282,128.0774274
,,,5,24,0.687222222,,5,3495.846154,193.2220043
,,,7,24,0.636444444,,7,3494.333333,273.6497265
,,,9,24,0.739555556,,9,3492.282051,321.1613376
,,,ILS,24,0.1557,,ILS,3693.115385,22.70746538
,,,,,,,,,
4mod5-v1_22,5,11,1,6,0.192,,,,
,,,3,6,0.280555556,,,,
,,,5,6,0.295111111,,,,
,,,7,6,0.344444444,,,,
,,,9,6,0.361222222,,,,
,,,ILS,6,0.1804,,,,
,,,,,,,,,
9symml_195,11,15232,1,22076.66667,290.1014444,,,,
,,,3,22048.66667,659.8238889,,,,
,,,5,21923.33333,1064.292333,,,,
,,,7,21976,1510.365556,,,,
,,,9,21939.33333,1718.314444,,,,
,,,ILS,23299.2,115.6717,,,,
,,,,,,,,,
adr4_197,13,1498,1,2056.333333,42.31266667,,,,
,,,3,2057.333333,55.25977778,,,,
,,,5,2065.333333,95.88455556,,,,
,,,7,2029.666667,130.8893333,,,,
,,,9,2048,148.0701111,,,,
,,,ILS,2150.4,20.8704,,,,
,,,,,,,,,
alu-v0_27,5,17,1,18,0.289111111,,,,
,,,3,18,0.409222222,,,,
,,,5,18,0.516777778,,,,
,,,7,18,0.671333333,,,,
,,,9,18,0.881888889,,,,
,,,ILS,18,0.1965,,,,
,,,,,,,,,
co14_215,15,7840,1,9385.666667,307.1001111,,,,
,,,3,9330.333333,607.8864444,,,,
,,,5,9257.666667,802.3702222,,,,
,,,7,9228.333333,1339.918222,,,,
,,,9,9221.333333,1486.966333,,,,
,,,ILS,10269.9,78.9966,,,,
,,,,,,,,,
cycle10_2_110,12,2648,1,3457,53.47966667,,,,
,,,3,3420.333333,131.4162222,,,,
,,,5,3420.666667,170.0104444,,,,
,,,7,3419.666667,183.3305556,,,,
,,,9,3410.666667,267.4186667,,,,
,,,ILS,3467.1,18.7907,,,,
,,,,,,,,,
decod24-v2_43,4,22,1,18,0.091222222,,,,
