benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,1,0,0.000666667,,1,878.7307692,40.73312393
,,,3,0,0.001555556,,3,862.5641026,87.58324786
,,,5,0,0.001,,5,858.9102564,130.7104701
,,,7,0,0.002111111,,7,854.3461538,181.5420726
,,,9,0,0.002888889,,9,845.7820513,242.0727821
,,,ILS,0,3.8254,,ILS,1054.511538,37.82103654
,,,,,,,,,
4mod5-v1_22,5,11,1,0,0.001555556,,,,
,,,3,0,0.002,,,,
,,,5,0,0.002444444,,,,
,,,7,0,0.003444444,,,,
,,,9,0,0.002444444,,,,
,,,ILS,0,1.2334,,,,
,,,,,,,,,
9symml_195,11,15232,1,5372.333333,170.2473333,,,,
,,,3,5340.333333,393.0838889,,,,
,,,5,5295.666667,577.0763333,,,,
,,,7,5286.666667,827.4192222,,,,
,,,9,5253,1190.573222,,,,
,,,ILS,6427.8,104.1655,,,,
,,,,,,,,,
adr4_197,13,1498,1,514,24.69922222,,,,
,,,3,501,60.36211111,,,,
,,,5,501.3333333,84.07244444,,,,
,,,7,484.6666667,106.1665556,,,,
,,,9,485.6666667,146.5693333,,,,
,,,ILS,617.55,9.0142,,,,
,,,,,,,,,
alu-v0_27,5,17,1,3,0.127222222,,,,
,,,3,3,0.209444444,,,,
,,,5,3,0.186333333,,,,
,,,7,3,0.199333333,,,,
,,,9,3,0.250888889,,,,
,,,ILS,3,0.61555,,,,
,,,,,,,,,
co14_215,15,7840,1,2796,180.8246667,,,,
,,,3,2703.666667,325.3704444,,,,
,,,5,2741.333333,649.0736667,,,,
,,,7,2733.333333,845.0665556,,,,
,,,9,2665,976.552,,,,
,,,ILS,3520.95,167.8231,,,,
,,,,,,,,,
cycle10_2_110,12,2648,1,908.3333333,38.46633333,,,,
,,,3,875,85.53433333,,,,
,,,5,882.3333333,108.7282222,,,,
,,,7,864,167.9093333,,,,
,,,9,847.6666667,206.3486667,,,,
,,,ILS,1107.9,53.5513,,,,
,,,,,,,,,
decod24-v2_43,4,22,1,0,0.000444444,,,,
