benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,ILS,0,0.5959,,50,346.9615385,17.95838034
,,,100,0,0.084333333,,100,339.1538462,37.27976068
,,,1000,0,0.097555556,,500,326.6025641,167.3088761
,,,50,0,0.127888889,,1000,321.3846154,323.4342821
,,,500,0,0.086111111,,ILS,410.2846154,28.05919231
,,,,,,,,,
4mod5-v1_22,5,11,ILS,0,0.632,,,,
,,,100,1,0.34,,,,
,,,1000,0,0.344888889,,,,
,,,50,2.333333333,0.229333333,,,,
,,,500,0,0.400555556,,,,
,,,,,,,,,
9symml_195,11,15232,ILS,2637.9,92.1646,,,,
,,,100,2065.666667,164.5942222,,,,
,,,1000,1965.666667,1317.358222,,,,
,,,50,2111,69.40822222,,,,
,,,500,2001.333333,685.2501111,,,,
,,,,,,,,,
adr4_197,13,1498,ILS,272.4,30.4097,,,,
,,,100,240.6666667,22.1,,,,
,,,1000,224,202.6915556,,,,
,,,50,246,11.493,,,,
,,,500,229.6666667,101.5621111,,,,
,,,,,,,,,
alu-v0_27,5,17,ILS,0,0.4744,,,,
,,,100,0,0.228444444,,,,
,,,1000,0,0.158666667,,,,
,,,50,0,0.213333333,,,,
,,,500,0,0.176222222,,,,
,,,,,,,,,
co14_215,15,7840,ILS,806.1,92.8245,,,,
,,,100,774.6666667,145.0323333,,,,
,,,1000,725.6666667,1209.907222,,,,
,,,50,809.3333333,57.685,,,,
,,,500,731.6666667,733.7938889,,,,
,,,,,,,,,
cycle10_2_110,12,2648,ILS,478.5,40.6418,,,,
,,,100,403,28.65888889,,,,
,,,1000,370.6666667,335.7076667,,,,
,,,50,406.6666667,17.58444444,,,,
,,,500,380,150.6313333,,,,
,,,,,,,,,
decod24-v2_43,4,22,ILS,0,0.5767,,,,
,,,100,0,0.077666667,,,,
,,,1000,0,0.069222222,,,,
,,,50,0,0.070666667,,,,
,,,500,0,0.071888889,,,,
,,,,,,,,,
ising_model_10,10,90,ILS,0,0.4879,,,,
,,,100,0,0.216,,,,
,,,1000,0,0.209444444,,,,
,,,50,0,0.222444444,,,,
,,,500,0,0.254888889,,,,
,,,,,,,,,
ising_model_13,13,120,ILS,0,0.6259,,,,
,,,100,0,0.144555556,,,,
,,,1000,0,0.211111111,,,,
,,,50,0,0.140111111,,,,
,,,500,0,0.143444444,,,,
,,,,,,,,,
ising_model_16,16,150,ILS,0,0.661,,,,
,,,100,0,0.409333333,,,,
,,,1000,0,0.532666667,,,,
,,,50,0,0.522222222,,,,
,,,500,0,0.477888889,,,,
,,,,,,,,,
misex1_241,15,2100,ILS,230.1,35.8588,,,,
,,,100,195.3333333,17.93266667,,,,
,,,1000,184,167.7413333,,,,
,,,50,200.3333333,9.857111111,,,,
,,,500,187.6666667,85.25633333,,,,
,,,,,,,,,
mod5mils_65,5,16,ILS,0,0.5253,,,,
,,,100,0,0.089888889,,,,
,,,1000,0,0.134,,,,
,,,50,0,0.099333333,,,,
,,,500,0,0.098777778,,,,
,,,,,,,,,
qft_10,10,90,ILS,21,4.3583,,,,
,,,100,21,3.834,,,,
,,,1000,21,36.68222222,,,,
,,,50,21,2.008666667,,,,
,,,500,21,20.32488889,,,,
,,,,,,,,,
qft_13,13,156,ILS,44.7,10.3903,,,,
,,,100,42,13.20177778,,,,
,,,1000,40,159.7278889,,,,
,,,50,42.33333333,7.233111111,,,,
,,,500,41.33333333,57.57288889,,,,
,,,,,,,,,
qft_16,16,240,ILS,84.9,17.9604,,,,
,,,100,72.66666667,36.051,,,,
,,,1000,69.33333333,319.956,,,,
,,,50,74,18.41588889,,,,
,,,500,70,161.3802222,,,,
,,,,,,,,,
qft_20,20,380,ILS,164.4,30.5707,,,,
,,,100,139,90.58955556,,,,
,,,1000,131,879.4416667,,,,
,,,50,139.6666667,56.75944444,,,,
,,,500,132,458.5033333,,,,
,,,,,,,,,
radd_250,13,1405,ILS,256.5,29.8393,,,,
,,,100,229.3333333,19.368,,,,
,,,1000,205.3333333,211.7425556,,,,
,,,50,231,11.85655556,,,,
,,,500,212,86.40133333,,,,
,,,,,,,,,
rd73_252,10,2319,ILS,409.5,30.0133,,,,
,,,100,350.3333333,31.26344444,,,,
,,,1000,339,236.1338889,,,,
,,,50,360,11.71444444,,,,
,,,500,341.6666667,119.8408889,,,,
,,,,,,,,,
rd84_142,15,154,ILS,25.5,8.7675,,,,
,,,100,18.66666667,9.050444444,,,,
,,,1000,15.33333333,80.38477778,,,,
,,,50,19,5.245888889,,,,
,,,500,15.66666667,43.07655556,,,,
,,,,,,,,,
rd84_253,12,5960,ILS,1253.4,71.9957,,,,
,,,100,1047,75.3,,,,
,,,1000,1028.666667,591.0543333,,,,
,,,50,1058.333333,44.40955556,,,,
,,,500,1034.333333,294.2725556,,,,
,,,,,,,,,
sqn_258,10,4459,ILS,608.4,42.6483,,,,
,,,100,489.6666667,34.96955556,,,,
,,,1000,462.3333333,334.117,,,,
,,,50,500.3333333,18.531,,,,
,,,500,469,159.9205556,,,,
,,,,,,,,,
square_root_7,15,3089,ILS,407.7,56.0273,,,,
,,,100,371.3333333,83.789,,,,
,,,1000,324.6666667,764.3545556,,,,
,,,50,390,39.01688889,,,,
,,,500,335,398.2098889,,,,
,,,,,,,,,
sym6_145,7,1701,ILS,109.8,16.2414,,,,
,,,100,101,10.34988889,,,,
,,,1000,99.66666667,73.39455556,,,,
,,,50,103.3333333,4.940777778,,,,
,,,500,100.6666667,34.91711111,,,,
,,,,,,,,,
sym9_193,11,15232,ILS,2637.9,90.5698,,,,
,,,100,2065.666667,163.8691111,,,,
,,,1000,1965.666667,1322.494667,,,,
,,,50,2111,70.42111111,,,,
,,,500,2001.333333,684.6494444,,,,
,,,,,,,,,
z4_268,11,1343,ILS,218.7,23.6782,,,,
,,,100,190,17.72966667,,,,
,,,1000,184,164.6436667,,,,
,,,50,195.3333333,8.711444444,,,,
,,,500,187.3333333,72.75755556,,,,
