benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,100,0,0.000777778,,50,1051.705128,11.99221795
,,,1000,0,0.000555556,,100,1037.782051,24.78193162
,,,50,0,0.000666667,,500,1015.923077,112.4696581
,,,500,0,0.000666667,,1000,1005.75641,238.101812
,,,ILS,0,0.0048,,ILS,1149.796154,40.65140769
,,,,,,,,,
4mod5-v1_22,5,11,100,0,0.001666667,,,,
,,,1000,0,0.001888889,,,,
,,,50,0,0.002111111,,,,
,,,500,0,0.001777778,,,,
,,,ILS,0,0.0048,,,,
,,,,,,,,,
9symml_195,11,15232,100,6760.666667,130.9296667,,,,
,,,1000,6645.333333,1172.632333,,,,
,,,50,6843.666667,59.167,,,,
,,,500,6684.666667,550.6994444,,,,
,,,ILS,7561.8,184.5852,,,,
,,,,,,,,,
adr4_197,13,1498,100,566.6666667,16.35088889,,,,
,,,1000,520,158.5267778,,,,
,,,50,572.6666667,8.514333333,,,,
,,,500,536.6666667,73.29277778,,,,
,,,ILS,608.4,37.8939,,,,
,,,,,,,,,
alu-v0_27,5,17,100,3,0.028222222,,,,
,,,1000,3,0.272111111,,,,
,,,50,3,0.014,,,,
,,,500,3,0.140222222,,,,
,,,ILS,3,0.3325,,,,
,,,,,,,,,
co14_215,15,7840,100,3412.666667,120.3951111,,,,
,,,1000,3269.666667,1127.831222,,,,
,,,50,3466.333333,53.74088889,,,,
,,,500,3291,591.8531111,,,,
,,,ILS,3750.6,129.4221,,,,
,,,,,,,,,
cycle10_2_110,12,2648,100,1026.333333,22.96,,,,
,,,1000,1001,212.0238889,,,,
,,,50,1032,12.51722222,,,,
,,,500,1012,108.0728889,,,,
,,,ILS,1133.4,59.7997,,,,
,,,,,,,,,
decod24-v2_43,4,22,100,0,0.000444444,,,,
,,,1000,0,0.001,,,,
,,,50,0,0.000555556,,,,
,,,500,0,0.000555556,,,,
,,,ILS,0,0.0069,,,,
,,,,,,,,,
ising_model_10,10,90,100,0,0.001777778,,,,
,,,1000,0,0.001666667,,,,
,,,50,0,0.010555556,,,,
,,,500,0,0.004555556,,,,
,,,ILS,0,0.0029,,,,
,,,,,,,,,
ising_model_13,13,120,100,0,0.004,,,,
,,,1000,0,0.004888889,,,,
,,,50,0,0.004333333,,,,
,,,500,0,0.004333333,,,,
,,,ILS,0,0.0103,,,,
,,,,,,,,,
ising_model_16,16,150,100,0,0.068777778,,,,
,,,1000,0,0.044666667,,,,
,,,50,0,0.054555556,,,,
,,,500,0,0.068444444,,,,
,,,ILS,0,0.0347,,,,
,,,,,,,,,
misex1_241,15,2100,100,499.3333333,13.015,,,,
,,,1000,477.6666667,128.9326667,,,,
,,,50,511.6666667,6.591,,,,
,,,500,490,51.001,,,,
,,,ILS,561.3,32.3052,,,,
,,,,,,,,,
mod5mils_65,5,16,100,0,0.003666667,,,,
,,,1000,0,0.003777778,,,,
,,,50,0,0.004333333,,,,
,,,500,0,0.003777778,,,,
,,,ILS,0,0.0036,,,,
,,,,,,,,,
qft_10,10,90,100,28.66666667,1.6,,,,
,,,1000,27,17.22777778,,,,
,,,50,28.66666667,0.966666667,,,,
,,,500,27,8.818222222,,,,
,,,ILS,28.2,3.7638,,,,
,,,,,,,,,
qft_13,13,156,100,67.33333333,6.629333333,,,,
,,,1000,62,70.58822222,,,,
,,,50,68,3.123777778,,,,
,,,500,63.66666667,31.23022222,,,,
,,,ILS,69,8.2504,,,,
,,,,,,,,,
qft_16,16,240,100,124,15.35366667,,,,
,,,1000,116.6666667,157.7762222,,,,
,,,50,125,8.328222222,,,,
,,,500,120.3333333,66.77922222,,,,
,,,ILS,124.5,12.7225,,,,
,,,,,,,,,
radd_250,13,1405,100,550.3333333,16.044,,,,
,,,1000,521.6666667,147.2274444,,,,
,,,50,559,9.745,,,,
,,,500,531.3333333,68.25011111,,,,
,,,ILS,611.4,41.5264,,,,
,,,,,,,,,
rd73_252,10,2319,100,915,19.08477778,,,,
,,,1000,879.3333333,214.6726667,,,,
,,,50,922.6666667,10.50877778,,,,
,,,500,889.3333333,93.14244444,,,,
,,,ILS,987.3,52.5492,,,,
,,,,,,,,,
rd84_142,15,154,100,58.33333333,3.390222222,,,,
,,,1000,57,27.87977778,,,,
,,,50,60,1.671888889,,,,
,,,500,57,16.74866667,,,,
,,,ILS,64.8,8.0569,,,,
,,,,,,,,,
rd84_253,12,5960,100,2785.333333,47.92111111,,,,
,,,1000,2689,559.7208889,,,,
,,,50,2797.333333,28.91477778,,,,
,,,500,2744.333333,215.0666667,,,,
,,,ILS,3108.9,102.7917,,,,
,,,,,,,,,
sqn_258,10,4459,100,1662.333333,34.40844444,,,,
,,,1000,1578.333333,334.043,,,,
,,,50,1702.333333,17.64255556,,,,
,,,500,1589.666667,186.6114444,,,,
,,,ILS,1865.1,73.5393,,,,
,,,,,,,,,
square_root_7,15,3089,100,797.3333333,42.98922222,,,,
,,,1000,747.6666667,474.7297778,,,,
,,,50,829.3333333,20.31655556,,,,
,,,500,762,193.9443333,,,,
,,,ILS,828.3,64.4327,,,,
,,,,,,,,,
sym6_145,7,1701,100,490.3333333,8.570333333,,,,
,,,1000,465,97.8,,,,
,,,50,494.3333333,4.600333333,,,,
,,,500,482,42.96888889,,,,
,,,ILS,503.4,25.0409,,,,
,,,,,,,,,
sym9_193,11,15232,100,6760.666667,130.4721111,,,,
,,,1000,6645.333333,1167.757667,,,,
,,,50,6843.666667,59.07688889,,,,
,,,500,6684.666667,552.8914444,,,,
,,,ILS,7561.8,187.5627,,,,
,,,,,,,,,
z4_268,11,1343,100,474,14.107,,,,
,,,1000,444,120.9462222,,,,
,,,50,484.6666667,6.280666667,,,,
,,,500,445.3333333,72.61588889,,,,
,,,ILS,523.5,32.2935,,,,
