benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,100,24,0.13,,50,2673.75641,30.74630342
,,,1000,24,1.542888889,,100,2660.371795,64.67888034
,,,50,24,0.064777778,,500,2639.371795,297.473735
,,,500,24,0.791444444,,1000,2630.346154,596.7004188
,,,ILS,24,0.1462,,ILS,2772.934615,23.47781538
,,,,,,,,,
4mod5-v1_22,5,11,100,6.333333333,0.092777778,,,,
,,,1000,6,0.848888889,,,,
,,,50,7.333333333,0.035333333,,,,
,,,500,6,0.425888889,,,,
,,,ILS,6,0.0901,,,,
,,,,,,,,,
9symml_195,11,15232,100,16302.33333,337.4216667,,,,
,,,1000,16210,2860.297778,,,,
,,,50,16360.33333,167.2644444,,,,
,,,500,16240,1525.913333,,,,
,,,ILS,16947.3,108.8339,,,,
,,,,,,,,,
adr4_197,13,1498,100,1582.666667,32.91255556,,,,
,,,1000,1563,293.0183333,,,,
,,,50,1588.333333,16.99066667,,,,
,,,500,1567.666667,162.1351111,,,,
,,,ILS,1615.5,17.9178,,,,
,,,,,,,,,
alu-v0_27,5,17,100,12,0.114222222,,,,
,,,1000,12,1.351555556,,,,
,,,50,12,0.049,,,,
,,,500,12,0.84,,,,
,,,ILS,12,0.1887,,,,
,,,,,,,,,
co14_215,15,7840,100,7983.666667,319.3163333,,,,
,,,1000,7855.666667,2426.631111,,,,
,,,50,8075.333333,123.1948889,,,,
,,,500,7890.333333,1246.742778,,,,
,,,ILS,8668.5,123.0591,,,,
,,,,,,,,,
cycle10_2_110,12,2648,100,2763.333333,64.77711111,,,,
,,,1000,2715,731.4845556,,,,
,,,50,2778.666667,25.54088889,,,,
,,,500,2728,334.8551111,,,,
,,,ILS,2801.7,23.6584,,,,
,,,,,,,,,
decod24-v2_43,4,22,100,18,0.052777778,,,,
,,,1000,18,0.595888889,,,,
,,,50,18,0.026777778,,,,
,,,500,18,0.271777778,,,,
,,,ILS,18,0.0661,,,,
,,,,,,,,,
ising_model_10,10,90,100,0,0.040777778,,,,
,,,1000,0,0.022666667,,,,
,,,50,0,0.019666667,,,,
,,,500,0,0.072444444,,,,
,,,ILS,0,0.0035,,,,
,,,,,,,,,
ising_model_13,13,120,100,0,0.017777778,,,,
,,,1000,0,0.017555556,,,,
,,,50,0,0.018,,,,
,,,500,0,0.018888889,,,,
,,,ILS,0,0.0027,,,,
,,,,,,,,,
ising_model_16,16,150,100,0,0.171777778,,,,
,,,1000,0,0.126,,,,
,,,50,0,0.101444444,,,,
,,,500,0,0.172666667,,,,
,,,ILS,0,0.0235,,,,
,,,,,,,,,
misex1_241,15,2100,100,2052,34.57822222,,,,
,,,1000,2019.666667,423.7908889,,,,
,,,50,2066.666667,16.54188889,,,,
,,,500,2032,179.1106667,,,,
,,,ILS,2073.9,22.1347,,,,
,,,,,,,,,
mod5mils_65,5,16,100,12,0.054,,,,
,,,1000,12,0.628,,,,
,,,50,12,0.029,,,,
,,,500,12,0.259555556,,,,
,,,ILS,12,0.0574,,,,
,,,,,,,,,
qft_10,10,90,100,47,5.118444444,,,,
,,,1000,45,37.78411111,,,,
,,,50,49.33333333,3.228666667,,,,
,,,500,45.33333333,18.78988889,,,,
,,,ILS,54.3,1.4522,,,,
,,,,,,,,,
qft_13,13,156,100,102,11.186,,,,
,,,1000,98.33333333,111.9106667,,,,
,,,50,105,5.709333333,,,,
,,,500,99.33333333,59.43977778,,,,
,,,ILS,109.5,2.8062,,,,
,,,,,,,,,
qft_16,16,240,100,175.6666667,28.57233333,,,,
,,,1000,167.6666667,285.4276667,,,,
,,,50,178.3333333,15.97088889,,,,
,,,500,171.3333333,126.6162222,,,,
,,,ILS,187.2,7.3858,,,,
,,,,,,,,,
qft_20,20,380,100,305.6666667,61.57677778,,,,
,,,1000,287.6666667,709.8844444,,,,
,,,50,310.3333333,25.949,,,,
,,,500,294,321.5722222,,,,
,,,ILS,337.8,6.3092,,,,
,,,,,,,,,
radd_250,13,1405,100,1485.666667,34.65455556,,,,
,,,1000,1465.666667,278.4407778,,,,
,,,50,1494,17.31733333,,,,
,,,500,1470,140.3634444,,,,
,,,ILS,1527.6,11.2964,,,,
,,,,,,,,,
rd73_252,10,2319,100,2455,49.28711111,,,,
,,,1000,2423.333333,503.8412222,,,,
,,,50,2458.666667,27.24422222,,,,
,,,500,2436.666667,265.0783333,,,,
,,,ILS,2513.1,19.6128,,,,
,,,,,,,,,
rd84_142,15,154,100,144,11.47922222,,,,
,,,1000,140.3333333,91.73022222,,,,
,,,50,147,3.842888889,,,,
,,,500,142,44.26377778,,,,
,,,ILS,146.7,2.5955,,,,
,,,,,,,,,
rd84_253,12,5960,100,6495,129.6966667,,,,
,,,1000,6439.333333,1419.862222,,,,
,,,50,6502.333333,66.62566667,,,,
,,,500,6458,661.2077778,,,,
,,,ILS,6734.4,51.3541,,,,
,,,,,,,,,
sqn_258,10,4459,100,4623.333333,82.78622222,,,,
,,,1000,4580.666667,954.5944444,,,,
,,,50,4635.333333,40.49388889,,,,
,,,500,4600.666667,396.3175556,,,,
,,,ILS,4765.8,32.8642,,,,
,,,,,,,,,
square_root_7,15,3089,100,3280,91.40277778,,,,
,,,1000,3134,1007.676556,,,,
,,,50,3327.333333,47.57222222,,,,
,,,500,3167,463.8138889,,,,
,,,ILS,3528.6,43.9125,,,,
,,,,,,,,,
sym6_145,7,1701,100,1597.666667,26.34088889,,,,
,,,1000,1585.333333,233.2166667,,,,
,,,50,1604,13.41355556,,,,
,,,500,1587.333333,120.3827778,,,,
,,,ILS,1654.5,9.7481,,,,
,,,,,,,,,
sym9_193,11,15232,100,16302.33333,332.5826667,,,,
,,,1000,16210,2849.104444,,,,
,,,50,16360.33333,166.4998889,,,,
,,,500,16240,1523.726667,,,,
,,,ILS,16947.3,108.7927,,,,
,,,,,,,,,
z4_268,11,1343,100,1400,27.28722222,,,,
,,,1000,1376.333333,290.3813333,,,,
,,,50,1403,15.65955556,,,,
,,,500,1382,141.1351111,,,,
,,,ILS,1410.6,16.1114,,,,
