benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,100,24.33333333,0.091555556,,50,3566.910256,17.54176496
,,,1000,24,0.835555556,,100,3542.461538,35.78982051
,,,50,24.66666667,0.048666667,,500,3518.974359,139.8271923
,,,500,24,0.419444444,,1000,3501.051282,324.1683632
,,,ILS,24,0.1176,,ILS,3709.130769,20.88747692
,,,,,,,,,
4mod5-v1_22,5,11,100,6.333333333,0.038666667,,,,
,,,1000,6,0.285222222,,,,
,,,50,6.666666667,0.018222222,,,,
,,,500,6,0.258111111,,,,
,,,ILS,6,0.0591,,,,
,,,,,,,,,
9symml_195,11,15232,100,22222,205.1986667,,,,
,,,1000,22082,1661.758111,,,,
,,,50,22313.66667,101.7136667,,,,
,,,500,22183,669.6541111,,,,
,,,ILS,23413.8,118.3802,,,,
,,,,,,,,,
adr4_197,13,1498,100,2143.333333,19.73111111,,,,
,,,1000,2106.666667,198.1751111,,,,
,,,50,2170.666667,8.974555556,,,,
,,,500,2115.666667,79.98888889,,,,
,,,ILS,2255.4,16.4128,,,,
,,,,,,,,,
alu-v0_27,5,17,100,18,0.057444444,,,,
,,,1000,18,0.952888889,,,,
,,,50,18,0.025777778,,,,
,,,500,18,0.436666667,,,,
,,,ILS,18,0.1273,,,,
,,,,,,,,,
co14_215,15,7840,100,9218,150.1303333,,,,
,,,1000,9105.666667,1763.061111,,,,
,,,50,9239.333333,83.11644444,,,,
,,,500,9165,648.5677778,,,,
,,,ILS,10053.9,75.5926,,,,
,,,,,,,,,
cycle10_2_110,12,2648,100,3437.666667,33.437,,,,
,,,1000,3405.666667,315.5801111,,,,
,,,50,3454,14.50188889,,,,
,,,500,3422.666667,142.733,,,,
,,,ILS,3464.1,15.57,,,,
,,,,,,,,,
decod24-v2_43,4,22,100,18,0.030777778,,,,
,,,1000,18,0.389222222,,,,
,,,50,18,0.015777778,,,,
,,,500,18,0.155666667,,,,
,,,ILS,18,0.051,,,,
,,,,,,,,,
ising_model_10,10,90,100,0,0.005111111,,,,
,,,1000,0,0.01,,,,
,,,50,0,0.014555556,,,,
,,,500,0,0.008777778,,,,
,,,ILS,0,0.0071,,,,
,,,,,,,,,
ising_model_13,13,120,100,0,0.035333333,,,,
,,,1000,0,0.039666667,,,,
,,,50,0,0.049,,,,
,,,500,0,0.037444444,,,,
,,,ILS,0,0.0088,,,,
,,,,,,,,,
ising_model_16,16,150,100,36.66666667,2.764555556,,,,
,,,1000,33,26.37111111,,,,
,,,50,38.33333333,1.654111111,,,,
,,,500,33.33333333,14.91366667,,,,
,,,ILS,39,1.9165,,,,
,,,,,,,,,
misex1_241,15,2100,100,2602.666667,18.055,,,,
,,,1000,2562.333333,193.416,,,,
,,,50,2610,10.47611111,,,,
,,,500,2567.333333,92.72544444,,,,
,,,ILS,2662.2,18.1159,,,,
,,,,,,,,,
mod5mils_65,5,16,100,12,0.038,,,,
,,,1000,12,0.353111111,,,,
,,,50,12,0.022666667,,,,
,,,500,12,0.162111111,,,,
,,,ILS,12,0.0531,,,,
,,,,,,,,,
qft_10,10,90,100,90.33333333,2.449333333,,,,
