benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,100,24,0.131222222,,50,3549.487179,20.77769231
,,,1000,24,1.028555556,,100,3534.102564,41.0768547
,,,50,24.66666667,0.066666667,,500,3495.846154,193.2220043
,,,500,24,0.687222222,,1000,3479.641026,403.3297179
,,,ILS,24,0.1557,,ILS,3693.115385,22.70746538
,,,,,,,,,
4mod5-v1_22,5,11,100,6.333333333,0.056444444,,,,
,,,1000,6,0.504777778,,,,
,,,50,7.333333333,0.025888889,,,,
,,,500,6,0.295111111,,,,
,,,ILS,6,0.1804,,,,
,,,,,,,,,
9symml_195,11,15232,100,22106,240.69,,,,
,,,1000,21828,2332.498889,,,,
,,,50,22202.66667,114.0063333,,,,
,,,500,21923.33333,1064.292333,,,,
,,,ILS,23299.2,115.6717,,,,
,,,,,,,,,
adr4_197,13,1498,100,2091.666667,23.62355556,,,,
,,,1000,2041.333333,274.8884444,,,,
,,,50,2107.666667,10.63011111,,,,
,,,500,2065.333333,95.88455556,,,,
,,,ILS,2150.4,20.8704,,,,
,,,,,,,,,
alu-v0_27,5,17,100,18,0.073111111,,,,
,,,1000,18,1.100666667,,,,
,,,50,18,0.035888889,,,,
,,,500,18,0.516777778,,,,
,,,ILS,18,0.1965,,,,
,,,,,,,,,
co14_215,15,7840,100,9348.333333,174.3782222,,,,
,,,1000,9222.666667,1703.372222,,,,
,,,50,9409.333333,79.63833333,,,,
,,,500,9257.666667,802.3702222,,,,
,,,ILS,10269.9,78.9966,,,,
,,,,,,,,,
cycle10_2_110,12,2648,100,3441.333333,38.94111111,,,,
,,,1000,3420.666667,284.4032222,,,,
,,,50,3446,19.17311111,,,,
,,,500,3420.666667,170.0104444,,,,
,,,ILS,3467.1,18.7907,,,,
,,,,,,,,,
decod24-v2_43,4,22,100,18,0.034333333,,,,
,,,1000,18,0.382555556,,,,
,,,50,18,0.017555556,,,,
,,,500,18,0.181888889,,,,
,,,ILS,18,0.0622,,,,
,,,,,,,,,
ising_model_10,10,90,100,0,0.029777778,,,,
,,,1000,0,0.021555556,,,,
,,,50,0,0.026888889,,,,
,,,500,0,0.025333333,,,,
,,,ILS,0,0.0113,,,,
,,,,,,,,,
ising_model_13,13,120,100,0,0.024111111,,,,
,,,1000,0,0.019888889,,,,
,,,50,0,0.019888889,,,,
,,,500,0,0.019444444,,,,
,,,ILS,0,0.0107,,,,
,,,,,,,,,
ising_model_16,16,150,100,0,0.281444444,,,,
,,,1000,0,0.264888889,,,,
,,,50,0,0.270888889,,,,
,,,500,0,0.324777778,,,,
,,,ILS,0,0.0852,,,,
,,,,,,,,,
misex1_241,15,2100,100,2564,21.78211111,,,,
,,,1000,2496,205.0728889,,,,
,,,50,2590,11.15522222,,,,
,,,500,2514.666667,105.3314444,,,,
,,,ILS,2655.3,22.0586,,,,
,,,,,,,,,
mod5mils_65,5,16,100,12,0.044,,,,
,,,1000,12,0.470222222,,,,
,,,50,12,0.025777778,,,,
,,,500,12,0.258,,,,
,,,ILS,12,0.0752,,,,
,,,,,,,,,
qft_10,10,90,100,88,3.037666667,,,,
,,,1000,87,24.07144444,,,,
,,,50,89.33333333,1.761222222,,,,
,,,500,87,15.05833333,,,,
,,,ILS,91.5,1.438,,,,
,,,,,,,,,
qft_13,13,156,100,171.6666667,8.097111111,,,,
,,,1000,167.6666667,71.27122222,,,,
,,,50,172.3333333,4.720333333,,,,
,,,500,168.3333333,31.10922222,,,,
,,,ILS,177.9,2.9085,,,,
,,,,,,,,,
qft_16,16,240,100,279.3333333,17.54866667,,,,
,,,1000,272.6666667,160.2005556,,,,
,,,50,281,11.363,,,,
,,,500,274.6666667,84.47066667,,,,
,,,ILS,289.8,4.9963,,,,
,,,,,,,,,
qft_20,20,380,100,472,43.93655556,,,,
,,,1000,459.3333333,394.9415556,,,,
,,,50,476,23.84411111,,,,
,,,500,462,202.6887778,,,,
,,,ILS,490.2,8.3218,,,,
,,,,,,,,,
radd_250,13,1405,100,1927.666667,17.76044444,,,,
,,,1000,1892.333333,208.4017778,,,,
,,,50,1933.333333,9.78,,,,
,,,500,1902.666667,106.555,,,,
,,,ILS,1968.6,14.9007,,,,
,,,,,,,,,
rd73_252,10,2319,100,3268.666667,26.80777778,,,,
,,,1000,3211,341.5571111,,,,
,,,50,3278,14.87188889,,,,
,,,500,3230,159.2971111,,,,
,,,ILS,3406.2,20.5015,,,,
,,,,,,,,,
rd84_142,15,154,100,174,6.500333333,,,,
,,,1000,170,57.77366667,,,,
,,,50,175.6666667,2.659111111,,,,
,,,500,171.6666667,24.61711111,,,,
,,,ILS,174.9,2.6382,,,,
,,,,,,,,,
rd84_253,12,5960,100,9117,77.91422222,,,,
,,,1000,9035.333333,626.1422222,,,,
,,,50,9129.666667,52.13555556,,,,
,,,500,9044.666667,355.6527778,,,,
,,,ILS,9306,62.2398,,,,
,,,,,,,,,
sqn_258,10,4459,100,6074,40.37788889,,,,
,,,1000,5994,542.1321111,,,,
,,,50,6087,24.67433333,,,,
,,,500,6013.333333,226.0487778,,,,
,,,ILS,6301.5,40.3143,,,,
,,,,,,,,,
square_root_7,15,3089,100,4801.333333,54.58033333,,,,
,,,1000,4572.666667,603.7661111,,,,
,,,50,4837.666667,29.33144444,,,,
,,,500,4629,338.2577778,,,,
,,,ILS,4691.7,38.9511,,,,
,,,,,,,,,
sym6_145,7,1701,100,1940.333333,12.39966667,,,,
,,,1000,1914.666667,137.3454444,,,,
,,,50,1943.666667,6.571666667,,,,
,,,500,1923,59.08644444,,,,
,,,ILS,2023.5,9.7807,,,,
,,,,,,,,,
sym9_193,11,15232,100,22106,242.1977778,,,,
