benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,100,0,0.001111111,,50,906.9102564,14.6334359
,,,1000,0,0.001222222,,100,888.2948718,28.52508974
,,,50,0,0.001111111,,500,858.9102564,130.7104701
,,,500,0,0.001,,1000,844.4102564,263.1199017
,,,ILS,0,3.8254,,ILS,1054.511538,37.82103654
,,,,,,,,,
4mod5-v1_22,5,11,100,0,0.002444444,,,,
,,,1000,0,0.002777778,,,,
,,,50,0,0.002666667,,,,
,,,500,0,0.002444444,,,,
,,,ILS,0,1.2334,,,,
,,,,,,,,,
9symml_195,11,15232,100,5414.333333,138.0645556,,,,
,,,1000,5204.333333,1135.161111,,,,
,,,50,5544,66.85911111,,,,
,,,500,5295.666667,577.0763333,,,,
,,,ILS,6427.8,104.1655,,,,
,,,,,,,,,
adr4_197,13,1498,100,520.6666667,15.19522222,,,,
,,,1000,498.6666667,167.3748889,,,,
,,,50,533.6666667,7.332555556,,,,
,,,500,501.3333333,84.07244444,,,,
,,,ILS,617.55,9.0142,,,,
,,,,,,,,,
alu-v0_27,5,17,100,3,0.032333333,,,,
,,,1000,3,0.312444444,,,,
,,,50,3,0.017555556,,,,
,,,500,3,0.186333333,,,,
,,,ILS,3,0.61555,,,,
,,,,,,,,,
co14_215,15,7840,100,2902.666667,114.9504444,,,,
,,,1000,2685,1276.920444,,,,
,,,50,2944,60.23033333,,,,
,,,500,2741.333333,649.0736667,,,,
,,,ILS,3520.95,167.8231,,,,
,,,,,,,,,
cycle10_2_110,12,2648,100,929.6666667,26.34177778,,,,
,,,1000,860.3333333,272.0776667,,,,
,,,50,942.6666667,13.99888889,,,,
,,,500,882.3333333,108.7282222,,,,
,,,ILS,1107.9,53.5513,,,,
,,,,,,,,,
decod24-v2_43,4,22,100,0,0.001333333,,,,
,,,1000,0,0.001,,,,
,,,50,0,0.001,,,,
,,,500,0,0.001,,,,
,,,ILS,0,8.1583,,,,
,,,,,,,,,
ising_model_10,10,90,100,0,0.004555556,,,,
,,,1000,0,0.008555556,,,,
,,,50,0,0.015888889,,,,
,,,500,0,0.012444444,,,,
,,,ILS,0,12.1914,,,,
,,,,,,,,,
ising_model_13,13,120,100,0,0.005333333,,,,
,,,1000,0,0.005222222,,,,
,,,50,0,0.005333333,,,,
,,,500,0,0.005444444,,,,
,,,ILS,7.5,25.32665,,,,
,,,,,,,,,
ising_model_16,16,150,100,0,0.069444444,,,,
,,,1000,0,0.109,,,,
,,,50,0,0.084444444,,,,
,,,500,0,0.103444444,,,,
,,,ILS,0,19.438,,,,
,,,,,,,,,
misex1_241,15,2100,100,469.3333333,14.09688889,,,,
,,,1000,416,135.8085556,,,,
,,,50,483,9.378111111,,,,
,,,500,434.6666667,59.97755556,,,,
,,,ILS,559.35,52.5816,,,,
,,,,,,,,,
mod5mils_65,5,16,100,0,0.004777778,,,,
,,,1000,0,0.005,,,,
,,,50,0,0.004555556,,,,
,,,500,0,0.004333333,,,,
,,,ILS,0,0.06965,,,,
,,,,,,,,,
qft_10,10,90,100,28.33333333,2.854666667,,,,
,,,1000,27,23.33733333,,,,
,,,50,29.33333333,1.441111111,,,,
,,,500,27.33333333,12.85988889,,,,
,,,ILS,30.9,18.00285,,,,
,,,,,,,,,
qft_13,13,156,100,64,7.860111111,,,,
,,,1000,61.33333333,67.70366667,,,,
,,,50,64.33333333,4.495444444,,,,
,,,500,62,41.904,,,,
,,,ILS,73.65,13.64905,,,,
,,,,,,,,,
qft_16,16,240,100,120,20.17877778,,,,
,,,1000,115,175.2955556,,,,
,,,50,120.6666667,12.88033333,,,,
,,,500,115.6666667,87.82733333,,,,
,,,ILS,133.2,22.2385,,,,
,,,,,,,,,
qft_20,20,380,100,223.6666667,46.73122222,,,,
,,,1000,216.3333333,401.0468889,,,,
,,,50,226.3333333,25.45822222,,,,
,,,500,218,222.2923333,,,,
,,,ILS,252.9,74.56565,,,,
,,,,,,,,,
radd_250,13,1405,100,540,17.91955556,,,,
,,,1000,516,145.9394444,,,,
,,,50,553.3333333,9.568666667,,,,
,,,500,524.6666667,73.699,,,,
,,,ILS,634.95,17.10805,,,,
,,,,,,,,,
rd73_252,10,2319,100,812.6666667,26.19011111,,,,
,,,1000,765.3333333,310.6834444,,,,
,,,50,848.3333333,11.51044444,,,,
,,,500,793.3333333,122.0447778,,,,
,,,ILS,984.3,46.15885,,,,
,,,,,,,,,
rd84_142,15,154,100,59,4.627222222,,,,
,,,1000,54.33333333,49.67722222,,,,
,,,50,60.33333333,2.460444444,,,,
,,,500,56.33333333,19.82511111,,,,
,,,ILS,74.85,1.5322,,,,
,,,,,,,,,
rd84_253,12,5960,100,2301.666667,56.55555556,,,,
,,,1000,2218,415.4668889,,,,
,,,50,2332,29.94588889,,,,
,,,500,2218,239.8206667,,,,
,,,ILS,2688.3,29.176,,,,
,,,,,,,,,
sqn_258,10,4459,100,1522.666667,34.29166667,,,,
,,,1000,1462,398.1532222,,,,
,,,50,1539.333333,16.19233333,,,,
,,,500,1485,166.6084444,,,,
,,,ILS,1753.65,99.70725,,,,
,,,,,,,,,
square_root_7,15,3089,100,822,55.42177778,,,,
,,,1000,772.3333333,451.066,,,,
,,,50,860.6666667,27.51344444,,,,
,,,500,785.6666667,214.224,,,,
,,,ILS,1119.3,36.61845,,,,
,,,,,,,,,
sym6_145,7,1701,100,497,9.181333333,,,,
,,,1000,450.6666667,113.7441111,,,,
,,,50,497,5.426333333,,,,
,,,500,460,62.55511111,,,,
,,,ILS,517.95,6.7282,,,,
,,,,,,,,,
sym9_193,11,15232,100,5414.333333,136.2174444,,,,
,,,1000,5204.333333,1144.946111,,,,
,,,50,5544,67.19588889,,,,
,,,500,5295.666667,579.1241111,,,,
,,,ILS,6394.5,141.2011,,,,
,,,,,,,,,
z4_268,11,1343,100,450.6666667,14.85266667,,,,
,,,1000,424.6666667,156.2696667,,,,
