benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,ILS,0,0.5959,,1,339.0897436,132.541359
,,,1,0,0.080888889,,3,331.3717949,138.1685214
,,,3,0,0.080888889,,5,326.6025641,167.3055641
,,,5,0,0.086111111,,7,321.6666667,211.2110342
,,,7,0,0.097111111,,9,315.3717949,209.0126496
,,,9,0,0.102333333,,ILS,410.2846154,28.01196538
,,,,,,,,,
4mod5-v1_22,5,11,ILS,0,0.632,,,,
,,,1,0,0.427666667,,,,
,,,3,0.333333333,0.254333333,,,,
,,,5,0,0.400555556,,,,
,,,7,0.333333333,0.529333333,,,,
,,,9,0.333333333,0.778222222,,,,
,,,,,,,,,
9symml_195,11,15232,ILS,2637.9,92.1646,,,,
,,,1,2055,594.7786667,,,,
,,,3,2022,522.3324444,,,,
,,,5,2001.333333,685.2501111,,,,
,,,7,1956,923.7627778,,,,
,,,9,1942,806.3911111,,,,
,,,,,,,,,
adr4_197,13,1498,ILS,272.4,30.4097,,,,
,,,1,237.6666667,81.62822222,,,,
,,,3,234.6666667,89.73122222,,,,
,,,5,229.6666667,101.5621111,,,,
,,,7,229,91.24111111,,,,
,,,9,227,122.3917778,,,,
,,,,,,,,,
alu-v0_27,5,17,ILS,0,0.4744,,,,
,,,1,0,0.258444444,,,,
,,,3,0,0.162555556,,,,
,,,5,0,0.176222222,,,,
,,,7,0,0.128888889,,,,
,,,9,0,0.222777778,,,,
,,,,,,,,,
co14_215,15,7840,ILS,806.1,92.8245,,,,
,,,1,787,583.3685556,,,,
,,,3,737.3333333,648.2913333,,,,
,,,5,731.6666667,733.7938889,,,,
,,,7,702.6666667,737.2804444,,,,
,,,9,678,803.704,,,,
,,,,,,,,,
cycle10_2_110,12,2648,ILS,478.5,40.6418,,,,
,,,1,395.3333333,139.5513333,,,,
,,,3,392,99.91955556,,,,
,,,5,380,150.6313333,,,,
,,,7,387.6666667,186.9054444,,,,
,,,9,368.6666667,243.5942222,,,,
,,,,,,,,,
decod24-v2_43,4,22,ILS,0,0.5767,,,,
,,,1,0,0.075222222,,,,
,,,3,0,0.068777778,,,,
,,,5,0,0.071888889,,,,
,,,7,0,0.067666667,,,,
,,,9,0,0.074777778,,,,
,,,,,,,,,
ising_model_10,10,90,ILS,0,0.4879,,,,
,,,1,0,0.194111111,,,,
,,,3,0,0.193555556,,,,
,,,5,0,0.254888889,,,,
,,,7,0,0.374333333,,,,
,,,9,0,0.392333333,,,,
,,,,,,,,,
ising_model_13,13,120,ILS,0,0.6259,,,,
,,,1,0,0.103777778,,,,
