benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,1,0,0.000555556,,1,1012.051282,90.00549145
,,,3,0,0.000555556,,3,1028.461538,106.6128547
,,,5,0,0.000666667,,5,1015.923077,112.4696581
,,,7,0,0.001666667,,7,1030.051282,143.1992521
,,,9,0,0.001888889,,9,1032.166667,148.0327778
,,,ILS,0,0.0048,,ILS,1149.796154,40.65140769
,,,,,,,,,
4mod5-v1_22,5,11,1,0,0.001777778,,,,
,,,3,0,0.001555556,,,,
,,,5,0,0.001777778,,,,
,,,7,0,0.004,,,,
,,,9,0,0.003777778,,,,
,,,ILS,0,0.0048,,,,
,,,,,,,,,
9symml_195,11,15232,1,6594.666667,478.9191111,,,,
,,,3,6785.333333,543.957,,,,
,,,5,6684.666667,550.6994444,,,,
,,,7,6747.333333,761.2196667,,,,
,,,9,6827,738.7755556,,,,
,,,ILS,7561.8,184.5852,,,,
,,,,,,,,,
adr4_197,13,1498,1,531,48.51644444,,,,
,,,3,540.6666667,59.33366667,,,,
,,,5,536.6666667,73.29277778,,,,
,,,7,529,97.25177778,,,,
,,,9,542.3333333,107.6705556,,,,
,,,ILS,608.4,37.8939,,,,
,,,,,,,,,
alu-v0_27,5,17,1,3,0.106555556,,,,
,,,3,3,0.115777778,,,,
,,,5,3,0.140222222,,,,
,,,7,3,0.158111111,,,,
,,,9,3,0.214444444,,,,
,,,ILS,3,0.3325,,,,
,,,,,,,,,
co14_215,15,7840,1,3357.666667,419.759,,,,
,,,3,3338,571.1204444,,,,
,,,5,3291,591.8531111,,,,
,,,7,3359,715.5173333,,,,
,,,9,3237.666667,577.622,,,,
,,,ILS,3750.6,129.4221,,,,
,,,,,,,,,
cycle10_2_110,12,2648,1,1021,92.04577778,,,,
,,,3,1051.666667,94.60688889,,,,
,,,5,1012,108.0728889,,,,
,,,7,1020,128.2121111,,,,
,,,9,1005.666667,137.4962222,,,,
,,,ILS,1133.4,59.7997,,,,
,,,,,,,,,
decod24-v2_43,4,22,1,0,0.000777778,,,,
,,,3,0,0.000444444,,,,
,,,5,0,0.000555556,,,,
,,,7,0,0.000666667,,,,
,,,9,0,0.001111111,,,,
,,,ILS,0,0.0069,,,,
,,,,,,,,,
ising_model_10,10,90,1,0,0.000777778,,,,
,,,3,0,0.003222222,,,,
,,,5,0,0.004555556,,,,
,,,7,0,0.003,,,,
,,,9,0,0.005444444,,,,
,,,ILS,0,0.0029,,,,
,,,,,,,,,
ising_model_13,13,120,1,0,0.002666667,,,,
,,,3,0,0.003666667,,,,
,,,5,0,0.004333333,,,,
,,,7,0,0.005777778,,,,
,,,9,0,0.008555556,,,,
,,,ILS,0,0.0103,,,,
,,,,,,,,,
ising_model_16,16,150,1,0,0.014222222,,,,
,,,3,0,0.016333333,,,,
,,,5,0,0.068444444,,,,
,,,7,0,0.072666667,,,,
,,,9,0,0.066333333,,,,
,,,ILS,0,0.0347,,,,
,,,,,,,,,
misex1_241,15,2100,1,494.3333333,44.21733333,,,,
,,,3,503,47.164,,,,
,,,5,490,51.001,,,,
,,,7,487.6666667,58.966,,,,
,,,9,496.3333333,69.11055556,,,,
,,,ILS,561.3,32.3052,,,,
,,,,,,,,,
mod5mils_65,5,16,1,0,0.001444444,,,,
,,,3,0,0.002222222,,,,
,,,5,0,0.003777778,,,,
,,,7,0,0.002555556,,,,
,,,9,0,0.002888889,,,,
,,,ILS,0,0.0036,,,,
,,,,,,,,,
qft_10,10,90,1,27.66666667,5.364111111,,,,
,,,3,27,7.696,,,,
,,,5,27,8.818222222,,,,
,,,7,27,11.66088889,,,,
,,,9,27,14.82622222,,,,
,,,ILS,28.2,3.7638,,,,
,,,,,,,,,
qft_13,13,156,1,65,14.73111111,,,,
,,,3,63.33333333,26.69833333,,,,
,,,5,63.66666667,31.23022222,,,,
,,,7,64.33333333,46.43633333,,,,
,,,9,62.66666667,43.50977778,,,,
,,,ILS,69,8.2504,,,,
,,,,,,,,,
qft_16,16,240,1,119,27.17722222,,,,
,,,3,118.3333333,51.58988889,,,,
,,,5,120.3333333,66.77922222,,,,
,,,7,117.6666667,92.84633333,,,,
,,,9,121,99.40388889,,,,
,,,ILS,124.5,12.7225,,,,
,,,,,,,,,
radd_250,13,1405,1,518,58.759,,,,
,,,3,528.3333333,55.37177778,,,,
,,,5,531.3333333,68.25011111,,,,
,,,7,558.6666667,89.245,,,,
,,,9,558.3333333,96.33466667,,,,
,,,ILS,611.4,41.5264,,,,
,,,,,,,,,
rd73_252,10,2319,1,874.6666667,75.07033333,,,,
,,,3,873.6666667,99.93766667,,,,
,,,5,889.3333333,93.14244444,,,,
,,,7,896.6666667,136.6286667,,,,
,,,9,917.6666667,125.0966667,,,,
,,,ILS,987.3,52.5492,,,,
,,,,,,,,,
rd84_142,15,154,1,57.33333333,10.44288889,,,,
,,,3,57,11.34722222,,,,
,,,5,57,16.74866667,,,,
,,,7,57.33333333,17.00622222,,,,
,,,9,57,17.14644444,,,,
,,,ILS,64.8,8.0569,,,,
,,,,,,,,,
rd84_253,12,5960,1,2768.666667,191.7585556,,,,
,,,3,2764.333333,239.1241111,,,,
,,,5,2744.333333,215.0666667,,,,
,,,7,2813.333333,248.128,,,,
,,,9,2828.666667,347.7128889,,,,
,,,ILS,3108.9,102.7917,,,,
,,,,,,,,,
sqn_258,10,4459,1,1582.666667,144.1782222,,,,
,,,3,1641.333333,119.8005556,,,,
,,,5,1589.666667,186.6114444,,,,
,,,7,1659,172.0446667,,,,
,,,9,1643.666667,209.1924444,,,,
,,,ILS,1865.1,73.5393,,,,
,,,,,,,,,
square_root_7,15,3089,1,826.6666667,161.9056667,,,,
,,,3,742.6666667,209.218,,,,
,,,5,762,193.9443333,,,,
,,,7,753,227.2655556,,,,
