benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,1,24,0.614555556,,1,3033.525641,277.8559145
,,,3,24,0.554888889,,3,2726.358974,254.6645769
,,,5,24,0.791444444,,5,2639.371795,297.473735
,,,7,24,0.823,,7,2607.974359,303.1563333
,,,9,24,0.782555556,,9,2587.705128,360.8934573
,,,ILS,24,0.1462,,ILS,2772.934615,23.47781538
,,,,,,,,,
4mod5-v1_22,5,11,1,6,0.375444444,,,,
,,,3,6,0.370666667,,,,
,,,5,6,0.425888889,,,,
,,,7,6,0.356222222,,,,
,,,9,6,0.464666667,,,,
,,,ILS,6,0.0901,,,,
,,,,,,,,,
9symml_195,11,15232,1,18578.66667,1507.586889,,,,
,,,3,16792.33333,1230.014444,,,,
,,,5,16240,1525.913333,,,,
,,,7,16005.33333,1354.898889,,,,
,,,9,15871.66667,1778.528889,,,,
,,,ILS,16947.3,108.8339,,,,
,,,,,,,,,
adr4_197,13,1498,1,1736,167.106,,,,
,,,3,1623.333333,120.8748889,,,,
,,,5,1567.666667,162.1351111,,,,
,,,7,1553.333333,195.4112222,,,,
,,,9,1540.333333,155.0963333,,,,
,,,ILS,1615.5,17.9178,,,,
,,,,,,,,,
alu-v0_27,5,17,1,12,0.836444444,,,,
,,,3,12,0.687111111,,,,
,,,5,12,0.84,,,,
,,,7,12,0.913222222,,,,
,,,9,12,0.833888889,,,,
,,,ILS,12,0.1887,,,,
,,,,,,,,,
co14_215,15,7840,1,10019.33333,1221.170333,,,,
,,,3,8065.666667,1294.729556,,,,
,,,5,7890.333333,1246.742778,,,,
,,,7,7720.666667,1627.219222,,,,
,,,9,7766.666667,1927.026667,,,,
,,,ILS,8668.5,123.0591,,,,
,,,,,,,,,
cycle10_2_110,12,2648,1,3029.333333,233.5328889,,,,
,,,3,2822,230.0494444,,,,
,,,5,2728,334.8551111,,,,
,,,7,2699,272.1523333,,,,
,,,9,2649.333333,387.206,,,,
,,,ILS,2801.7,23.6584,,,,
,,,,,,,,,
decod24-v2_43,4,22,1,18,0.382333333,,,,
,,,3,18,0.346888889,,,,
,,,5,18,0.271777778,,,,
,,,7,18,0.312888889,,,,
,,,9,18,0.439222222,,,,
,,,ILS,18,0.0661,,,,
,,,,,,,,,
ising_model_10,10,90,1,0,0.008666667,,,,
,,,3,0,0.027333333,,,,
,,,5,0,0.072444444,,,,
,,,7,0,0.065666667,,,,
,,,9,0,0.077,,,,
,,,ILS,0,0.0035,,,,
,,,,,,,,,
ising_model_13,13,120,1,0,0.008888889,,,,
,,,3,0,0.01,,,,
,,,5,0,0.018888889,,,,
,,,7,0,0.028,,,,
,,,9,0,0.029222222,,,,
,,,ILS,0,0.0027,,,,
,,,,,,,,,
ising_model_16,16,150,1,0,0.068777778,,,,
,,,3,0,0.071555556,,,,
,,,5,0,0.172666667,,,,
,,,7,0,0.211,,,,
,,,9,0,0.358,,,,
,,,ILS,0,0.0235,,,,
,,,,,,,,,
misex1_241,15,2100,1,2164,176.011,,,,
,,,3,2067,150.0185556,,,,
,,,5,2032,179.1106667,,,,
,,,7,2000.333333,186.1637778,,,,
,,,9,1982.666667,184.2018889,,,,
,,,ILS,2073.9,22.1347,,,,
,,,,,,,,,
mod5mils_65,5,16,1,12,0.310333333,,,,
,,,3,12,0.245444444,,,,
,,,5,12,0.259555556,,,,
,,,7,12,0.412777778,,,,
,,,9,12,0.363,,,,
,,,ILS,12,0.0574,,,,
,,,,,,,,,
qft_10,10,90,1,47.66666667,13.53166667,,,,
,,,3,45,15.39233333,,,,
,,,5,45.33333333,18.78988889,,,,
,,,7,48.66666667,23.28322222,,,,
,,,9,48.33333333,24.95922222,,,,
,,,ILS,54.3,1.4522,,,,
,,,,,,,,,
qft_13,13,156,1,111.3333333,25.37877778,,,,
,,,3,100,43.25877778,,,,
,,,5,99.33333333,59.43977778,,,,
