benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,1,24,0.47,,1,4619.5,127.6521368
,,,3,24,0.340111111,,3,3678.217949,116.2881111
,,,5,24,0.419444444,,5,3518.974359,139.8271923
,,,7,24,0.447,,7,3466.487179,188.0034188
,,,9,24,0.492222222,,9,3494.397436,180.1899017
,,,ILS,24,0.1176,,ILS,3709.130769,20.88747692
,,,,,,,,,
4mod5-v1_22,5,11,1,6,0.264444444,,,,
,,,3,6,0.184666667,,,,
,,,5,6,0.258111111,,,,
,,,7,6,0.167888889,,,,
,,,9,6,0.174111111,,,,
,,,ILS,6,0.0591,,,,
,,,,,,,,,
9symml_195,11,15232,1,29226.66667,683.6138889,,,,
,,,3,23097.66667,587.06,,,,
,,,5,22183,669.6541111,,,,
,,,7,21723.66667,1108.149111,,,,
,,,9,22204.33333,879.4246667,,,,
,,,ILS,23413.8,118.3802,,,,
,,,,,,,,,
adr4_197,13,1498,1,2790.333333,102.408,,,,
,,,3,2251,65.47977778,,,,
,,,5,2115.666667,79.98888889,,,,
,,,7,2096.666667,107.4466667,,,,
,,,9,2097,118.6092222,,,,
,,,ILS,2255.4,16.4128,,,,
,,,,,,,,,
alu-v0_27,5,17,1,18,0.291444444,,,,
,,,3,18,0.308777778,,,,
,,,5,18,0.436666667,,,,
,,,7,18,0.421666667,,,,
,,,9,18,0.481,,,,
,,,ILS,18,0.1273,,,,
,,,,,,,,,
co14_215,15,7840,1,12678,536.259,,,,
,,,3,9445,600.8244444,,,,
,,,5,9165,648.5677778,,,,
,,,7,9152.333333,814.0803333,,,,
,,,9,9180,930.0915556,,,,
,,,ILS,10053.9,75.5926,,,,
,,,,,,,,,
cycle10_2_110,12,2648,1,4071,144.1536667,,,,
,,,3,3568.333333,119.0162222,,,,
,,,5,3422.666667,142.733,,,,
,,,7,3375.333333,144.3488889,,,,
,,,9,3295,192.0104444,,,,
,,,ILS,3464.1,15.57,,,,
,,,,,,,,,
decod24-v2_43,4,22,1,18,0.162777778,,,,
,,,3,18,0.137444444,,,,
,,,5,18,0.155666667,,,,
,,,7,18,0.171888889,,,,
,,,9,18,0.171333333,,,,
,,,ILS,18,0.051,,,,
