benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,1,24,0.618,,1,4600.25641,141.3853803
,,,3,24,0.648,,3,3683.012821,143.0043291
,,,5,24,0.687222222,,5,3495.846154,193.2220043
,,,7,24,0.620333333,,7,3478.576923,231.8352265
,,,9,24,0.674666667,,9,3510.679487,220.5915598
,,,ILS,24,0.1557,,ILS,3693.115385,22.70746538
,,,,,,,,,
4mod5-v1_22,5,11,1,6,0.392222222,,,,
,,,3,6,0.232333333,,,,
,,,5,6,0.295111111,,,,
,,,7,6,0.236444444,,,,
,,,9,6,0.375111111,,,,
,,,ILS,6,0.1804,,,,
,,,,,,,,,
9symml_195,11,15232,1,29310.33333,710.0055556,,,,
,,,3,23145.33333,686.7182222,,,,
,,,5,21923.33333,1064.292333,,,,
,,,7,21753,1206.748667,,,,
,,,9,22182,1072.355,,,,
,,,ILS,23299.2,115.6717,,,,
,,,,,,,,,
adr4_197,13,1498,1,2651.666667,79.64233333,,,,
,,,3,2182,79.14577778,,,,
,,,5,2065.333333,95.88455556,,,,
,,,7,2059.333333,106.3254444,,,,
,,,9,2069.333333,116.4924444,,,,
,,,ILS,2150.4,20.8704,,,,
,,,,,,,,,
alu-v0_27,5,17,1,18,0.619333333,,,,
,,,3,18,0.353333333,,,,
,,,5,18,0.516777778,,,,
,,,7,18,0.698555556,,,,
,,,9,18,0.688222222,,,,
,,,ILS,18,0.1965,,,,
,,,,,,,,,
co14_215,15,7840,1,13073,605.9804444,,,,
,,,3,9733.666667,593.3007778,,,,
,,,5,9257.666667,802.3702222,,,,
,,,7,9330,1198.881778,,,,
,,,9,9312.666667,1218.226556,,,,
,,,ILS,10269.9,78.9966,,,,
,,,,,,,,,
cycle10_2_110,12,2648,1,4118.666667,152.1402222,,,,
,,,3,3585.666667,157.6401111,,,,
,,,5,3420.666667,170.0104444,,,,
,,,7,3381.333333,209.4556667,,,,
,,,9,3300,188.6338889,,,,
,,,ILS,3467.1,18.7907,,,,
,,,,,,,,,
decod24-v2_43,4,22,1,18,0.183777778,,,,
,,,3,18,0.147555556,,,,
,,,5,18,0.181888889,,,,
,,,7,18,0.274888889,,,,
,,,9,18,0.189777778,,,,
,,,ILS,18,0.0622,,,,
,,,,,,,,,
ising_model_10,10,90,1,0,0.028111111,,,,
,,,3,0,0.021111111,,,,
,,,5,0,0.025333333,,,,
,,,7,0,0.068777778,,,,
,,,9,0,0.043333333,,,,
,,,ILS,0,0.0113,,,,
,,,,,,,,,
ising_model_13,13,120,1,0,0.019666667,,,,
,,,3,0,0.034111111,,,,
,,,5,0,0.019444444,,,,
,,,7,0,0.035777778,,,,
,,,9,0,0.032555556,,,,
,,,ILS,0,0.0107,,,,
,,,,,,,,,
ising_model_16,16,150,1,0,0.175333333,,,,
,,,3,0,0.294666667,,,,
,,,5,0,0.324777778,,,,
,,,7,0,0.451111111,,,,
,,,9,0,0.348888889,,,,
,,,ILS,0,0.0852,,,,
,,,,,,,,,
misex1_241,15,2100,1,3016.333333,115.593,,,,
,,,3,2575.333333,89.62622222,,,,
,,,5,2514.666667,105.3314444,,,,
,,,7,2454,123.5162222,,,,
,,,9,2402.666667,128.1013333,,,,
,,,ILS,2655.3,22.0586,,,,
,,,,,,,,,
mod5mils_65,5,16,1,12,0.366,,,,
,,,3,12,0.251111111,,,,
,,,5,12,0.258,,,,
,,,7,12,0.279222222,,,,
,,,9,12,0.218555556,,,,
,,,ILS,12,0.0752,,,,
,,,,,,,,,
qft_10,10,90,1,101,13.97744444,,,,
,,,3,90,12.248,,,,
,,,5,87,15.05833333,,,,
,,,7,87,13.00777778,,,,
,,,9,87,16.29855556,,,,
,,,ILS,91.5,1.438,,,,
,,,,,,,,,
qft_13,13,156,1,214,22.16355556,,,,
,,,3,172.3333333,38.90655556,,,,
,,,5,168.3333333,31.10922222,,,,
,,,7,168,38.03888889,,,,
,,,9,169.6666667,52.53388889,,,,
,,,ILS,177.9,2.9085,,,,
,,,,,,,,,
qft_16,16,240,1,352.6666667,47.49833333,,,,
,,,3,287,88.76622222,,,,
,,,5,274.6666667,84.47066667,,,,
,,,7,271.3333333,92.38877778,,,,
,,,9,284.3333333,110.5085556,,,,
,,,ILS,289.8,4.9963,,,,
,,,,,,,,,
qft_20,20,380,1,585,78.26633333,,,,
,,,3,485.6666667,156.944,,,,
