benchmark,qubits,gates,name,added gate,time(s),,Avg.,added gate,time(s)
4gt13_92,5,30,1,0,0.000333333,,1,834.2564103,102.5880256
,,,3,0,0.000777778,,3,849.2307692,107.6923034
,,,5,0,0.001,,5,858.9102564,130.7104701
,,,7,0,0.000888889,,7,891.2435897,147.8501239
,,,9,0,0.003111111,,9,885.8589744,167.3201966
,,,ILS,0,3.8254,,ILS,1054.511538,37.82103654
,,,,,,,,,
4mod5-v1_22,5,11,1,0,0.001888889,,,,
,,,3,0,0.002888889,,,,
,,,5,0,0.002444444,,,,
,,,7,0,0.004777778,,,,
,,,9,0,0.003444444,,,,
,,,ILS,0,1.2334,,,,
,,,,,,,,,
9symml_195,11,15232,1,5020,561.7952222,,,,
,,,3,5215.333333,463.766,,,,
,,,5,5295.666667,577.0763333,,,,
,,,7,5578.333333,579.4305556,,,,
,,,9,5611,700.7898889,,,,
,,,ILS,6427.8,104.1655,,,,
,,,,,,,,,
adr4_197,13,1498,1,491.6666667,56.92911111,,,,
,,,3,495.3333333,73.723,,,,
,,,5,501.3333333,84.07244444,,,,
,,,7,506.3333333,111.112,,,,
,,,9,516.3333333,125.1654444,,,,
,,,ILS,617.55,9.0142,,,,
,,,,,,,,,
alu-v0_27,5,17,1,3,0.125444444,,,,
,,,3,3,0.146111111,,,,
,,,5,3,0.186333333,,,,
,,,7,3,0.217666667,,,,
,,,9,3,0.195888889,,,,
,,,ILS,3,0.61555,,,,
,,,,,,,,,
co14_215,15,7840,1,2856.333333,405.5003333,,,,
,,,3,2617.666667,505.4402222,,,,
,,,5,2741.333333,649.0736667,,,,
,,,7,2804.333333,638.4618889,,,,
,,,9,2501.333333,708.6021111,,,,
,,,ILS,3520.95,167.8231,,,,
,,,,,,,,,
cycle10_2_110,12,2648,1,842,98.52422222,,,,
,,,3,889.6666667,103.8258889,,,,
,,,5,882.3333333,108.7282222,,,,
,,,7,905.6666667,154.2783333,,,,
,,,9,922.6666667,151.213,,,,
,,,ILS,1107.9,53.5513,,,,
,,,,,,,,,
decod24-v2_43,4,22,1,0,0.001666667,,,,
,,,3,0,0.002111111,,,,
,,,5,0,0.001,,,,
,,,7,0,0.001333333,,,,
,,,9,0,0.001555556,,,,
,,,ILS,0,8.1583,,,,
,,,,,,,,,
ising_model_10,10,90,1,0,0.009222222,,,,
,,,3,0,0.004222222,,,,
,,,5,0,0.012444444,,,,
,,,7,0,0.014222222,,,,
,,,9,0,0.015111111,,,,
,,,ILS,0,12.1914,,,,
,,,,,,,,,
ising_model_13,13,120,1,0,0.002888889,,,,
,,,3,0,0.004666667,,,,
,,,5,0,0.005444444,,,,
,,,7,0,0.005555556,,,,
,,,9,0,0.008222222,,,,
,,,ILS,7.5,25.32665,,,,
,,,,,,,,,
ising_model_16,16,150,1,0,0.045111111,,,,
,,,3,0,0.025555556,,,,
,,,5,0,0.103444444,,,,
,,,7,0,0.144111111,,,,
,,,9,0,0.112111111,,,,
,,,ILS,0,19.438,,,,
,,,,,,,,,
misex1_241,15,2100,1,416.3333333,56.78966667,,,,
,,,3,467,65.71477778,,,,
,,,5,434.6666667,59.97755556,,,,
,,,7,438,96.22777778,,,,
,,,9,417,82.904,,,,
,,,ILS,559.35,52.5816,,,,
,,,,,,,,,
mod5mils_65,5,16,1,0,0.002666667,,,,
,,,3,0,0.002888889,,,,
,,,5,0,0.004333333,,,,
,,,7,0,0.006222222,,,,
,,,9,0,0.004333333,,,,
,,,ILS,0,0.06965,,,,
,,,,,,,,,
qft_10,10,90,1,28,6.908111111,,,,
,,,3,27,9.584,,,,
,,,5,27.33333333,12.85988889,,,,
,,,7,27,15.21511111,,,,
,,,9,27,19.59422222,,,,
,,,ILS,30.9,18.00285,,,,
,,,,,,,,,
qft_13,13,156,1,64.33333333,18.02122222,,,,
,,,3,63.33333333,24.72977778,,,,
,,,5,62,41.904,,,,
,,,7,62.66666667,45.25244444,,,,
,,,9,62,52.10966667,,,,
,,,ILS,73.65,13.64905,,,,
,,,,,,,,,
qft_16,16,240,1,124.3333333,34.29077778,,,,
,,,3,119,65.34155556,,,,
,,,5,115.6666667,87.82733333,,,,
,,,7,115,105.6327778,,,,
,,,9,117.3333333,132.5476667,,,,
,,,ILS,133.2,22.2385,,,,
,,,,,,,,,
qft_20,20,380,1,249,59.88433333,,,,
,,,3,224,140.6574444,,,,
,,,5,218,222.2923333,,,,
,,,7,221,243.5154444,,,,
,,,9,223.6666667,309.7666667,,,,
,,,ILS,252.9,74.56565,,,,
,,,,,,,,,
radd_250,13,1405,1,508,58.56844444,,,,
,,,3,523.6666667,82.59277778,,,,
,,,5,524.6666667,73.699,,,,
,,,7,544.3333333,103.7273333,,,,
,,,9,547.3333333,103.74,,,,
,,,ILS,634.95,17.10805,,,,
,,,,,,,,,
rd73_252,10,2319,1,778,86.92144444,,,,
,,,3,786.3333333,92.74655556,,,,
,,,5,793.3333333,122.0447778,,,,
,,,7,852,108.9384444,,,,
,,,9,843.6666667,147.4772222,,,,
,,,ILS,984.3,46.15885,,,,
,,,,,,,,,
rd84_142,15,154,1,55.66666667,13.60588889,,,,
,,,3,56.33333333,18.774,,,,
,,,5,56.33333333,19.82511111,,,,
,,,7,57,28.88588889,,,,
,,,9,56.66666667,34.15311111,,,,
,,,ILS,74.85,1.5322,,,,
,,,,,,,,,
rd84_253,12,5960,1,2218.666667,211.3425556,,,,
,,,3,2259.333333,219.6558889,,,,
,,,5,2218,239.8206667,,,,
,,,7,2342.666667,377.5476667,,,,
,,,9,2396,375.4167778,,,,
,,,ILS,2688.3,29.176,,,,
,,,,,,,,,
sqn_258,10,4459,1,1365,145.9831111,,,,
,,,3,1460.333333,156.3856667,,,,
,,,5,1485,166.6084444,,,,
,,,7,1451,174.9755556,,,,
,,,9,1519.333333,230.2845556,,,,
,,,ILS,1753.65,99.70725,,,,
,,,,,,,,,
square_root_7,15,3089,1,774.6666667,208.832,,,,
,,,3,761,207.2575556,,,,
,,,5,785.6666667,214.224,,,,
,,,7,756,341.8363333,,,,
,,,9,738.3333333,316.9714444,,,,
,,,ILS,1119.3,36.61845,,,,
,,,,,,,,,
sym6_145,7,1701,1,447,32.16877778,,,,
,,,3,464,41.00455556,,,,
,,,5,460,62.55511111,,,,
,,,7,492.6666667,55.54855556,,,,
,,,9,476,78.85388889,,,,
,,,ILS,517.95,6.7282,,,,
,,,,,,,,,
sym9_193,11,15232,1,5020,560.6621111,,,,
,,,3,5215.333333,463.6323333,,,,
,,,5,5295.666667,579.1241111,,,,
,,,7,5578.333333,569.1272222,,,,
,,,9,5611,689.8803333,,,,
,,,ILS,6394.5,141.2011,,,,
,,,,,,,,,
