('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on torino
*****************************************
Fri Jun 21 15:56:14 2024
(8, '133QBT_large_gate_opt1_0_1.5_no.8.qasm', 100, 80, 80, 0, 0.0, 1.0)
(21, '133QBT_large_gate_opt2_0_1.5_no.3.qasm', 100, 81, 81, 0, 0.0, 1.0)
(27, '133QBT_large_gate_opt1_0_1.5_no.6.qasm', 94, 77, 77, 0, 0.0, 1.0)
(30, '133QBT_small_gate_opt2_0_1.5_no.8.qasm', 58, 40, 40, 0, 0.0, 1.0)
(37, '133QBT_large_gate_opt1_0_1.5_no.9.qasm', 93, 80, 80, 0, 0.0, 1.0)
(42, '133QBT_large_gate_opt2_0_1.5_no.4.qasm', 100, 73, 73, 0, 0.0, 1.0)
(61, '133QBT_small_gate_opt2_0_1.5_no.5.qasm', 58, 38, 38, 0, 0.0, 1.0)
(76, '133QBT_large_gate_opt2_0_1.5_no.9.qasm', 96, 76, 76, 0, 0.0, 1.0)
(83, '133QBT_large_gate_opt2_0_1.5_no.6.qasm', 95, 78, 78, 0, 0.0, 1.0)
(87, '133QBT_small_gate_opt1_0_1.5_no.8.qasm', 56, 38, 38, 0, 0.0, 1.0)
(96, '133QBT_small_gate_opt1_0_1.5_no.7.qasm', 60, 38, 38, 0, 0.0, 1.0)
(111, '133QBT_small_gate_opt1_0_1.5_no.0.qasm', 54, 38, 38, 0, 0.0, 1.0)
(117, '133QBT_large_gate_opt2_0_1.5_no.2.qasm', 96, 73, 73, 0, 0.0, 1.0)
(130, '133QBT_small_gate_opt2_2_1.5_no.0.qasm', 87, 78, 123, 45, 0.02, 1.5769)
(132, '133QBT_large_gate_opt1_0_1.5_no.5.qasm', 96, 79, 79, 0, 0.0, 1.0)
(135, '133QBT_large_gate_opt1_0_1.5_no.2.qasm', 103, 77, 77, 0, 0.0, 1.0)
(140, '133QBT_small_gate_opt2_0_1.5_no.2.qasm', 59, 37, 37, 0, 0.0, 1.0)
(152, '133QBT_small_gate_opt2_0_1.5_no.1.qasm', 60, 36, 36, 0, 0.0, 1.0)
(163, '133QBT_small_gate_opt1_0_1.5_no.9.qasm', 59, 40, 40, 0, 0.0, 1.0)
(164, '133QBT_small_gate_opt1_1_1.5_no.7.qasm', 90, 76, 79, 3, 0.01, 1.0395)
(176, '133QBT_small_gate_opt1_0_1.5_no.4.qasm', 54, 40, 40, 0, 0.0, 1.0)
(179, '133QBT_small_gate_opt2_0_1.5_no.3.qasm', 62, 38, 38, 0, 0.0, 1.0)
(182, '133QBT_large_gate_opt2_0_1.5_no.0.qasm', 98, 87, 87, 0, 0.0, 1.0)
