('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on guadalupe
*****************************************
Fri Mar 22 03:14:26 2024
(1, '16QBT_large_gate_opt2_4_1.5_no.7.qasm', 16, 30, 204, 174, 0.11, 6.8)
(2, '16QBT_large_gate_opt1_0_1.5_no.1.qasm', 11, 8, 44, 36, 0.01, 5.5)
(3, '16QBT_large_gate_opt1_10_1.5_no.2.qasm', 16, 110, 653, 543, 0.17, 5.9364)
(4, '16QBT_small_gate_opt1_10_1.5_no.8.qasm', 16, 63, 303, 240, 0.11, 4.8095)
(5, '16QBT_large_gate_opt2_0_1.5_no.3.qasm', 12, 11, 71, 60, 0.03, 6.4545)
(6, '16QBT_large_gate_opt2_15_1.5_no.3.qasm', 16, 85, 325, 240, 0.12, 3.8235)
(7, '16QBT_small_gate_opt2_15_1.5_no.4.qasm', 16, 55, 193, 138, 0.2, 3.5091)
(8, '16QBT_large_gate_opt1_25_1.5_no.8.qasm', 16, 267, 963, 696, 0.62, 3.6067)
(9, '16QBT_large_gate_opt2_4_1.5_no.1.qasm', 16, 33, 279, 246, 0.08, 8.4545)
(10, '16QBT_small_gate_opt2_2_1.5_no.1.qasm', 11, 12, 60, 48, 0.01, 5.0)
(11, '16QBT_small_gate_opt2_4_1.5_no.6.qasm', 13, 22, 115, 93, 0.06, 5.2273)
(12, '16QBT_large_gate_opt2_3_1.5_no.8.qasm', 15, 35, 200, 165, 0.07, 5.7143)
(13, '16QBT_small_gate_opt1_5_1.5_no.6.qasm', 16, 36, 180, 144, 0.07, 5.0)
(14, '16QBT_large_gate_opt1_0_1.5_no.2.qasm', 12, 10, 82, 72, 0.02, 8.2)
(15, '16QBT_small_gate_opt2_4_1.5_no.4.qasm', 14, 18, 120, 102, 0.02, 6.6667)
(16, '16QBT_small_gate_opt1_3_1.5_no.9.qasm', 14, 21, 102, 81, 0.04, 4.8571)
(17, '16QBT_small_gate_opt1_0_1.5_no.2.qasm', 9, 6, 45, 39, 0.01, 7.5)
(18, '16QBT_small_gate_opt2_3_1.5_no.8.qasm', 12, 15, 99, 84, 0.03, 6.6)
(19, '16QBT_large_gate_opt2_2_1.5_no.2.qasm', 15, 18, 111, 93, 0.06, 6.1667)
(20, '16QBT_small_gate_opt1_15_1.5_no.5.qasm', 16, 91, 511, 420, 0.29, 5.6154)
(21, '16QBT_large_gate_opt1_20_1.5_no.8.qasm', 16, 203, 839, 636, 0.48, 4.133)
(22, '16QBT_small_gate_opt2_0_1.5_no.6.qasm', 9, 6, 30, 24, 0.0, 5.0)
(23, '16QBT_large_gate_opt2_2_1.5_no.7.qasm', 16, 21, 120, 99, 0.06, 5.7143)
(24, '16QBT_small_gate_opt1_10_1.5_no.3.qasm', 16, 64, 409, 345, 0.15, 6.3906)
(25, '16QBT_small_gate_opt1_15_1.5_no.8.qasm', 16, 89, 320, 231, 0.11, 3.5955)
(26, '16QBT_large_gate_opt1_5_1.5_no.8.qasm', 16, 58, 421, 363, 0.19, 7.2586)
(27, '16QBT_large_gate_opt2_25_1.5_no.1.qasm', 16, 136, 634, 498, 0.34, 4.6618)
(28, '16QBT_small_gate_opt2_0_1.5_no.1.qasm', 7, 6, 54, 48, 0.0, 9.0)
(29, '16QBT_large_gate_opt2_1_1.5_no.7.qasm', 14, 22, 121, 99, 0.07, 5.5)
(30, '16QBT_small_gate_opt2_2_1.5_no.8.qasm', 6, 7, 25, 18, 0.0, 3.5714)
(31, '16QBT_small_gate_opt1_5_1.5_no.8.qasm', 16, 33, 132, 99, 0.17, 4.0)
(32, '16QBT_small_gate_opt2_3_1.5_no.7.qasm', 15, 17, 83, 66, 0.03, 4.8824)
(33, '16QBT_large_gate_opt1_1_1.5_no.7.qasm', 15, 21, 141, 120, 0.08, 6.7143)
(34, '16QBT_large_gate_opt2_0_1.5_no.0.qasm', 12, 9, 48, 39, 0.01, 5.3333)
