('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on rochester
*****************************************
Mon Apr  1 16:15:29 2024
(1, '53QBT_gate_Rochester_large_opt1_10_1.5_no.0.qasm', 53, 210, 2616, 2406, 25.13, 12.4571)
(3, '53QBT_gate_Rochester_small_opt2_3_1.5_no.2.qasm', 31, 31, 394, 363, 1.78, 12.7097)
(5, '53QBT_gate_Rochester_small_opt2_4_1.5_no.2.qasm', 37, 32, 200, 168, 2.01, 6.25)
(6, '53QBT_gate_Rochester_small_opt2_1_1.5_no.3.qasm', 23, 18, 192, 174, 0.84, 10.6667)
(7, '53QBT_gate_Rochester_large_opt2_10_1.5_no.1.qasm', 52, 108, 1137, 1029, 15.41, 10.5278)
(11, '53QBT_gate_Rochester_large_opt1_1_1.5_no.6.qasm', 39, 39, 423, 384, 2.43, 10.8462)
(12, '53QBT_gate_Rochester_small_opt2_0_1.5_no.3.qasm', 17, 11, 56, 45, 0.06, 5.0909)
(13, '53QBT_gate_Rochester_small_opt2_1_1.5_no.9.qasm', 21, 16, 127, 111, 0.1, 7.9375)
(14, '53QBT_gate_Rochester_small_opt1_1_1.5_no.2.qasm', 27, 21, 102, 81, 0.14, 4.8571)
(19, '53QBT_gate_Rochester_small_opt1_4_1.5_no.1.qasm', 48, 52, 493, 441, 11.14, 9.4808)
(20, '53QBT_gate_Rochester_small_opt2_5_1.5_no.3.qasm', 38, 37, 379, 342, 7.21, 10.2432)
(21, '53QBT_gate_Rochester_small_opt1_4_1.5_no.2.qasm', 42, 48, 561, 513, 6.18, 11.6875)
(22, '53QBT_gate_Rochester_small_opt2_3_1.5_no.4.qasm', 38, 32, 386, 354, 5.23, 12.0625)
(23, '53QBT_gate_Rochester_small_opt2_0_1.5_no.9.qasm', 13, 9, 84, 75, 0.05, 9.3333)
(24, '53QBT_gate_Rochester_large_opt2_1_1.5_no.7.qasm', 38, 39, 435, 396, 10.54, 11.1538)
(27, '53QBT_gate_Rochester_small_opt2_0_1.5_no.0.qasm', 16, 11, 101, 90, 0.08, 9.1818)
(29, '53QBT_gate_Rochester_small_opt2_3_1.5_no.6.qasm', 31, 26, 251, 225, 1.79, 9.6538)
(31, '53QBT_gate_Rochester_small_opt2_4_1.5_no.4.qasm', 35, 32, 341, 309, 17.55, 10.6562)
(32, '53QBT_gate_Rochester_small_opt1_2_1.5_no.5.qasm', 32, 28, 292, 264, 2.37, 10.4286)
(35, '53QBT_gate_Rochester_small_opt1_5_1.5_no.3.qasm', 46, 61, 466, 405, 10.01, 7.6393)
(36, '53QBT_gate_Rochester_small_opt1_2_1.5_no.0.qasm', 33, 27, 309, 282, 3.09, 11.4444)
(37, '53QBT_gate_Rochester_large_opt1_0_1.5_no.0.qasm', 29, 17, 236, 219, 3.28, 13.8824)
(41, '53QBT_gate_Rochester_large_opt2_0_1.5_no.1.qasm', 29, 20, 215, 195, 0.17, 10.75)
(43, '53QBT_gate_Rochester_large_opt1_3_1.5_no.3.qasm', 50, 77, 686, 609, 4.49, 8.9091)
(46, '53QBT_gate_Rochester_large_opt2_3_1.5_no.8.qasm', 45, 51, 507, 456, 4.49, 9.9412)
(47, '53QBT_gate_Rochester_large_opt1_0_1.5_no.2.qasm', 27, 18, 246, 228, 5.32, 13.6667)
(48, '53QBT_gate_Rochester_small_opt2_20_1.5_no.2.qasm', 52, 117, 1335, 1218, 40.92, 11.4103)
(49, '53QBT_gate_Rochester_small_opt1_2_1.5_no.7.qasm', 31, 33, 294, 261, 3.31, 8.9091)
(50, '53QBT_gate_Rochester_large_opt1_5_1.5_no.4.qasm', 53, 119, 1292, 1173, 5.13, 10.8571)
(51, '53QBT_gate_Rochester_small_opt2_1_1.5_no.2.qasm', 22, 18, 114, 96, 0.06, 6.3333)
(54, '53QBT_gate_Rochester_small_opt1_0_1.5_no.4.qasm', 17, 11, 167, 156, 0.4, 15.1818)
(55, '53QBT_gate_Rochester_small_opt1_2_1.5_no.3.qasm', 34, 32, 374, 342, 2.46, 11.6875)
(59, '53QBT_gate_Rochester_large_opt1_0_1.5_no.7.qasm', 26, 19, 274, 255, 1.57, 14.4211)
(60, '53QBT_gate_Rochester_small_opt2_20_1.5_no.0.qasm', 52, 113, 1208, 1095, 28.82, 10.6903)
(61, '53QBT_gate_Rochester_small_opt1_4_1.5_no.4.qasm', 47, 50, 677, 627, 11.84, 13.54)
(62, '53QBT_gate_Rochester_small_opt2_4_1.5_no.3.qasm', 36, 32, 437, 405, 6.32, 13.6562)
(66, '53QBT_gate_Rochester_large_opt2_10_1.5_no.9.qasm', 52, 109, 1375, 1266, 26.98, 12.6147)
(68, '53QBT_gate_Rochester_large_opt2_0_1.5_no.7.qasm', 32, 22, 289, 267, 2.76, 13.1364)
(71, '53QBT_gate_Rochester_small_opt1_3_1.5_no.2.qasm', 36, 40, 505, 465, 2.43, 12.625)
(72, '53QBT_gate_Rochester_small_opt2_4_1.5_no.5.qasm', 35, 30, 384, 354, 8.43, 12.8)
(73, '53QBT_gate_Rochester_small_opt1_10_1.5_no.6.qasm', 52, 107, 1205, 1098, 27.49, 11.2617)
