('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on torino
*****************************************
Sat Jul 13 23:33:41 2024
(40, '133QBT_small_gate_opt2_2_1.5_no.9.qasm', 90, 81, 1497, 1416, 1297.98, 18.4815)
(2, '133QBT_small_gate_opt2_1_1.5_no.0.qasm', 95, 81, 1428, 1347, 3146.57, 17.6296)
(45, '133QBT_small_gate_opt2_3_1.5_no.9.qasm', 111, 120, 2349, 2229, 3322.63, 19.575)
(14, '133QBT_small_gate_opt1_2_1.5_no.9.qasm', 112, 114, 2277, 2163, 3897.43, 19.9737)
(9, '133QBT_small_gate_opt2_10_1.5_no.3.qasm', 123, 240, 4734, 4494, 4851.79, 19.725)
(39, '133QBT_small_gate_opt2_10_1.5_no.9.qasm', 124, 235, 4285, 4050, 6493.76, 18.234)
(46, '133QBT_small_gate_opt2_5_1.5_no.1.qasm', 117, 159, 3063, 2904, 7453.55, 19.2642)
(36, '133QBT_small_gate_opt1_10_1.5_no.3.qasm', 132, 431, 7847, 7416, 7667.38, 18.2065)
(5, '133QBT_small_gate_opt2_15_1.5_no.1.qasm', 132, 364, 6298, 5934, 9840.77, 17.3022)
(1, '133QBT_small_gate_opt2_4_1.5_no.7.qasm', 107, 114, 2583, 2469, 9984.41, 22.6579)
(22, '133QBT_large_gate_opt2_4_1.5_no.7.qasm', 129, 244, 4855, 4611, 9987.84, 19.8975)
(32, '133QBT_large_gate_opt2_3_1.5_no.0.qasm', 130, 244, 4723, 4479, 10257.38, 19.3566)
(23, '133QBT_small_gate_opt1_3_1.5_no.7.qasm', 119, 159, 2229, 2070, 11429.35, 14.0189)
(20, '133QBT_small_gate_opt1_15_1.5_no.3.qasm', 132, 618, 10437, 9819, 12299.77, 16.8883)
(28, '133QBT_large_gate_opt2_5_1.5_no.4.qasm', 132, 316, 5971, 5655, 12365.0, 18.8956)
(56, '133QBT_small_gate_opt1_4_1.5_no.0.qasm', 128, 190, 3802, 3612, 5962.09, 20.0105)
(3, '133QBT_small_gate_opt1_5_1.5_no.5.qasm', 124, 238, 5002, 4764, 12660.62, 21.0168)
(13, '133QBT_small_gate_opt1_4_1.5_no.1.qasm', 126, 197, 4172, 3975, 12822.39, 21.1777)
(38, '133QBT_large_gate_opt1_10_1.5_no.2.qasm', 133, 855, 13731, 12876, 13397.62, 16.0596)
(43, '133QBT_small_gate_opt2_5_1.5_no.9.qasm', 119, 153, 3753, 3600, 13447.44, 24.5294)
(30, '133QBT_large_gate_opt1_20_1.5_no.8.qasm', 133, 1653, 27567, 25914, 14559.9, 16.677)
(53, '133QBT_large_gate_opt1_1_1.5_no.8.qasm', 127, 151, 2638, 2487, 11389.72, 17.4702)
