('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on rochester
*****************************************
Wed Apr  3 18:49:44 2024
(2, '53QBT_gate_Rochester_large_opt2_0_1.5_no.4.qasm', 29, 20, 335, 315, 7.47, 16.75)
(4, '53QBT_gate_Rochester_small_opt2_1_1.5_no.8.qasm', 27, 21, 180, 159, 0.42, 8.5714)
(6, '53QBT_gate_Rochester_large_opt2_4_1.5_no.7.qasm', 43, 52, 661, 609, 11.7, 12.7115)
(8, '53QBT_gate_Rochester_small_opt2_1_1.5_no.6.qasm', 23, 18, 177, 159, 0.38, 9.8333)
(9, '53QBT_gate_Rochester_large_opt2_1_1.5_no.9.qasm', 41, 38, 242, 204, 1.47, 6.3684)
(10, '53QBT_gate_Rochester_large_opt1_0_1.5_no.9.qasm', 25, 20, 218, 198, 1.49, 10.9)
(11, '53QBT_gate_Rochester_small_opt2_3_1.5_no.0.qasm', 35, 32, 359, 327, 3.11, 11.2188)
(12, '53QBT_gate_Rochester_large_opt1_2_1.5_no.6.qasm', 51, 62, 575, 513, 3.3, 9.2742)
(13, '53QBT_gate_Rochester_large_opt2_0_1.5_no.5.qasm', 27, 21, 180, 159, 0.22, 8.5714)
(14, '53QBT_gate_Rochester_small_opt2_3_1.5_no.9.qasm', 35, 30, 117, 87, 0.58, 3.9)
(16, '53QBT_gate_Rochester_small_opt1_1_1.5_no.6.qasm', 24, 19, 151, 132, 0.29, 7.9474)
(17, '53QBT_gate_Rochester_small_opt1_2_1.5_no.4.qasm', 31, 32, 434, 402, 5.34, 13.5625)
(19, '53QBT_gate_Rochester_large_opt2_1_1.5_no.2.qasm', 38, 36, 372, 336, 1.82, 10.3333)
(21, '53QBT_gate_Rochester_small_opt1_1_1.5_no.8.qasm', 24, 19, 259, 240, 1.31, 13.6316)
(25, '53QBT_gate_Rochester_large_opt1_3_1.5_no.6.qasm', 51, 75, 951, 876, 10.22, 12.68)
(26, '53QBT_gate_Rochester_large_opt2_4_1.5_no.8.qasm', 49, 58, 595, 537, 8.74, 10.2586)
(27, '53QBT_gate_Rochester_small_opt2_1_1.5_no.7.qasm', 24, 18, 153, 135, 1.73, 8.5)
(28, '53QBT_gate_Rochester_small_opt1_4_1.5_no.0.qasm', 44, 51, 411, 360, 5.0, 8.0588)
(31, '53QBT_gate_Rochester_small_opt2_3_1.5_no.8.qasm', 33, 31, 388, 357, 4.83, 12.5161)
(32, '53QBT_gate_Rochester_small_opt2_10_1.5_no.9.qasm', 46, 62, 647, 585, 4.4, 10.4355)
(33, '53QBT_gate_Rochester_small_opt1_25_1.5_no.3.qasm', 53, 266, 2483, 2217, 20.46, 9.3346)
(34, '53QBT_gate_Rochester_large_opt2_3_1.5_no.9.qasm', 45, 56, 788, 732, 10.62, 14.0714)
(35, '53QBT_gate_Rochester_large_opt1_4_1.5_no.2.qasm', 50, 92, 848, 756, 24.39, 9.2174)
(38, '53QBT_gate_Rochester_large_opt2_2_1.5_no.8.qasm', 43, 40, 412, 372, 5.84, 10.3)
(41, '53QBT_gate_Rochester_small_opt1_3_1.5_no.3.qasm', 37, 44, 527, 483, 2.95, 11.9773)
(43, '53QBT_gate_Rochester_small_opt2_0_1.5_no.6.qasm', 17, 10, 73, 63, 0.24, 7.3)
(44, '53QBT_gate_Rochester_small_opt2_4_1.5_no.0.qasm', 32, 30, 390, 360, 3.22, 13.0)
(45, '53QBT_gate_Rochester_small_opt1_5_1.5_no.4.qasm', 46, 58, 538, 480, 4.05, 9.2759)
(46, '53QBT_gate_Rochester_small_opt2_15_1.5_no.1.qasm', 51, 96, 1008, 912, 13.96, 10.5)
(47, '53QBT_gate_Rochester_large_opt1_0_1.5_no.4.qasm', 27, 19, 196, 177, 1.69, 10.3158)
(51, '53QBT_gate_Rochester_small_opt1_0_1.5_no.1.qasm', 17, 10, 10, 0, 0.18, 1.0)
(57, '53QBT_gate_Rochester_small_opt1_3_1.5_no.7.qasm', 40, 43, 427, 384, 8.95, 9.9302)
(58, '53QBT_gate_Rochester_small_opt2_20_1.5_no.3.qasm', 51, 122, 1118, 996, 10.99, 9.1639)
(59, '53QBT_gate_Rochester_small_opt1_0_1.5_no.9.qasm', 18, 11, 170, 159, 0.43, 15.4545)
(60, '53QBT_gate_Rochester_large_opt2_5_1.5_no.1.qasm', 47, 76, 790, 714, 10.36, 10.3947)
(64, '53QBT_gate_Rochester_small_opt2_15_1.5_no.0.qasm', 51, 92, 962, 870, 10.68, 10.4565)
(66, '53QBT_gate_Rochester_small_opt2_15_1.5_no.7.qasm', 46, 95, 965, 870, 12.3, 10.1579)
(67, '53QBT_gate_Rochester_small_opt1_0_1.5_no.6.qasm', 16, 11, 167, 156, 0.44, 15.1818)
(68, '53QBT_gate_Rochester_small_opt2_10_1.5_no.6.qasm', 48, 62, 680, 618, 9.13, 10.9677)
(69, '53QBT_gate_Rochester_small_opt2_4_1.5_no.9.qasm', 32, 33, 411, 378, 1.44, 12.4545)
(70, '53QBT_gate_Rochester_large_opt1_2_1.5_no.5.qasm', 45, 58, 853, 795, 29.65, 14.7069)
(75, '53QBT_gate_Rochester_large_opt2_0_1.5_no.9.qasm', 29, 20, 134, 114, 0.72, 6.7)
