('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on q16
*****************************************
Wed Apr  3 18:53:06 2024
(1, '16QBT_small_gate_opt1_0_1.5_no.6.qasm', 6, 5, 17, 12, 0.05, 3.4)
(2, '16QBT_large_gate_opt2_25_1.5_no.2.qasm', 16, 148, 322, 174, 7.7, 2.1757)
(3, '16QBT_small_gate_opt1_10_1.5_no.7.qasm', 16, 73, 202, 129, 3.67, 2.7671)
(4, '16QBT_small_gate_opt2_4_1.5_no.7.qasm', 11, 18, 45, 27, 0.96, 2.5)
(5, '16QBT_small_gate_opt1_2_1.5_no.1.qasm', 14, 19, 64, 45, 2.67, 3.3684)
(6, '16QBT_small_gate_opt1_3_1.5_no.7.qasm', 15, 27, 66, 39, 6.24, 2.4444)
(7, '16QBT_small_gate_opt2_5_1.5_no.8.qasm', 13, 22, 52, 30, 0.7, 2.3636)
(8, '16QBT_small_gate_opt2_0_1.5_no.3.qasm', 8, 6, 27, 21, 0.25, 4.5)
(9, '16QBT_small_gate_opt1_3_1.5_no.4.qasm', 15, 22, 58, 36, 0.73, 2.6364)
(10, '16QBT_small_gate_opt2_25_1.5_no.1.qasm', 16, 72, 186, 114, 7.36, 2.5833)
(11, '16QBT_large_gate_opt1_15_1.5_no.7.qasm', 16, 161, 374, 213, 19.84, 2.323)
(12, '16QBT_small_gate_opt1_3_1.5_no.2.qasm', 16, 23, 53, 30, 2.11, 2.3043)
(13, '16QBT_large_gate_opt2_3_1.5_no.2.qasm', 14, 28, 91, 63, 1.0, 3.25)
(14, '16QBT_large_gate_opt1_20_1.5_no.6.qasm', 16, 213, 471, 258, 18.84, 2.2113)
(15, '16QBT_large_gate_opt2_2_1.5_no.1.qasm', 15, 21, 63, 42, 1.25, 3.0)
(16, '16QBT_small_gate_opt2_10_1.5_no.4.qasm', 15, 35, 80, 45, 0.57, 2.2857)
(17, '16QBT_large_gate_opt2_5_1.5_no.3.qasm', 15, 40, 97, 57, 1.02, 2.425)
(18, '16QBT_small_gate_opt1_25_1.5_no.6.qasm', 16, 158, 344, 186, 19.29, 2.1772)
(19, '16QBT_small_gate_opt1_10_1.5_no.0.qasm', 16, 60, 126, 66, 1.71, 2.1)
(20, '16QBT_large_gate_opt2_20_1.5_no.3.qasm', 16, 114, 288, 174, 8.69, 2.5263)
(21, '16QBT_small_gate_opt2_20_1.5_no.6.qasm', 16, 69, 162, 93, 5.13, 2.3478)
(22, '16QBT_large_gate_opt1_3_1.5_no.1.qasm', 14, 41, 92, 51, 4.56, 2.2439)
(23, '16QBT_small_gate_opt1_10_1.5_no.1.qasm', 16, 67, 136, 69, 17.93, 2.0299)
(24, '16QBT_large_gate_opt1_2_1.5_no.8.qasm', 16, 30, 75, 45, 4.2, 2.5)
(25, '16QBT_small_gate_opt1_1_1.5_no.3.qasm', 13, 12, 30, 18, 1.3, 2.5)
(26, '16QBT_large_gate_opt1_20_1.5_no.0.qasm', 16, 219, 477, 258, 28.57, 2.1781)
(27, '16QBT_large_gate_opt1_15_1.5_no.2.qasm', 16, 171, 399, 228, 21.43, 2.3333)
(28, '16QBT_small_gate_opt2_0_1.5_no.4.qasm', 8, 5, 14, 9, 0.15, 2.8)
(29, '16QBT_small_gate_opt1_20_1.5_no.4.qasm', 16, 125, 269, 144, 12.18, 2.152)
(30, '16QBT_large_gate_opt2_4_1.5_no.0.qasm', 16, 32, 86, 54, 2.08, 2.6875)
(31, '16QBT_large_gate_opt1_1_1.5_no.3.qasm', 15, 20, 47, 27, 1.27, 2.35)
(32, '16QBT_large_gate_opt2_10_1.5_no.5.qasm', 16, 58, 151, 93, 13.87, 2.6034)
(33, '16QBT_small_gate_opt2_3_1.5_no.9.qasm', 14, 17, 50, 33, 1.01, 2.9412)
(34, '16QBT_small_gate_opt1_2_1.5_no.5.qasm', 14, 15, 45, 30, 7.11, 3.0)
(35, '16QBT_small_gate_opt1_0_1.5_no.7.qasm', 10, 8, 23, 15, 0.26, 2.875)
(36, '16QBT_small_gate_opt2_0_1.5_no.9.qasm', 6, 5, 14, 9, 0.02, 2.8)
(37, '16QBT_small_gate_opt1_4_1.5_no.7.qasm', 14, 27, 45, 18, 0.67, 1.6667)
(38, '16QBT_large_gate_opt2_2_1.5_no.3.qasm', 15, 20, 47, 27, 0.81, 2.35)
(39, '16QBT_small_gate_opt2_25_1.5_no.4.qasm', 16, 86, 206, 120, 3.84, 2.3953)
(40, '16QBT_small_gate_opt2_15_1.5_no.0.qasm', 15, 44, 104, 60, 6.09, 2.3636)
(41, '16QBT_large_gate_opt1_0_1.5_no.6.qasm', 10, 11, 29, 18, 0.01, 2.6364)
(42, '16QBT_large_gate_opt1_10_1.5_no.8.qasm', 16, 108, 273, 165, 6.9, 2.5278)
(43, '16QBT_small_gate_opt1_4_1.5_no.3.qasm', 16, 30, 84, 54, 7.2, 2.8)
(44, '16QBT_small_gate_opt1_20_1.5_no.8.qasm', 16, 115, 247, 132, 12.66, 2.1478)
(45, '16QBT_large_gate_opt2_3_1.5_no.5.qasm', 16, 30, 78, 48, 0.69, 2.6)
(46, '16QBT_small_gate_opt1_0_1.5_no.4.qasm', 8, 6, 12, 6, 0.03, 2.0)
(47, '16QBT_small_gate_opt2_25_1.5_no.7.qasm', 16, 78, 213, 135, 14.91, 2.7308)
(48, '16QBT_small_gate_opt2_15_1.5_no.8.qasm', 16, 50, 104, 54, 3.62, 2.08)
(49, '16QBT_large_gate_opt2_1_1.5_no.1.qasm', 16, 21, 60, 39, 3.75, 2.8571)
(50, '16QBT_small_gate_opt1_3_1.5_no.5.qasm', 15, 23, 59, 36, 6.59, 2.5652)
(51, '16QBT_small_gate_opt1_25_1.5_no.9.qasm', 16, 157, 355, 198, 23.87, 2.2611)
(52, '16QBT_large_gate_opt1_2_1.5_no.0.qasm', 16, 36, 78, 42, 2.02, 2.1667)
(53, '16QBT_small_gate_opt1_4_1.5_no.2.qasm', 15, 28, 52, 24, 1.01, 1.8571)
(54, '16QBT_small_gate_opt1_15_1.5_no.6.qasm', 16, 92, 206, 114, 8.18, 2.2391)
(55, '16QBT_large_gate_opt1_25_1.5_no.6.qasm', 16, 267, 615, 348, 29.31, 2.3034)
(56, '16QBT_large_gate_opt2_10_1.5_no.9.qasm', 16, 58, 139, 81, 3.9, 2.3966)
(57, '16QBT_large_gate_opt1_0_1.5_no.3.qasm', 12, 10, 37, 27, 3.55, 3.7)
(58, '16QBT_large_gate_opt2_3_1.5_no.7.qasm', 16, 32, 98, 66, 3.04, 3.0625)
(59, '16QBT_large_gate_opt1_10_1.5_no.1.qasm', 16, 113, 320, 207, 9.63, 2.8319)
(60, '16QBT_large_gate_opt1_2_1.5_no.5.qasm', 15, 32, 86, 54, 2.7, 2.6875)
(61, '16QBT_small_gate_opt2_3_1.5_no.6.qasm', 13, 14, 38, 24, 1.25, 2.7143)
(62, '16QBT_small_gate_opt1_20_1.5_no.0.qasm', 16, 114, 261, 147, 12.2, 2.2895)
(63, '16QBT_large_gate_opt1_4_1.5_no.1.qasm', 15, 53, 143, 90, 2.79, 2.6981)
(64, '16QBT_large_gate_opt1_15_1.5_no.8.qasm', 16, 164, 407, 243, 35.11, 2.4817)
(65, '16QBT_small_gate_opt1_2_1.5_no.9.qasm', 12, 17, 44, 27, 0.78, 2.5882)
(66, '16QBT_large_gate_opt2_5_1.5_no.1.qasm', 14, 43, 106, 63, 8.15, 2.4651)
(67, '16QBT_large_gate_opt2_5_1.5_no.5.qasm', 16, 40, 112, 72, 2.51, 2.8)
(68, '16QBT_small_gate_opt1_15_1.5_no.1.qasm', 16, 96, 201, 105, 4.58, 2.0938)
(69, '16QBT_small_gate_opt1_10_1.5_no.9.qasm', 16, 54, 114, 60, 8.29, 2.1111)
(70, '16QBT_small_gate_opt2_2_1.5_no.2.qasm', 10, 11, 29, 18, 0.3, 2.6364)
(71, '16QBT_large_gate_opt1_15_1.5_no.9.qasm', 16, 163, 391, 228, 20.32, 2.3988)
(72, '16QBT_large_gate_opt2_10_1.5_no.8.qasm', 16, 65, 155, 90, 3.08, 2.3846)
(73, '16QBT_small_gate_opt1_15_1.5_no.3.qasm', 16, 91, 220, 129, 9.83, 2.4176)
(74, '16QBT_large_gate_opt1_25_1.5_no.4.qasm', 16, 271, 613, 342, 28.68, 2.262)
(75, '16QBT_small_gate_opt1_1_1.5_no.5.qasm', 10, 10, 31, 21, 0.16, 3.1)
(76, '16QBT_large_gate_opt1_2_1.5_no.9.qasm', 15, 32, 95, 63, 2.46, 2.9688)
(77, '16QBT_small_gate_opt1_1_1.5_no.2.qasm', 12, 10, 34, 24, 1.45, 3.4)
(78, '16QBT_small_gate_opt2_15_1.5_no.1.qasm', 16, 50, 131, 81, 5.38, 2.62)
(79, '16QBT_small_gate_opt2_2_1.5_no.0.qasm', 11, 13, 31, 18, 0.46, 2.3846)
(80, '16QBT_large_gate_opt1_15_1.5_no.6.qasm', 16, 165, 417, 252, 17.63, 2.5273)
(81, '16QBT_small_gate_opt2_1_1.5_no.8.qasm', 13, 14, 32, 18, 0.91, 2.2857)
(82, '16QBT_large_gate_opt2_3_1.5_no.4.qasm', 16, 32, 65, 33, 0.28, 2.0312)
(83, '16QBT_large_gate_opt1_20_1.5_no.1.qasm', 16, 207, 486, 279, 26.76, 2.3478)
(84, '16QBT_small_gate_opt2_15_1.5_no.9.qasm', 16, 54, 141, 87, 3.59, 2.6111)
(85, '16QBT_small_gate_opt2_0_1.5_no.2.qasm', 7, 5, 14, 9, 0.02, 2.8)
(86, '16QBT_large_gate_opt2_4_1.5_no.3.qasm', 16, 30, 81, 51, 6.85, 2.7)
(87, '16QBT_large_gate_opt2_25_1.5_no.9.qasm', 16, 133, 352, 219, 15.07, 2.6466)
