('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on sycamore
*****************************************
Wed Apr  3 18:57:14 2024
(1, '53QBT_gate_Sycamore_large_opt1_3_1.5_no.1.qasm', 50, 72, 627, 555, 78.03, 8.7083)
(2, '53QBT_gate_Sycamore_small_opt2_4_1.5_no.9.qasm', 35, 34, 283, 249, 16.61, 8.3235)
(3, '53QBT_gate_Sycamore_small_opt1_20_1.5_no.6.qasm', 53, 216, 1509, 1293, 134.66, 6.9861)
(4, '53QBT_gate_Sycamore_small_opt2_1_1.5_no.1.qasm', 26, 19, 127, 108, 1.86, 6.6842)
(5, '53QBT_gate_Sycamore_large_opt2_1_1.5_no.4.qasm', 42, 37, 175, 138, 45.93, 4.7297)
(6, '53QBT_gate_Sycamore_large_opt2_15_1.5_no.9.qasm', 53, 170, 1253, 1083, 80.36, 7.3706)
(7, '53QBT_gate_Sycamore_small_opt2_0_1.5_no.2.qasm', 16, 9, 36, 27, 0.03, 4.0)
(8, '53QBT_gate_Sycamore_large_opt2_2_1.5_no.6.qasm', 40, 35, 254, 219, 20.65, 7.2571)
(9, '53QBT_gate_Sycamore_large_opt2_4_1.5_no.3.qasm', 49, 59, 383, 324, 80.31, 6.4915)
(10, '53QBT_gate_Sycamore_small_opt2_2_1.5_no.5.qasm', 24, 22, 82, 60, 3.88, 3.7273)
(11, '53QBT_gate_Sycamore_small_opt1_0_1.5_no.5.qasm', 17, 10, 13, 3, 0.27, 1.3)
(12, '53QBT_gate_Sycamore_small_opt2_3_1.5_no.5.qasm', 28, 29, 146, 117, 13.72, 5.0345)
(13, '53QBT_gate_Sycamore_small_opt2_1_1.5_no.8.qasm', 25, 22, 70, 48, 0.4, 3.1818)
(14, '53QBT_gate_Sycamore_small_opt1_10_1.5_no.9.qasm', 51, 116, 746, 630, 44.36, 6.431)
(15, '53QBT_gate_Sycamore_small_opt2_3_1.5_no.3.qasm', 34, 33, 138, 105, 6.67, 4.1818)
(16, '53QBT_gate_Sycamore_large_opt1_10_1.5_no.0.qasm', 53, 206, 1676, 1470, 107.81, 8.1359)
(17, '53QBT_gate_Sycamore_large_opt2_25_1.5_no.8.qasm', 53, 263, 2096, 1833, 66.32, 7.9696)
(18, '53QBT_gate_Sycamore_small_opt2_25_1.5_no.1.qasm', 52, 142, 1165, 1023, 392.15, 8.2042)
(19, '53QBT_gate_Sycamore_small_opt2_1_1.5_no.6.qasm', 27, 20, 191, 171, 18.89, 9.55)
(20, '53QBT_gate_Sycamore_large_opt2_25_1.5_no.6.qasm', 53, 263, 1721, 1458, 142.89, 6.5437)
(21, '53QBT_gate_Sycamore_small_opt1_10_1.5_no.7.qasm', 51, 108, 762, 654, 138.13, 7.0556)
(22, '53QBT_gate_Sycamore_large_opt2_3_1.5_no.8.qasm', 45, 56, 341, 285, 39.1, 6.0893)
(23, '53QBT_gate_Sycamore_small_opt2_10_1.5_no.9.qasm', 42, 54, 315, 261, 18.7, 5.8333)
(24, '53QBT_gate_Sycamore_small_opt2_1_1.5_no.4.qasm', 29, 21, 60, 39, 0.58, 2.8571)
(25, '53QBT_gate_Sycamore_large_opt2_4_1.5_no.6.qasm', 48, 58, 391, 333, 54.63, 6.7414)
(26, '53QBT_gate_Sycamore_small_opt2_15_1.5_no.3.qasm', 46, 89, 494, 405, 84.22, 5.5506)
(27, '53QBT_gate_Sycamore_large_opt2_1_1.5_no.0.qasm', 34, 35, 245, 210, 30.14, 7.0)
(28, '53QBT_gate_Sycamore_small_opt1_20_1.5_no.5.qasm', 53, 217, 1315, 1098, 94.2, 6.0599)
(29, '53QBT_gate_Sycamore_small_opt1_10_1.5_no.1.qasm', 47, 112, 790, 678, 59.25, 7.0536)
(30, '53QBT_gate_Sycamore_small_opt1_5_1.5_no.3.qasm', 47, 65, 281, 216, 35.25, 4.3231)
(31, '53QBT_gate_Sycamore_large_opt2_4_1.5_no.0.qasm', 45, 59, 371, 312, 67.98, 6.2881)
