('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on torino
*****************************************
Fri Jun 21 02:10:32 2024
(6, 'quantum_volume_5_loop8.qasm', 5, 30, 39, 9, 0.02, 1.3)
(2, 'quantum_volume_5_loop7.qasm', 5, 30, 42, 12, 0.04, 1.4)
(18, 'quantum_volume_5_loop0.qasm', 5, 30, 45, 15, 0.02, 1.5)
(19, 'quantum_volume_5_loop9.qasm', 5, 30, 42, 12, 0.01, 1.4)
(25, 'quantum_volume_5_loop6.qasm', 5, 30, 36, 6, 0.0, 1.2)
(23, 'quantum_volume_5_loop2.qasm', 5, 30, 42, 12, 0.02, 1.4)
(30, 'quantum_volume_5_loop4.qasm', 5, 30, 42, 12, 0.01, 1.4)
(32, 'quantum_volume_5_loop1.qasm', 5, 30, 33, 3, 0.0, 1.1)
(37, 'quantum_volume_10_loop8.qasm', 10, 150, 555, 405, 0.33, 3.7)
(20, 'quantum_volume_10_loop4.qasm', 10, 150, 720, 570, 0.57, 4.8)
(35, 'quantum_volume_10_loop6.qasm', 10, 150, 600, 450, 0.5, 4.0)
(3, 'quantum_volume_10_loop7.qasm', 10, 150, 402, 252, 0.66, 2.68)
(40, 'quantum_volume_5_loop3.qasm', 5, 30, 42, 12, 0.0, 1.4)
(31, 'quantum_volume_10_loop5.qasm', 10, 150, 474, 324, 0.67, 3.16)
(34, 'quantum_volume_10_loop9.qasm', 10, 150, 471, 321, 1.05, 3.14)
(28, 'quantum_volume_10_loop0.qasm', 10, 150, 465, 315, 1.17, 3.1)
(46, 'quantum_volume_10_loop2.qasm', 10, 150, 918, 768, 0.61, 6.12)
(11, 'quantum_volume_15_loop1.qasm', 15, 315, 1083, 768, 3.25, 3.4381)
(29, 'quantum_volume_15_loop0.qasm', 15, 315, 1227, 912, 3.89, 3.8952)
(9, 'quantum_volume_15_loop9.qasm', 15, 315, 1017, 702, 4.17, 3.2286)
(33, 'quantum_volume_15_loop7.qasm', 15, 315, 1806, 1491, 4.26, 5.7333)
(39, 'quantum_volume_15_loop6.qasm', 15, 315, 1335, 1020, 4.67, 4.2381)
(49, 'quantum_volume_15_loop2.qasm', 15, 315, 1368, 1053, 2.5, 4.3429)
(17, 'quantum_volume_15_loop4.qasm', 15, 315, 2250, 1935, 6.59, 7.1429)
(54, 'quantum_volume_10_loop3.qasm', 10, 150, 1062, 912, 0.82, 7.08)
(48, 'quantum_volume_15_loop3.qasm', 15, 315, 1473, 1158, 4.71, 4.6762)
(53, 'quantum_volume_15_loop5.qasm', 15, 315, 1497, 1182, 4.01, 4.7524)
(57, 'quantum_volume_10_loop1.qasm', 10, 150, 348, 198, 0.26, 2.32)
