('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on sycamore
*****************************************
Wed Apr  3 19:49:41 2024
(1, 'quantum_volume_30_loop4.qasm', 30, 1350, 4434, 3084, 66.34, 3.2844)
(2, 'quantum_volume_5_loop7.qasm', 5, 30, 48, 18, 0.01, 1.6)
(3, 'quantum_volume_10_loop7.qasm', 10, 150, 282, 132, 0.57, 1.88)
(4, 'quantum_volume_25_loop6.qasm', 25, 900, 2733, 1833, 62.94, 3.0367)
(5, 'quantum_volume_25_loop1.qasm', 25, 900, 2769, 1869, 46.82, 3.0767)
(6, 'quantum_volume_5_loop8.qasm', 5, 30, 39, 9, 0.01, 1.3)
(7, 'quantum_volume_25_loop0.qasm', 25, 900, 2991, 2091, 83.91, 3.3233)
(8, 'quantum_volume_25_loop8.qasm', 25, 900, 2736, 1836, 37.68, 3.04)
(9, 'quantum_volume_15_loop9.qasm', 15, 315, 669, 354, 7.29, 2.1238)
(10, 'quantum_volume_20_loop3.qasm', 20, 600, 1737, 1137, 11.58, 2.895)
(11, 'quantum_volume_15_loop1.qasm', 15, 315, 606, 291, 6.87, 1.9238)
(12, 'quantum_volume_25_loop3.qasm', 25, 900, 3204, 2304, 54.63, 3.56)
(13, 'quantum_volume_30_loop9.qasm', 30, 1350, 4761, 3411, 69.38, 3.5267)
(14, 'quantum_volume_25_loop4.qasm', 25, 900, 3183, 2283, 40.94, 3.5367)
(15, 'quantum_volume_20_loop7.qasm', 20, 600, 1923, 1323, 12.78, 3.205)
(16, 'quantum_volume_20_loop1.qasm', 20, 600, 1734, 1134, 19.01, 2.89)
(17, 'quantum_volume_15_loop4.qasm', 15, 315, 684, 369, 6.78, 2.1714)
(18, 'quantum_volume_5_loop0.qasm', 5, 30, 39, 9, 0.0, 1.3)
(19, 'quantum_volume_5_loop9.qasm', 5, 30, 33, 3, 0.0, 1.1)
(20, 'quantum_volume_10_loop4.qasm', 10, 150, 243, 93, 0.53, 1.62)
(21, 'quantum_volume_20_loop2.qasm', 20, 600, 1647, 1047, 13.47, 2.745)
(22, 'quantum_volume_30_loop3.qasm', 30, 1350, 4725, 3375, 119.51, 3.5)
(23, 'quantum_volume_5_loop2.qasm', 5, 30, 42, 12, 0.02, 1.4)
(24, 'quantum_volume_25_loop7.qasm', 25, 900, 2835, 1935, 55.07, 3.15)
(25, 'quantum_volume_5_loop6.qasm', 5, 30, 30, 0, 0.0, 1.0)
(26, 'quantum_volume_30_loop0.qasm', 30, 1350, 4995, 3645, 157.28, 3.7)
(27, 'quantum_volume_20_loop4.qasm', 20, 600, 1719, 1119, 11.69, 2.865)
(28, 'quantum_volume_10_loop0.qasm', 10, 150, 303, 153, 0.59, 2.02)
(29, 'quantum_volume_15_loop0.qasm', 15, 315, 861, 546, 3.49, 2.7333)
(30, 'quantum_volume_5_loop4.qasm', 5, 30, 42, 12, 0.01, 1.4)
(31, 'quantum_volume_10_loop5.qasm', 10, 150, 282, 132, 0.36, 1.88)
(32, 'quantum_volume_5_loop1.qasm', 5, 30, 33, 3, 0.0, 1.1)
(33, 'quantum_volume_15_loop7.qasm', 15, 315, 912, 597, 3.56, 2.8952)
(34, 'quantum_volume_10_loop9.qasm', 10, 150, 204, 54, 0.18, 1.36)
(35, 'quantum_volume_10_loop6.qasm', 10, 150, 267, 117, 0.35, 1.78)
(36, 'quantum_volume_25_loop9.qasm', 25, 900, 3156, 2256, 47.21, 3.5067)
(37, 'quantum_volume_10_loop8.qasm', 10, 150, 243, 93, 0.8, 1.62)
(38, 'quantum_volume_30_loop8.qasm', 30, 1350, 4818, 3468, 169.63, 3.5689)
(39, 'quantum_volume_15_loop6.qasm', 15, 315, 810, 495, 3.5, 2.5714)
(40, 'quantum_volume_5_loop3.qasm', 5, 30, 39, 9, 0.0, 1.3)
(41, 'quantum_volume_20_loop6.qasm', 20, 600, 2376, 1776, 19.63, 3.96)
