('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on rochester
*****************************************
Wed Apr  3 19:49:52 2024
(1, 'quantum_volume_30_loop4.qasm', 30, 1350, 6417, 5067, 35.9, 4.7533)
(2, 'quantum_volume_5_loop7.qasm', 5, 30, 48, 18, 0.01, 1.6)
(3, 'quantum_volume_10_loop7.qasm', 10, 150, 495, 345, 0.2, 3.3)
(4, 'quantum_volume_25_loop6.qasm', 25, 900, 3891, 2991, 21.51, 4.3233)
(5, 'quantum_volume_25_loop1.qasm', 25, 900, 3915, 3015, 18.63, 4.35)
(6, 'quantum_volume_5_loop8.qasm', 5, 30, 39, 9, 0.0, 1.3)
(7, 'quantum_volume_25_loop0.qasm', 25, 900, 3996, 3096, 19.81, 4.44)
(8, 'quantum_volume_25_loop8.qasm', 25, 900, 4197, 3297, 11.24, 4.6633)
(9, 'quantum_volume_15_loop9.qasm', 15, 315, 1236, 921, 1.77, 3.9238)
(10, 'quantum_volume_20_loop3.qasm', 20, 600, 2343, 1743, 4.5, 3.905)
(11, 'quantum_volume_15_loop1.qasm', 15, 315, 972, 657, 0.92, 3.0857)
(12, 'quantum_volume_25_loop3.qasm', 25, 900, 3957, 3057, 16.11, 4.3967)
(13, 'quantum_volume_30_loop9.qasm', 30, 1350, 6618, 5268, 36.18, 4.9022)
(14, 'quantum_volume_25_loop4.qasm', 25, 900, 4065, 3165, 18.27, 4.5167)
(15, 'quantum_volume_20_loop7.qasm', 20, 600, 2382, 1782, 8.26, 3.97)
(16, 'quantum_volume_20_loop1.qasm', 20, 600, 2364, 1764, 6.89, 3.94)
(17, 'quantum_volume_15_loop4.qasm', 15, 315, 1146, 831, 1.89, 3.6381)
(18, 'quantum_volume_5_loop0.qasm', 5, 30, 45, 15, 0.0, 1.5)
(19, 'quantum_volume_5_loop9.qasm', 5, 30, 42, 12, 0.0, 1.4)
(20, 'quantum_volume_10_loop4.qasm', 10, 150, 456, 306, 0.24, 3.04)
(21, 'quantum_volume_20_loop2.qasm', 20, 600, 2388, 1788, 6.33, 3.98)
(22, 'quantum_volume_30_loop3.qasm', 30, 1350, 6072, 4722, 33.16, 4.4978)
(23, 'quantum_volume_5_loop2.qasm', 5, 30, 42, 12, 0.0, 1.4)
(24, 'quantum_volume_25_loop7.qasm', 25, 900, 3927, 3027, 14.48, 4.3633)
(25, 'quantum_volume_5_loop6.qasm', 5, 30, 36, 6, 0.0, 1.2)
(26, 'quantum_volume_30_loop0.qasm', 30, 1350, 6999, 5649, 37.45, 5.1844)
(27, 'quantum_volume_20_loop4.qasm', 20, 600, 2409, 1809, 6.34, 4.015)
(28, 'quantum_volume_10_loop0.qasm', 10, 150, 549, 399, 0.4, 3.66)
(29, 'quantum_volume_15_loop0.qasm', 15, 315, 1227, 912, 2.23, 3.8952)
(30, 'quantum_volume_5_loop4.qasm', 5, 30, 42, 12, 0.0, 1.4)
(31, 'quantum_volume_10_loop5.qasm', 10, 150, 525, 375, 0.44, 3.5)
(32, 'quantum_volume_5_loop1.qasm', 5, 30, 33, 3, 0.0, 1.1)
(33, 'quantum_volume_15_loop7.qasm', 15, 315, 1200, 885, 1.7, 3.8095)
(34, 'quantum_volume_10_loop9.qasm', 10, 150, 426, 276, 0.23, 2.84)
(35, 'quantum_volume_10_loop6.qasm', 10, 150, 468, 318, 0.23, 3.12)
(36, 'quantum_volume_25_loop9.qasm', 25, 900, 4122, 3222, 11.42, 4.58)
(37, 'quantum_volume_10_loop8.qasm', 10, 150, 477, 327, 0.1, 3.18)
(38, 'quantum_volume_30_loop8.qasm', 30, 1350, 6627, 5277, 27.65, 4.9089)
(39, 'quantum_volume_15_loop6.qasm', 15, 315, 1170, 855, 1.34, 3.7143)
(40, 'quantum_volume_5_loop3.qasm', 5, 30, 42, 12, 0.0, 1.4)
(41, 'quantum_volume_20_loop6.qasm', 20, 600, 2349, 1749, 5.82, 3.915)
(42, 'quantum_volume_30_loop7.qasm', 30, 1350, 6903, 5553, 37.91, 5.1133)
(43, 'quantum_volume_25_loop5.qasm', 25, 900, 4047, 3147, 9.44, 4.4967)
(44, 'quantum_volume_20_loop8.qasm', 20, 600, 2475, 1875, 4.83, 4.125)
(45, 'quantum_volume_30_loop2.qasm', 30, 1350, 6708, 5358, 26.68, 4.9689)
(46, 'quantum_volume_10_loop2.qasm', 10, 150, 492, 342, 0.42, 3.28)
(47, 'quantum_volume_30_loop5.qasm', 30, 1350, 6663, 5313, 43.95, 4.9356)
(48, 'quantum_volume_15_loop3.qasm', 15, 315, 1002, 687, 1.83, 3.181)
(49, 'quantum_volume_15_loop2.qasm', 15, 315, 1104, 789, 1.36, 3.5048)
(50, 'quantum_volume_20_loop0.qasm', 20, 600, 2388, 1788, 5.63, 3.98)
(51, 'quantum_volume_20_loop5.qasm', 20, 600, 2565, 1965, 8.08, 4.275)
(52, 'quantum_volume_30_loop6.qasm', 30, 1350, 6870, 5520, 35.95, 5.0889)
(53, 'quantum_volume_15_loop5.qasm', 15, 315, 1098, 783, 1.56, 3.4857)
(54, 'quantum_volume_10_loop3.qasm', 10, 150, 573, 423, 0.22, 3.82)
