('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on torino
*****************************************
Fri Jun 21 02:14:52 2024
(16, 'wstate_nativegates_ibm_qiskit_opt0_30.qasm', 30, 58, 58, 0, 0.0, 1.0)
(17, 'ghz_nativegates_ibm_qiskit_opt0_50.qasm', 50, 49, 49, 0, 0.0, 1.0)
(20, 'ghz_nativegates_ibm_qiskit_opt0_10.qasm', 10, 9, 9, 0, 0.0, 1.0)
(21, 'ghz_nativegates_ibm_qiskit_opt0_30.qasm', 30, 29, 29, 0, 0.0, 1.0)
(6, 'dj_nativegates_ibm_qiskit_opt0_30.qasm', 30, 29, 119, 90, 0.07, 4.1034)
(27, 'qaoa_nativegates_ibm_qiskit_opt0_10.qasm', 10, 40, 76, 36, 0.04, 1.9)
(32, 'ghz_nativegates_ibm_qiskit_opt0_20.qasm', 20, 19, 19, 0, 0.0, 1.0)
(37, 'wstate_nativegates_ibm_qiskit_opt0_40.qasm', 40, 78, 78, 0, 0.0, 1.0)
(36, 'wstate_nativegates_ibm_qiskit_opt0_100.qasm', 100, 198, 198, 0, 0.0, 1.0)
(39, 'dj_nativegates_ibm_qiskit_opt0_10.qasm', 10, 9, 27, 18, 0.01, 3.0)
(7, 'graphstate_nativegates_ibm_qiskit_opt0_20.qasm', 20, 20, 71, 51, 0.27, 3.55)
(40, 'dj_nativegates_ibm_qiskit_opt0_40.qasm', 40, 39, 204, 165, 0.05, 5.2308)
(15, 'ae_nativegates_ibm_qiskit_opt0_10.qasm', 10, 90, 246, 156, 0.34, 2.7333)
(12, 'dj_nativegates_ibm_qiskit_opt0_100.qasm', 100, 99, 801, 702, 0.46, 8.0909)
(11, 'qnn_nativegates_ibm_qiskit_opt0_10.qasm', 10, 189, 588, 399, 0.49, 3.1111)
(26, 'qft_nativegates_ibm_qiskit_opt0_10.qasm', 10, 105, 339, 234, 0.47, 3.2286)
(46, 'wstate_nativegates_ibm_qiskit_opt0_20.qasm', 20, 38, 38, 0, 0.0, 1.0)
(47, 'ghz_nativegates_ibm_qiskit_opt0_40.qasm', 40, 39, 39, 0, 0.0, 1.0)
(44, 'qpeexact_nativegates_ibm_qiskit_opt0_10.qasm', 10, 98, 245, 147, 0.25, 2.5)
(22, 'graphstate_nativegates_ibm_qiskit_opt0_40.qasm', 40, 40, 163, 123, 0.77, 4.075)
(49, 'dj_nativegates_ibm_qiskit_opt0_20.qasm', 20, 19, 64, 45, 0.04, 3.3684)
(51, 'graphstate_nativegates_ibm_qiskit_opt0_10.qasm', 10, 10, 34, 24, 0.0, 3.4)
(52, 'dj_nativegates_ibm_qiskit_opt0_50.qasm', 50, 49, 316, 267, 0.12, 6.449)
