('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on sycamore
*****************************************
Wed Apr  3 21:30:12 2024
(1, 'ae_nativegates_ibm_qiskit_opt0_20.qasm', 20, 380, 899, 519, 14.22, 2.3658)
(2, 'qpeexact_nativegates_ibm_qiskit_opt0_40.qasm', 40, 1617, 5373, 3756, 131.4, 3.3228)
(3, 'qpeinexact_nativegates_ibm_qiskit_opt0_50.qasm', 50, 2522, 10160, 7638, 610.84, 4.0285)
(4, 'dj_nativegates_ibm_qiskit_opt0_30.qasm', 30, 29, 98, 69, 0.02, 3.3793)
(5, 'graphstate_nativegates_ibm_qiskit_opt0_20.qasm', 20, 20, 20, 0, 0.0, 1.0)
(6, 'qpeexact_nativegates_ibm_qiskit_opt0_30.qasm', 30, 910, 2866, 1956, 45.65, 3.1495)
(7, 'qnn_nativegates_ibm_qiskit_opt0_50.qasm', 50, 4949, 17165, 12216, 815.09, 3.4684)
(8, 'su2random_nativegates_ibm_qiskit_opt0_10.qasm', 10, 135, 453, 318, 2.33, 3.3556)
(9, 'qnn_nativegates_ibm_qiskit_opt0_10.qasm', 10, 189, 366, 177, 1.31, 1.9365)
(10, 'portfoliovqe_nativegates_ibm_qiskit_opt0_10.qasm', 10, 135, 453, 318, 2.3, 3.3556)
(11, 'ae_nativegates_ibm_qiskit_opt0_10.qasm', 10, 90, 180, 90, 0.76, 2.0)
(12, 'wstate_nativegates_ibm_qiskit_opt0_30.qasm', 30, 58, 58, 0, 0.0, 1.0)
(13, 'ghz_nativegates_ibm_qiskit_opt0_50.qasm', 50, 49, 79, 30, 0.0, 1.6122)
(14, 'su2random_nativegates_ibm_qiskit_opt0_30.qasm', 30, 1305, 7041, 5736, 200.47, 5.3954)
(15, 'twolocalrandom_nativegates_ibm_qiskit_opt0_50.qasm', 50, 3675, 23130, 19455, 960.75, 6.2939)
(16, 'ghz_nativegates_ibm_qiskit_opt0_10.qasm', 10, 9, 9, 0, 0.0, 1.0)
(17, 'ghz_nativegates_ibm_qiskit_opt0_30.qasm', 30, 29, 29, 0, 0.0, 1.0)
(18, 'graphstate_nativegates_ibm_qiskit_opt0_40.qasm', 40, 40, 124, 84, 0.62, 3.1)
(19, 'portfolioqaoa_nativegates_ibm_qiskit_opt0_10.qasm', 10, 270, 540, 270, 2.08, 2.0)
(20, 'twolocalrandom_nativegates_ibm_qiskit_opt0_10.qasm', 10, 135, 453, 318, 2.35, 3.3556)
(21, 'qpeexact_nativegates_ibm_qiskit_opt0_20.qasm', 20, 407, 1112, 705, 4.72, 2.7322)
(22, 'qft_nativegates_ibm_qiskit_opt0_10.qasm', 10, 105, 192, 87, 0.89, 1.8286)
(23, 'qaoa_nativegates_ibm_qiskit_opt0_10.qasm', 10, 40, 76, 36, 0.06, 1.9)
(24, 'ae_nativegates_ibm_qiskit_opt0_50.qasm', 50, 2450, 8183, 5733, 383.75, 3.34)
(25, 'ae_nativegates_ibm_qiskit_opt0_40.qasm', 40, 1560, 4809, 3249, 130.32, 3.0827)
(26, 'twolocalrandom_nativegates_ibm_qiskit_opt0_20.qasm', 20, 570, 2586, 2016, 56.17, 4.5368)
(27, 'ghz_nativegates_ibm_qiskit_opt0_20.qasm', 20, 19, 19, 0, 0.0, 1.0)
(28, 'qft_nativegates_ibm_qiskit_opt0_20.qasm', 20, 410, 1121, 711, 14.67, 2.7341)
(29, 'qnn_nativegates_ibm_qiskit_opt0_30.qasm', 30, 1769, 5921, 4152, 106.14, 3.3471)
(30, 'qwalk-noancilla_nativegates_ibm_qiskit_opt0_10.qasm', 10, 18078, 25821, 7743, 16.46, 1.4283)
(31, 'wstate_nativegates_ibm_qiskit_opt0_40.qasm', 40, 78, 78, 0, 0.0, 1.0)
(32, 'su2random_nativegates_ibm_qiskit_opt0_20.qasm', 20, 570, 2586, 2016, 55.25, 4.5368)
(33, 'dj_nativegates_ibm_qiskit_opt0_10.qasm', 10, 9, 24, 15, 0.0, 2.6667)
