('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on rochester
*****************************************
Wed Apr  3 21:30:21 2024
(1, 'ae_nativegates_ibm_qiskit_opt0_20.qasm', 20, 380, 1433, 1053, 2.23, 3.7711)
(2, 'qpeexact_nativegates_ibm_qiskit_opt0_40.qasm', 40, 1617, 8841, 7224, 65.29, 5.4675)
(4, 'dj_nativegates_ibm_qiskit_opt0_30.qasm', 30, 29, 164, 135, 0.02, 5.6552)
(5, 'graphstate_nativegates_ibm_qiskit_opt0_20.qasm', 20, 20, 74, 54, 0.06, 3.7)
(6, 'qpeexact_nativegates_ibm_qiskit_opt0_30.qasm', 30, 910, 4561, 3651, 9.69, 5.0121)
(7, 'qnn_nativegates_ibm_qiskit_opt0_50.qasm', 50, 4949, 25142, 20193, 512.7, 5.0802)
(8, 'su2random_nativegates_ibm_qiskit_opt0_10.qasm', 10, 135, 615, 480, 0.42, 4.5556)
(9, 'qnn_nativegates_ibm_qiskit_opt0_10.qasm', 10, 189, 606, 417, 0.25, 3.2063)
(10, 'portfoliovqe_nativegates_ibm_qiskit_opt0_10.qasm', 10, 135, 615, 480, 0.43, 4.5556)
(11, 'ae_nativegates_ibm_qiskit_opt0_10.qasm', 10, 90, 201, 111, 0.06, 2.2333)
(12, 'wstate_nativegates_ibm_qiskit_opt0_30.qasm', 30, 58, 58, 0, 0.0, 1.0)
(13, 'ghz_nativegates_ibm_qiskit_opt0_50.qasm', 50, 49, 85, 36, 0.0, 1.7347)
(14, 'su2random_nativegates_ibm_qiskit_opt0_30.qasm', 30, 1305, 9612, 8307, 41.48, 7.3655)
(15, 'twolocalrandom_nativegates_ibm_qiskit_opt0_50.qasm', 50, 3675, 37896, 34221, 330.67, 10.3118)
(16, 'ghz_nativegates_ibm_qiskit_opt0_10.qasm', 10, 9, 9, 0, 0.0, 1.0)
(17, 'ghz_nativegates_ibm_qiskit_opt0_30.qasm', 30, 29, 29, 0, 0.0, 1.0)
(18, 'graphstate_nativegates_ibm_qiskit_opt0_40.qasm', 40, 40, 124, 84, 0.11, 3.1)
(19, 'portfolioqaoa_nativegates_ibm_qiskit_opt0_10.qasm', 10, 270, 738, 468, 0.35, 2.7333)
(20, 'twolocalrandom_nativegates_ibm_qiskit_opt0_10.qasm', 10, 135, 615, 480, 0.41, 4.5556)
(21, 'qpeexact_nativegates_ibm_qiskit_opt0_20.qasm', 20, 407, 1847, 1440, 2.45, 4.5381)
(22, 'qft_nativegates_ibm_qiskit_opt0_10.qasm', 10, 105, 249, 144, 0.14, 2.3714)
(23, 'qaoa_nativegates_ibm_qiskit_opt0_10.qasm', 10, 40, 76, 36, 0.01, 1.9)
(24, 'ae_nativegates_ibm_qiskit_opt0_50.qasm', 50, 2450, 12626, 10176, 24.41, 5.1535)
(25, 'ae_nativegates_ibm_qiskit_opt0_40.qasm', 40, 1560, 7677, 6117, 37.85, 4.9212)
(26, 'twolocalrandom_nativegates_ibm_qiskit_opt0_20.qasm', 20, 570, 4332, 3762, 7.59, 7.6)
(27, 'ghz_nativegates_ibm_qiskit_opt0_20.qasm', 20, 19, 19, 0, 0.0, 1.0)
(28, 'qft_nativegates_ibm_qiskit_opt0_20.qasm', 20, 410, 1670, 1260, 1.8, 4.0732)
(29, 'qnn_nativegates_ibm_qiskit_opt0_30.qasm', 30, 1769, 8321, 6552, 30.19, 4.7038)
(30, 'qwalk-noancilla_nativegates_ibm_qiskit_opt0_10.qasm', 10, 18078, 38346, 20268, 18.69, 2.1211)
(31, 'wstate_nativegates_ibm_qiskit_opt0_40.qasm', 40, 78, 78, 0, 0.0, 1.0)
(32, 'su2random_nativegates_ibm_qiskit_opt0_20.qasm', 20, 570, 4332, 3762, 7.63, 7.6)
(33, 'dj_nativegates_ibm_qiskit_opt0_10.qasm', 10, 9, 24, 15, 0.0, 2.6667)
(34, 'dj_nativegates_ibm_qiskit_opt0_40.qasm', 40, 39, 285, 246, 0.03, 7.3077)
(35, 'twolocalrandom_nativegates_ibm_qiskit_opt0_40.qasm', 40, 2340, 21093, 18753, 94.38, 9.0141)
(37, 'qpeexact_nativegates_ibm_qiskit_opt0_10.qasm', 10, 98, 239, 141, 0.09, 2.4388)
(38, 'qftentangled_nativegates_ibm_qiskit_opt0_40.qasm', 40, 1659, 7953, 6294, 58.71, 4.7939)
(39, 'wstate_nativegates_ibm_qiskit_opt0_20.qasm', 20, 38, 38, 0, 0.0, 1.0)
(40, 'ghz_nativegates_ibm_qiskit_opt0_40.qasm', 40, 39, 39, 0, 0.0, 1.0)
(41, 'qnn_nativegates_ibm_qiskit_opt0_20.qasm', 20, 779, 3569, 2790, 4.2, 4.5815)
(42, 'dj_nativegates_ibm_qiskit_opt0_20.qasm', 20, 19, 67, 48, 0.01, 3.5263)
(43, 'qftentangled_nativegates_ibm_qiskit_opt0_20.qasm', 20, 429, 1128, 699, 4.39, 2.6294)
(44, 'graphstate_nativegates_ibm_qiskit_opt0_10.qasm', 10, 10, 34, 24, 0.0, 3.4)
(45, 'dj_nativegates_ibm_qiskit_opt0_50.qasm', 50, 49, 364, 315, 0.04, 7.4286)
