benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,EffectiveQM_abalation_mode_aware,24.0,0.8354000000000001,
4gt13_92,5,30,EffectiveQM,24.0,0.4194444444444445,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM_abalation_mode_aware,6.0,0.38539999999999996,
4mod5-v1_22,5,11,EffectiveQM,6.0,0.2581111111111111,
,,,,,,
9symml_195,11,15232,EffectiveQM_abalation_mode_aware,22174.2,1465.1342,
9symml_195,11,15232,EffectiveQM,22183.0,669.6541111111111,
,,,,,,
adr4_197,13,1498,EffectiveQM_abalation_mode_aware,2116.2,124.0738,
adr4_197,13,1498,EffectiveQM,2115.6666666666665,79.98888888888888,
,,,,,,
alu-v0_27,5,17,EffectiveQM_abalation_mode_aware,18.0,0.49110000000000004,
alu-v0_27,5,17,EffectiveQM,18.0,0.43666666666666665,
,,,,,,
co14_215,15,7840,EffectiveQM_abalation_mode_aware,9169.2,1438.2993999999999,
co14_215,15,7840,EffectiveQM,9165.0,648.5677777777778,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM_abalation_mode_aware,3425.7,200.8512,
cycle10_2_110,12,2648,EffectiveQM,3422.6666666666665,142.733,
,,,,,,
decod24-v2_43,4,22,EffectiveQM_abalation_mode_aware,18.0,0.4367,
decod24-v2_43,4,22,EffectiveQM,18.0,0.15566666666666665,
,,,,,,
ising_model_10,10,90,EffectiveQM_abalation_mode_aware,0.0,0.0041,
ising_model_10,10,90,EffectiveQM,0.0,0.008777777777777777,
,,,,,,
ising_model_13,13,120,EffectiveQM_abalation_mode_aware,0.0,0.0952,
ising_model_13,13,120,EffectiveQM,0.0,0.03744444444444445,
,,,,,,
ising_model_16,16,150,EffectiveQM_abalation_mode_aware,33.6,18.096700000000002,
ising_model_16,16,150,EffectiveQM,33.333333333333336,14.913666666666668,
,,,,,,
misex1_241,15,2100,EffectiveQM_abalation_mode_aware,2573.4,131.2487,
misex1_241,15,2100,EffectiveQM,2567.3333333333335,92.72544444444443,
,,,,,,
mod5mils_65,5,16,EffectiveQM_abalation_mode_aware,12.0,0.4210000000000001,
mod5mils_65,5,16,EffectiveQM,12.0,0.1621111111111111,
,,,,,,
qft_10,10,90,EffectiveQM_abalation_mode_aware,87.9,24.471300000000003,
qft_10,10,90,EffectiveQM,87.66666666666667,14.13011111111111,
,,,,,,
qft_13,13,156,EffectiveQM_abalation_mode_aware,168.6,47.7866,
qft_13,13,156,EffectiveQM,167.66666666666666,30.880111111111116,
,,,,,,
qft_16,16,240,EffectiveQM_abalation_mode_aware,269.7,90.67939999999999,
qft_16,16,240,EffectiveQM,270.3333333333333,57.50933333333334,
,,,,,,
radd_250,13,1405,EffectiveQM_abalation_mode_aware,1989.9,116.68879999999999,
radd_250,13,1405,EffectiveQM,1977.0,77.55977777777778,
,,,,,,
rd73_252,10,2319,EffectiveQM_abalation_mode_aware,3331.2,194.3236,
rd73_252,10,2319,EffectiveQM,3311.0,122.06188888888886,
,,,,,,
rd84_142,15,154,EffectiveQM_abalation_mode_aware,174.0,22.465899999999998,
rd84_142,15,154,EffectiveQM,173.0,18.91788888888889,
,,,,,,
rd84_253,12,5960,EffectiveQM_abalation_mode_aware,9329.4,652.715,
rd84_253,12,5960,EffectiveQM,9306.0,330.52066666666667,
,,,,,,
sqn_258,10,4459,EffectiveQM_abalation_mode_aware,6258.3,444.79949999999997,
sqn_258,10,4459,EffectiveQM,6239.666666666667,222.30555555555554,
,,,,,,
square_root_7,15,3089,EffectiveQM_abalation_mode_aware,4470.0,467.2544000000001,
square_root_7,15,3089,EffectiveQM,4446.333333333333,313.1576666666667,
,,,,,,
sym6_145,7,1701,EffectiveQM_abalation_mode_aware,1926.9,85.42490000000001,
sym6_145,7,1701,EffectiveQM,1924.6666666666667,51.903333333333336,
,,,,,,
sym9_193,11,15232,EffectiveQM_abalation_mode_aware,22174.2,1602.9722,
sym9_193,11,15232,EffectiveQM,22183.0,670.1983333333333,
,,,,,,
z4_268,11,1343,EffectiveQM_abalation_mode_aware,1850.7,132.91270000000003,
z4_268,11,1343,EffectiveQM,1842.0,76.30122222222221,
,,,,,,
