benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,EffectiveQM_abalation_mode_aware,0.0,0.0029000000000000002,
4gt13_92,5,30,EffectiveQM,0.0,0.001,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM_abalation_mode_aware,0.0,0.004000000000000001,
4mod5-v1_22,5,11,EffectiveQM,0.0,0.0024444444444444444,
,,,,,,
9symml_195,11,15232,EffectiveQM_abalation_mode_aware,5243.1,1324.1086,
9symml_195,11,15232,EffectiveQM,5295.666666666667,577.0763333333333,
,,,,,,
adr4_197,13,1498,EffectiveQM_abalation_mode_aware,501.9,134.2765,
adr4_197,13,1498,EffectiveQM,501.3333333333333,84.07244444444444,
,,,,,,
alu-v0_27,5,17,EffectiveQM_abalation_mode_aware,3.0,0.43,
alu-v0_27,5,17,EffectiveQM,3.0,0.18633333333333332,
,,,,,,
co14_215,15,7840,EffectiveQM_abalation_mode_aware,2778.9,1055.3269,
co14_215,15,7840,EffectiveQM,2741.3333333333335,649.0736666666667,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM_abalation_mode_aware,891.3,219.7611,
cycle10_2_110,12,2648,EffectiveQM,882.3333333333334,108.72822222222223,
,,,,,,
decod24-v2_43,4,22,EffectiveQM_abalation_mode_aware,0.0,0.0033,
decod24-v2_43,4,22,EffectiveQM,0.0,0.001,
,,,,,,
ising_model_10,10,90,EffectiveQM_abalation_mode_aware,0.0,0.0032,
ising_model_10,10,90,EffectiveQM,0.0,0.012444444444444445,
,,,,,,
ising_model_13,13,120,EffectiveQM_abalation_mode_aware,0.0,0.015700000000000002,
ising_model_13,13,120,EffectiveQM,0.0,0.0054444444444444445,
,,,,,,
ising_model_16,16,150,EffectiveQM_abalation_mode_aware,0.0,0.037200000000000004,
ising_model_16,16,150,EffectiveQM,0.0,0.10344444444444445,
,,,,,,
misex1_241,15,2100,EffectiveQM_abalation_mode_aware,456.6,71.2703,
misex1_241,15,2100,EffectiveQM,434.6666666666667,59.97755555555557,
,,,,,,
mod5mils_65,5,16,EffectiveQM_abalation_mode_aware,0.0,0.0078,
mod5mils_65,5,16,EffectiveQM,0.0,0.004333333333333333,
,,,,,,
qft_10,10,90,EffectiveQM_abalation_mode_aware,27.9,13.627,
qft_10,10,90,EffectiveQM,27.333333333333332,12.85988888888889,
,,,,,,
qft_13,13,156,EffectiveQM_abalation_mode_aware,63.9,45.331599999999995,
qft_13,13,156,EffectiveQM,62.0,41.903999999999996,
,,,,,,
qft_16,16,240,EffectiveQM_abalation_mode_aware,117.0,153.3064,
qft_16,16,240,EffectiveQM,115.66666666666667,87.82733333333334,
,,,,,,
qft_20,20,380,EffectiveQM_abalation_mode_aware,224.1,382.8256,
qft_20,20,380,EffectiveQM,218.0,222.29233333333335,
,,,,,,
radd_250,13,1405,EffectiveQM_abalation_mode_aware,534.9,128.9499,
radd_250,13,1405,EffectiveQM,524.6666666666666,73.69900000000001,
,,,,,,
rd73_252,10,2319,EffectiveQM_abalation_mode_aware,808.2,200.4585,
rd73_252,10,2319,EffectiveQM,793.3333333333334,122.04477777777778,
,,,,,,
rd84_142,15,154,EffectiveQM_abalation_mode_aware,57.3,44.197500000000005,
rd84_142,15,154,EffectiveQM,56.333333333333336,19.82511111111111,
,,,,,,
rd84_253,12,5960,EffectiveQM_abalation_mode_aware,2242.5,545.922,
rd84_253,12,5960,EffectiveQM,2218.0,239.82066666666665,
,,,,,,
sqn_258,10,4459,EffectiveQM_abalation_mode_aware,1484.1,279.4209,
sqn_258,10,4459,EffectiveQM,1485.0,166.60844444444444,
,,,,,,
square_root_7,15,3089,EffectiveQM_abalation_mode_aware,787.8,315.022,
square_root_7,15,3089,EffectiveQM,785.6666666666666,214.224,
,,,,,,
sym6_145,7,1701,EffectiveQM_abalation_mode_aware,467.4,86.5651,
sym6_145,7,1701,EffectiveQM,460.0,62.55511111111111,
,,,,,,
sym9_193,11,15232,EffectiveQM_abalation_mode_aware,5243.1,1349.8645,
sym9_193,11,15232,EffectiveQM,5295.666666666667,579.1241111111111,
,,,,,,
z4_268,11,1343,EffectiveQM_abalation_mode_aware,438.6,84.20919999999998,
z4_268,11,1343,EffectiveQM,431.6666666666667,76.44277777777778,
,,,,,,
