benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,EffectiveQM_abalation_potential,0.0,0.004,
4gt13_92,5,30,EffectiveQM,0.0,0.0006666666666666666,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM_abalation_potential,0.0,0.0121,
4mod5-v1_22,5,11,EffectiveQM,0.0,0.0017777777777777779,
,,,,,,
9symml_195,11,15232,EffectiveQM_abalation_potential,7461.6,757.0482000000001,
9symml_195,11,15232,EffectiveQM,6684.666666666667,550.6994444444443,
,,,,,,
adr4_197,13,1498,EffectiveQM_abalation_potential,599.4,95.9481,
adr4_197,13,1498,EffectiveQM,536.6666666666666,73.29277777777777,
,,,,,,
alu-v0_27,5,17,EffectiveQM_abalation_potential,3.0,0.2081,
alu-v0_27,5,17,EffectiveQM,3.0,0.14022222222222222,
,,,,,,
co14_215,15,7840,EffectiveQM_abalation_potential,3467.7,779.8204,
co14_215,15,7840,EffectiveQM,3291.0,591.853111111111,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM_abalation_potential,1128.9,156.9997,
cycle10_2_110,12,2648,EffectiveQM,1012.0,108.07288888888888,
,,,,,,
decod24-v2_43,4,22,EffectiveQM_abalation_potential,0.0,0.010799999999999999,
decod24-v2_43,4,22,EffectiveQM,0.0,0.0005555555555555556,
,,,,,,
ising_model_10,10,90,EffectiveQM_abalation_potential,0.0,0.004100000000000001,
ising_model_10,10,90,EffectiveQM,0.0,0.004555555555555556,
,,,,,,
ising_model_13,13,120,EffectiveQM_abalation_potential,0.0,0.004900000000000002,
ising_model_13,13,120,EffectiveQM,0.0,0.004333333333333334,
,,,,,,
ising_model_16,16,150,EffectiveQM_abalation_potential,0.0,0.019499999999999997,
ising_model_16,16,150,EffectiveQM,0.0,0.06844444444444446,
,,,,,,
misex1_241,15,2100,EffectiveQM_abalation_potential,551.1,85.6979,
misex1_241,15,2100,EffectiveQM,490.0,51.001,
,,,,,,
mod5mils_65,5,16,EffectiveQM_abalation_potential,0.0,0.0312,
mod5mils_65,5,16,EffectiveQM,0.0,0.003777777777777778,
,,,,,,
qft_10,10,90,EffectiveQM_abalation_potential,27.6,5.514999999999999,
qft_10,10,90,EffectiveQM,27.0,8.818222222222223,
,,,,,,
qft_13,13,156,EffectiveQM_abalation_potential,66.0,20.0979,
qft_13,13,156,EffectiveQM,63.666666666666664,31.230222222222224,
,,,,,,
qft_16,16,240,EffectiveQM_abalation_potential,121.5,46.9459,
qft_16,16,240,EffectiveQM,120.33333333333333,66.77922222222222,
,,,,,,
radd_250,13,1405,EffectiveQM_abalation_potential,609.3,75.8446,
radd_250,13,1405,EffectiveQM,531.3333333333334,68.25011111111111,
,,,,,,
rd73_252,10,2319,EffectiveQM_abalation_potential,975.3,113.8587,
rd73_252,10,2319,EffectiveQM,889.3333333333334,93.14244444444444,
,,,,,,
rd84_142,15,154,EffectiveQM_abalation_potential,62.1,10.189300000000001,
rd84_142,15,154,EffectiveQM,57.0,16.748666666666665,
,,,,,,
rd84_253,12,5960,EffectiveQM_abalation_potential,3072.9,294.169,
rd84_253,12,5960,EffectiveQM,2744.3333333333335,215.06666666666666,
,,,,,,
sqn_258,10,4459,EffectiveQM_abalation_potential,1784.1,310.7022,
sqn_258,10,4459,EffectiveQM,1589.6666666666667,186.61144444444443,
,,,,,,
square_root_7,15,3089,EffectiveQM_abalation_potential,816.9,243.2129,
square_root_7,15,3089,EffectiveQM,762.0,193.9443333333333,
,,,,,,
sym6_145,7,1701,EffectiveQM_abalation_potential,519.9,58.498900000000006,
sym6_145,7,1701,EffectiveQM,482.0,42.968888888888884,
,,,,,,
sym9_193,11,15232,EffectiveQM_abalation_potential,7461.6,790.7452,
sym9_193,11,15232,EffectiveQM,6684.666666666667,552.8914444444445,
,,,,,,
z4_268,11,1343,EffectiveQM_abalation_potential,507.3,80.71549999999999,
z4_268,11,1343,EffectiveQM,445.3333333333333,72.61588888888889,
,,,,,,
