benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,EffectiveQM_abalation_potential,24.0,0.6926999999999999,
4gt13_92,5,30,EffectiveQM,24.0,0.4194444444444445,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM_abalation_potential,6.0,0.28590000000000004,
4mod5-v1_22,5,11,EffectiveQM,6.0,0.2581111111111111,
,,,,,,
9symml_195,11,15232,EffectiveQM_abalation_potential,22542.6,1082.7813,
9symml_195,11,15232,EffectiveQM,22183.0,669.6541111111111,
,,,,,,
adr4_197,13,1498,EffectiveQM_abalation_potential,2130.3,113.71889999999999,
adr4_197,13,1498,EffectiveQM,2115.6666666666665,79.98888888888888,
,,,,,,
alu-v0_27,5,17,EffectiveQM_abalation_potential,18.0,0.5612999999999999,
alu-v0_27,5,17,EffectiveQM,18.0,0.43666666666666665,
,,,,,,
co14_215,15,7840,EffectiveQM_abalation_potential,9233.4,977.3851999999999,
co14_215,15,7840,EffectiveQM,9165.0,648.5677777777778,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM_abalation_potential,3463.8,207.1826,
cycle10_2_110,12,2648,EffectiveQM,3422.6666666666665,142.733,
,,,,,,
decod24-v2_43,4,22,EffectiveQM_abalation_potential,18.0,0.26730000000000004,
decod24-v2_43,4,22,EffectiveQM,18.0,0.15566666666666665,
,,,,,,
ising_model_10,10,90,EffectiveQM_abalation_potential,0.0,0.0083,
ising_model_10,10,90,EffectiveQM,0.0,0.008777777777777777,
,,,,,,
ising_model_13,13,120,EffectiveQM_abalation_potential,0.0,0.0406,
ising_model_13,13,120,EffectiveQM,0.0,0.03744444444444445,
,,,,,,
ising_model_16,16,150,EffectiveQM_abalation_potential,36.9,8.2654,
ising_model_16,16,150,EffectiveQM,33.333333333333336,14.913666666666668,
,,,,,,
misex1_241,15,2100,EffectiveQM_abalation_potential,2565.3,198.3636,
misex1_241,15,2100,EffectiveQM,2567.3333333333335,92.72544444444443,
,,,,,,
mod5mils_65,5,16,EffectiveQM_abalation_potential,12.0,0.3199,
mod5mils_65,5,16,EffectiveQM,12.0,0.1621111111111111,
,,,,,,
qft_10,10,90,EffectiveQM_abalation_potential,87.9,5.6954,
qft_10,10,90,EffectiveQM,87.66666666666667,14.13011111111111,
,,,,,,
qft_13,13,156,EffectiveQM_abalation_potential,171.6,16.682000000000002,
qft_13,13,156,EffectiveQM,167.66666666666666,30.880111111111116,
,,,,,,
qft_16,16,240,EffectiveQM_abalation_potential,273.9,49.60850000000001,
qft_16,16,240,EffectiveQM,270.3333333333333,57.50933333333334,
,,,,,,
radd_250,13,1405,EffectiveQM_abalation_potential,2004.6,111.2861,
radd_250,13,1405,EffectiveQM,1977.0,77.55977777777778,
,,,,,,
rd73_252,10,2319,EffectiveQM_abalation_potential,3336.6,157.3912,
rd73_252,10,2319,EffectiveQM,3311.0,122.06188888888886,
,,,,,,
rd84_142,15,154,EffectiveQM_abalation_potential,173.4,12.3057,
rd84_142,15,154,EffectiveQM,173.0,18.91788888888889,
,,,,,,
rd84_253,12,5960,EffectiveQM_abalation_potential,9496.2,761.8430999999999,
rd84_253,12,5960,EffectiveQM,9306.0,330.52066666666667,
,,,,,,
sqn_258,10,4459,EffectiveQM_abalation_potential,6364.2,401.22370000000006,
sqn_258,10,4459,EffectiveQM,6239.666666666667,222.30555555555554,
,,,,,,
square_root_7,15,3089,EffectiveQM_abalation_potential,4499.1,336.2096,
square_root_7,15,3089,EffectiveQM,4446.333333333333,313.1576666666667,
,,,,,,
sym6_145,7,1701,EffectiveQM_abalation_potential,1966.8,67.30810000000001,
sym6_145,7,1701,EffectiveQM,1924.6666666666667,51.903333333333336,
,,,,,,
sym9_193,11,15232,EffectiveQM_abalation_potential,22542.6,992.9375,
sym9_193,11,15232,EffectiveQM,22183.0,670.1983333333333,
,,,,,,
z4_268,11,1343,EffectiveQM_abalation_potential,1869.3,85.4325,
z4_268,11,1343,EffectiveQM,1842.0,76.30122222222221,
,,,,,,
