benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,EffectiveQM_abalation_potential,24.0,1.0354999999999999,
4gt13_92,5,30,EffectiveQM,24.0,0.6872222222222222,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM_abalation_potential,6.0,0.34009999999999996,
4mod5-v1_22,5,11,EffectiveQM,6.0,0.2951111111111111,
,,,,,,
9symml_195,11,15232,EffectiveQM_abalation_potential,21987.3,1408.2527000000002,
9symml_195,11,15232,EffectiveQM,21923.333333333332,1064.2923333333335,
,,,,,,
adr4_197,13,1498,EffectiveQM_abalation_potential,2067.6,149.5402,
adr4_197,13,1498,EffectiveQM,2065.3333333333335,95.88455555555554,
,,,,,,
alu-v0_27,5,17,EffectiveQM_abalation_potential,18.0,0.6540999999999999,
alu-v0_27,5,17,EffectiveQM,18.0,0.5167777777777779,
,,,,,,
co14_215,15,7840,EffectiveQM_abalation_potential,9361.8,1002.5091999999999,
co14_215,15,7840,EffectiveQM,9257.666666666666,802.3702222222222,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM_abalation_potential,3470.7,189.41920000000002,
cycle10_2_110,12,2648,EffectiveQM,3420.6666666666665,170.01044444444446,
,,,,,,
decod24-v2_43,4,22,EffectiveQM_abalation_potential,18.0,0.40040000000000003,
decod24-v2_43,4,22,EffectiveQM,18.0,0.18188888888888888,
,,,,,,
ising_model_10,10,90,EffectiveQM_abalation_potential,0.0,0.0097,
ising_model_10,10,90,EffectiveQM,0.0,0.025333333333333333,
,,,,,,
ising_model_13,13,120,EffectiveQM_abalation_potential,0.0,0.0607,
ising_model_13,13,120,EffectiveQM,0.0,0.019444444444444445,
,,,,,,
ising_model_16,16,150,EffectiveQM_abalation_potential,0.0,0.09620000000000001,
ising_model_16,16,150,EffectiveQM,0.0,0.32477777777777783,
,,,,,,
misex1_241,15,2100,EffectiveQM_abalation_potential,2511.3,238.56230000000005,
misex1_241,15,2100,EffectiveQM,2514.6666666666665,105.33144444444444,
,,,,,,
mod5mils_65,5,16,EffectiveQM_abalation_potential,12.0,0.4456999999999999,
mod5mils_65,5,16,EffectiveQM,12.0,0.25800000000000006,
,,,,,,
qft_10,10,90,EffectiveQM_abalation_potential,87.3,8.324,
qft_10,10,90,EffectiveQM,87.0,15.058333333333334,
,,,,,,
qft_13,13,156,EffectiveQM_abalation_potential,171.9,20.6867,
qft_13,13,156,EffectiveQM,168.33333333333334,31.109222222222222,
,,,,,,
qft_16,16,240,EffectiveQM_abalation_potential,278.4,56.2759,
qft_16,16,240,EffectiveQM,274.6666666666667,84.47066666666667,
,,,,,,
qft_20,20,380,EffectiveQM_abalation_potential,468.0,108.20990000000002,
qft_20,20,380,EffectiveQM,462.0,202.68877777777777,
,,,,,,
radd_250,13,1405,EffectiveQM_abalation_potential,1934.7,135.64600000000002,
radd_250,13,1405,EffectiveQM,1902.6666666666667,106.555,
,,,,,,
rd73_252,10,2319,EffectiveQM_abalation_potential,3259.8,146.13000000000002,
rd73_252,10,2319,EffectiveQM,3230.0,159.29711111111112,
,,,,,,
rd84_142,15,154,EffectiveQM_abalation_potential,172.5,18.8547,
rd84_142,15,154,EffectiveQM,171.66666666666666,24.617111111111114,
,,,,,,
rd84_253,12,5960,EffectiveQM_abalation_potential,9154.8,651.1038,
rd84_253,12,5960,EffectiveQM,9044.666666666666,355.65277777777777,
,,,,,,
sqn_258,10,4459,EffectiveQM_abalation_potential,6112.5,403.14779999999996,
sqn_258,10,4459,EffectiveQM,6013.333333333333,226.0487777777778,
,,,,,,
square_root_7,15,3089,EffectiveQM_abalation_potential,4713.9,377.4955,
square_root_7,15,3089,EffectiveQM,4629.0,338.25777777777773,
,,,,,,
sym6_145,7,1701,EffectiveQM_abalation_potential,1959.6,91.8032,
sym6_145,7,1701,EffectiveQM,1923.0,59.086444444444446,
,,,,,,
sym9_193,11,15232,EffectiveQM_abalation_potential,21987.3,1447.4160000000002,
sym9_193,11,15232,EffectiveQM,21923.333333333332,1078.0526666666665,
,,,,,,
z4_268,11,1343,EffectiveQM_abalation_potential,1832.7,138.226,
z4_268,11,1343,EffectiveQM,1802.6666666666667,102.6798888888889,
,,,,,,
