benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,EffectiveQM_abalation_potential,0.0,0.0056,
4gt13_92,5,30,EffectiveQM,0.0,0.001,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM_abalation_potential,0.0,0.010199999999999999,
4mod5-v1_22,5,11,EffectiveQM,0.0,0.0024444444444444444,
,,,,,,
9symml_195,11,15232,EffectiveQM_abalation_potential,6208.5,698.0557000000001,
9symml_195,11,15232,EffectiveQM,5295.666666666667,577.0763333333333,
,,,,,,
adr4_197,13,1498,EffectiveQM_abalation_potential,561.6,94.0166,
adr4_197,13,1498,EffectiveQM,501.3333333333333,84.07244444444444,
,,,,,,
alu-v0_27,5,17,EffectiveQM_abalation_potential,3.0,0.27280000000000004,
alu-v0_27,5,17,EffectiveQM,3.0,0.18633333333333332,
,,,,,,
co14_215,15,7840,EffectiveQM_abalation_potential,2913.0,797.5441000000001,
co14_215,15,7840,EffectiveQM,2741.3333333333335,649.0736666666667,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM_abalation_potential,965.1,159.57659999999998,
cycle10_2_110,12,2648,EffectiveQM,882.3333333333334,108.72822222222223,
,,,,,,
decod24-v2_43,4,22,EffectiveQM_abalation_potential,0.0,0.0131,
decod24-v2_43,4,22,EffectiveQM,0.0,0.001,
,,,,,,
ising_model_10,10,90,EffectiveQM_abalation_potential,0.0,0.0060999999999999995,
ising_model_10,10,90,EffectiveQM,0.0,0.012444444444444445,
,,,,,,
ising_model_13,13,120,EffectiveQM_abalation_potential,0.0,0.018900000000000004,
ising_model_13,13,120,EffectiveQM,0.0,0.0054444444444444445,
,,,,,,
ising_model_16,16,150,EffectiveQM_abalation_potential,0.0,0.022799999999999997,
ising_model_16,16,150,EffectiveQM,0.0,0.10344444444444445,
,,,,,,
misex1_241,15,2100,EffectiveQM_abalation_potential,491.1,82.89349999999999,
misex1_241,15,2100,EffectiveQM,434.6666666666667,59.97755555555557,
,,,,,,
mod5mils_65,5,16,EffectiveQM_abalation_potential,0.0,0.0374,
mod5mils_65,5,16,EffectiveQM,0.0,0.004333333333333333,
,,,,,,
qft_10,10,90,EffectiveQM_abalation_potential,27.6,6.574600000000001,
qft_10,10,90,EffectiveQM,27.333333333333332,12.85988888888889,
,,,,,,
qft_13,13,156,EffectiveQM_abalation_potential,64.8,23.2014,
qft_13,13,156,EffectiveQM,62.0,41.903999999999996,
,,,,,,
qft_16,16,240,EffectiveQM_abalation_potential,120.3,54.770900000000005,
qft_16,16,240,EffectiveQM,115.66666666666667,87.82733333333334,
,,,,,,
qft_20,20,380,EffectiveQM_abalation_potential,230.7,67.66550000000001,
qft_20,20,380,EffectiveQM,218.0,222.29233333333335,
,,,,,,
radd_250,13,1405,EffectiveQM_abalation_potential,599.1,75.0245,
radd_250,13,1405,EffectiveQM,524.6666666666666,73.69900000000001,
,,,,,,
rd73_252,10,2319,EffectiveQM_abalation_potential,975.3,104.57620000000001,
rd73_252,10,2319,EffectiveQM,793.3333333333334,122.04477777777778,
,,,,,,
rd84_142,15,154,EffectiveQM_abalation_potential,59.1,12.481100000000001,
rd84_142,15,154,EffectiveQM,56.333333333333336,19.82511111111111,
,,,,,,
rd84_253,12,5960,EffectiveQM_abalation_potential,2535.3,352.4665,
rd84_253,12,5960,EffectiveQM,2218.0,239.82066666666665,
,,,,,,
sqn_258,10,4459,EffectiveQM_abalation_potential,1666.8,273.4439,
sqn_258,10,4459,EffectiveQM,1485.0,166.60844444444444,
,,,,,,
square_root_7,15,3089,EffectiveQM_abalation_potential,837.3,268.1,
square_root_7,15,3089,EffectiveQM,785.6666666666666,214.224,
,,,,,,
sym6_145,7,1701,EffectiveQM_abalation_potential,522.3,45.4239,
sym6_145,7,1701,EffectiveQM,460.0,62.55511111111111,
,,,,,,
sym9_193,11,15232,EffectiveQM_abalation_potential,6208.5,755.7456,
sym9_193,11,15232,EffectiveQM,5295.666666666667,579.1241111111111,
,,,,,,
z4_268,11,1343,EffectiveQM_abalation_potential,499.8,82.5645,
z4_268,11,1343,EffectiveQM,431.6666666666667,76.44277777777778,
,,,,,,
