benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,EffectiveQM_abalation_state_aware,24.0,1.1719000000000002,
4gt13_92,5,30,EffectiveQM,24.0,0.6872222222222222,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM_abalation_state_aware,6.0,0.5501,
4mod5-v1_22,5,11,EffectiveQM,6.0,0.2951111111111111,
,,,,,,
9symml_195,11,15232,EffectiveQM_abalation_state_aware,21957.6,1527.5238000000002,
9symml_195,11,15232,EffectiveQM,21923.333333333332,1064.2923333333335,
,,,,,,
adr4_197,13,1498,EffectiveQM_abalation_state_aware,2054.4,144.99269999999999,
adr4_197,13,1498,EffectiveQM,2065.3333333333335,95.88455555555554,
,,,,,,
alu-v0_27,5,17,EffectiveQM_abalation_state_aware,18.0,0.6507000000000001,
alu-v0_27,5,17,EffectiveQM,18.0,0.5167777777777779,
,,,,,,
co14_215,15,7840,EffectiveQM_abalation_state_aware,9289.8,1143.1089,
co14_215,15,7840,EffectiveQM,9257.666666666666,802.3702222222222,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM_abalation_state_aware,3441.9,319.1471,
cycle10_2_110,12,2648,EffectiveQM,3420.6666666666665,170.01044444444446,
,,,,,,
decod24-v2_43,4,22,EffectiveQM_abalation_state_aware,18.0,0.4260999999999999,
decod24-v2_43,4,22,EffectiveQM,18.0,0.18188888888888888,
,,,,,,
ising_model_10,10,90,EffectiveQM_abalation_state_aware,0.0,0.0216,
ising_model_10,10,90,EffectiveQM,0.0,0.025333333333333333,
,,,,,,
ising_model_13,13,120,EffectiveQM_abalation_state_aware,0.0,0.08820000000000001,
ising_model_13,13,120,EffectiveQM,0.0,0.019444444444444445,
,,,,,,
ising_model_16,16,150,EffectiveQM_abalation_state_aware,0.0,0.6144000000000001,
ising_model_16,16,150,EffectiveQM,0.0,0.32477777777777783,
,,,,,,
misex1_241,15,2100,EffectiveQM_abalation_state_aware,2520.6,139.6096,
misex1_241,15,2100,EffectiveQM,2514.6666666666665,105.33144444444444,
,,,,,,
mod5mils_65,5,16,EffectiveQM_abalation_state_aware,12.0,0.44939999999999997,
mod5mils_65,5,16,EffectiveQM,12.0,0.25800000000000006,
,,,,,,
qft_10,10,90,EffectiveQM_abalation_state_aware,88.2,14.7671,
qft_10,10,90,EffectiveQM,87.0,15.058333333333334,
,,,,,,
qft_13,13,156,EffectiveQM_abalation_state_aware,170.1,54.02909999999999,
qft_13,13,156,EffectiveQM,168.33333333333334,31.109222222222222,
,,,,,,
qft_16,16,240,EffectiveQM_abalation_state_aware,276.9,107.48910000000001,
qft_16,16,240,EffectiveQM,274.6666666666667,84.47066666666667,
,,,,,,
qft_20,20,380,EffectiveQM_abalation_state_aware,468.6,277.3820999999999,
qft_20,20,380,EffectiveQM,462.0,202.68877777777777,
,,,,,,
radd_250,13,1405,EffectiveQM_abalation_state_aware,1910.4,141.9239,
radd_250,13,1405,EffectiveQM,1902.6666666666667,106.555,
,,,,,,
rd73_252,10,2319,EffectiveQM_abalation_state_aware,3238.5,209.433,
rd73_252,10,2319,EffectiveQM,3230.0,159.29711111111112,
,,,,,,
rd84_142,15,154,EffectiveQM_abalation_state_aware,173.1,24.6627,
rd84_142,15,154,EffectiveQM,171.66666666666666,24.617111111111114,
,,,,,,
rd84_253,12,5960,EffectiveQM_abalation_state_aware,9054.6,761.5542000000002,
rd84_253,12,5960,EffectiveQM,9044.666666666666,355.65277777777777,
,,,,,,
sqn_258,10,4459,EffectiveQM_abalation_state_aware,6017.7,510.8415,
sqn_258,10,4459,EffectiveQM,6013.333333333333,226.0487777777778,
,,,,,,
square_root_7,15,3089,EffectiveQM_abalation_state_aware,4743.6,488.4433,
square_root_7,15,3089,EffectiveQM,4629.0,338.25777777777773,
,,,,,,
sym6_145,7,1701,EffectiveQM_abalation_state_aware,1931.7,79.55749999999999,
sym6_145,7,1701,EffectiveQM,1923.0,59.086444444444446,
,,,,,,
sym9_193,11,15232,EffectiveQM_abalation_state_aware,21957.6,1669.8990999999999,
sym9_193,11,15232,EffectiveQM,21923.333333333332,1078.0526666666665,
,,,,,,
z4_268,11,1343,EffectiveQM_abalation_state_aware,1829.7,130.83589999999998,
z4_268,11,1343,EffectiveQM,1802.6666666666667,102.6798888888889,
,,,,,,
