benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,EffectiveQM,0.0,0.0006666666666666666,
4gt13_92,5,30,ILS,0.0,0.0048000000000000004,
4gt13_92,5,30,Qiskit,6.0,0.18352808952331542,
4gt13_92,5,30,SAHS,0.0,5.950591087341309,
4gt13_92,5,30,FiDLS,0.0,0.0,
4gt13_92,5,30,TKET,12.0,0.01788496971130371,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM,0.0,0.0017777777777777779,
4mod5-v1_22,5,11,ILS,0.0,0.0048000000000000004,
4mod5-v1_22,5,11,Qiskit,0.0,0.24785323143005372,
4mod5-v1_22,5,11,SAHS,0.0,2.3790706396102905,
4mod5-v1_22,5,11,FiDLS,0.0,0.0,
4mod5-v1_22,5,11,TKET,3.0,0.011490821838378906,
,,,,,,
9symml_195,11,15232,EffectiveQM,6684.666666666667,550.6994444444443,
9symml_195,11,15232,ILS,7561.8,184.58520000000001,
9symml_195,11,15232,Qiskit,16295.4,23.921054553985595,
9symml_195,11,15232,SAHS,8634.9,1658.0267527103424,
9symml_195,11,15232,FiDLS,6027.0,131.46,
9symml_195,11,15232,TKET,8211.0,3.1500296592712402,
,,,,,,
adr4_197,13,1498,EffectiveQM,536.6666666666666,73.29277777777777,
adr4_197,13,1498,ILS,608.4,37.893899999999995,
adr4_197,13,1498,Qiskit,1321.8,2.726548600196838,
adr4_197,13,1498,SAHS,868.8,96.81821429729462,
adr4_197,13,1498,FiDLS,669.0,16.5,
adr4_197,13,1498,TKET,942.0,0.28698277473449707,
,,,,,,
alu-v0_27,5,17,EffectiveQM,3.0,0.14022222222222222,
alu-v0_27,5,17,ILS,3.0,0.3324999999999999,
alu-v0_27,5,17,Qiskit,3.9,0.28219995498657224,
alu-v0_27,5,17,SAHS,6.0,2.892480802536011,
alu-v0_27,5,17,FiDLS,6.0,0.01,
alu-v0_27,5,17,TKET,9.0,0.014172077178955078,
,,,,,,
co14_215,15,7840,EffectiveQM,3291.0,591.853111111111,
co14_215,15,7840,ILS,3750.6,129.4221,
co14_215,15,7840,Qiskit,7921.2,12.750466442108154,
co14_215,15,7840,SAHS,5250.0,778.2183537960052,
co14_215,15,7840,FiDLS,4200.0,185.41,
co14_215,15,7840,TKET,5154.0,2.4506795406341553,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM,1012.0,108.07288888888888,
cycle10_2_110,12,2648,ILS,1133.4,59.799699999999994,
cycle10_2_110,12,2648,Qiskit,2538.3,5.222122621536255,
cycle10_2_110,12,2648,SAHS,1403.1,155.5345935344696,
cycle10_2_110,12,2648,FiDLS,1137.0,17.34,
