benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,EffectiveQM,24.0,0.4194444444444445,
4gt13_92,5,30,ILS,24.0,0.11760000000000001,
4gt13_92,5,30,Qiskit,45.0,0.16882786750793458,
4gt13_92,5,30,SAHS,40.2,4.975601243972778,
4gt13_92,5,30,FiDLS,51.0,0.0,
4gt13_92,5,30,TKET,24.0,0.009168386459350586,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM,6.0,0.2581111111111111,
4mod5-v1_22,5,11,ILS,6.0,0.05910000000000001,
4mod5-v1_22,5,11,Qiskit,14.4,0.2520153284072876,
4mod5-v1_22,5,11,SAHS,9.6,4.841132426261902,
4mod5-v1_22,5,11,FiDLS,9.0,0.0,
4mod5-v1_22,5,11,TKET,9.0,0.00442194938659668,
,,,,,,
9symml_195,11,15232,EffectiveQM,22183.0,669.6541111111111,
9symml_195,11,15232,ILS,23413.8,118.38019999999999,
9symml_195,11,15232,Qiskit,33167.1,28.070114660263062,
9symml_195,11,15232,SAHS,34219.8,1620.1543546676635,
9symml_195,11,15232,FiDLS,40017.0,15.12,
9symml_195,11,15232,TKET,23982.0,4.401971340179443,
,,,,,,
adr4_197,13,1498,EffectiveQM,2115.6666666666665,79.98888888888888,
adr4_197,13,1498,ILS,2255.4,16.4128,
adr4_197,13,1498,Qiskit,3266.4,3.2649196863174437,
adr4_197,13,1498,SAHS,3102.6,81.52483429908753,
adr4_197,13,1498,FiDLS,3804.0,3.85,
adr4_197,13,1498,TKET,2664.0,0.46610140800476074,
,,,,,,
alu-v0_27,5,17,EffectiveQM,18.0,0.43666666666666665,
alu-v0_27,5,17,ILS,18.0,0.12730000000000002,
alu-v0_27,5,17,Qiskit,24.0,0.2622501850128174,
alu-v0_27,5,17,SAHS,31.8,2.9076289176940917,
alu-v0_27,5,17,FiDLS,21.0,0.0,
alu-v0_27,5,17,TKET,18.0,0.007403135299682617,
,,,,,,
co14_215,15,7840,EffectiveQM,9165.0,648.5677777777778,
co14_215,15,7840,ILS,10053.9,75.5926,
co14_215,15,7840,Qiskit,15746.4,15.789766359329224,
co14_215,15,7840,SAHS,16092.3,639.6906388521195,
co14_215,15,7840,FiDLS,20034.0,18.14,
co14_215,15,7840,TKET,12429.0,2.618217945098877,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM,3422.6666666666665,142.733,
cycle10_2_110,12,2648,ILS,3464.1,15.569999999999999,
cycle10_2_110,12,2648,Qiskit,5125.2,5.519229626655578,
cycle10_2_110,12,2648,SAHS,5693.4,151.60658552646638,
cycle10_2_110,12,2648,FiDLS,6516.0,1.89,
cycle10_2_110,12,2648,TKET,3783.0,0.786318302154541,
,,,,,,
decod24-v2_43,4,22,EffectiveQM,18.0,0.15566666666666665,
decod24-v2_43,4,22,ILS,18.0,0.051000000000000004,
decod24-v2_43,4,22,Qiskit,33.0,0.29301836490631106,
decod24-v2_43,4,22,SAHS,29.7,3.521638202667236,
decod24-v2_43,4,22,FiDLS,27.0,0.0,
decod24-v2_43,4,22,TKET,21.0,0.006566762924194336,
,,,,,,
ising_model_10,10,90,EffectiveQM,0.0,0.008777777777777777,
ising_model_10,10,90,ILS,0.0,0.0071,
ising_model_10,10,90,Qiskit,0.0,0.36985819339752196,
ising_model_10,10,90,SAHS,0.0,6.636776113510132,
ising_model_10,10,90,FiDLS,0.0,0.0,
ising_model_10,10,90,TKET,0.0,0.006076335906982422,
,,,,,,
ising_model_13,13,120,EffectiveQM,0.0,0.03744444444444445,
ising_model_13,13,120,ILS,0.0,0.008799999999999999,
ising_model_13,13,120,Qiskit,10.8,0.33848936557769777,
ising_model_13,13,120,SAHS,1.5,7.706035113334655,
ising_model_13,13,120,FiDLS,15.0,0.01,
ising_model_13,13,120,TKET,0.0,0.011793136596679688,
,,,,,,
ising_model_16,16,150,EffectiveQM,33.333333333333336,14.913666666666668,
ising_model_16,16,150,ILS,39.0,1.9165000000000003,
ising_model_16,16,150,Qiskit,49.2,0.6121057271957397,
ising_model_16,16,150,SAHS,45.9,7.647049164772033,
ising_model_16,16,150,FiDLS,57.0,0.01,
ising_model_16,16,150,TKET,180.0,0.04730391502380371,
,,,,,,
misex1_241,15,2100,EffectiveQM,2567.3333333333335,92.72544444444443,
misex1_241,15,2100,ILS,2662.2,18.1159,
misex1_241,15,2100,Qiskit,4111.5,5.111732935905456,
misex1_241,15,2100,SAHS,4363.2,107.18928632736205,
misex1_241,15,2100,FiDLS,4902.0,3.4,
misex1_241,15,2100,TKET,3696.0,0.6670315265655518,
,,,,,,
mod5mils_65,5,16,EffectiveQM,12.0,0.1621111111111111,
mod5mils_65,5,16,ILS,12.0,0.0531,
mod5mils_65,5,16,Qiskit,23.4,0.2859839677810669,
mod5mils_65,5,16,SAHS,23.4,5.16129093170166,
mod5mils_65,5,16,FiDLS,21.0,0.0,
mod5mils_65,5,16,TKET,15.0,0.006769895553588867,
,,,,,,
qft_10,10,90,EffectiveQM,87.66666666666667,14.13011111111111,
qft_10,10,90,ILS,91.5,1.2358,
qft_10,10,90,Qiskit,108.9,0.34643447399139404,
qft_10,10,90,SAHS,128.1,6.459695649147034,
qft_10,10,90,FiDLS,108.0,0.04,
qft_10,10,90,TKET,129.0,0.028085708618164062,
,,,,,,
qft_13,13,156,EffectiveQM,167.66666666666666,30.880111111111116,
qft_13,13,156,ILS,176.4,1.8360000000000003,
qft_13,13,156,Qiskit,203.4,0.6106128454208374,
qft_13,13,156,SAHS,246.9,9.468400073051452,
