benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,EffectiveQM,24.0,0.6872222222222222,
4gt13_92,5,30,ILS,24.0,0.1557,
4gt13_92,5,30,Qiskit,45.0,0.20412909984588623,
4gt13_92,5,30,SAHS,47.4,9.07822048664093,
4gt13_92,5,30,FiDLS,99.0,0.01,
4gt13_92,5,30,TKET,30.0,0.05686068534851074,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM,6.0,0.2951111111111111,
4mod5-v1_22,5,11,ILS,6.0,0.18040000000000003,
4mod5-v1_22,5,11,Qiskit,15.0,0.22220423221588134,
4mod5-v1_22,5,11,SAHS,12.3,1.8570250511169433,
4mod5-v1_22,5,11,FiDLS,9.0,0.0,
4mod5-v1_22,5,11,TKET,6.0,0.062444210052490234,
,,,,,,
9symml_195,11,15232,EffectiveQM,21923.333333333332,1064.2923333333335,
9symml_195,11,15232,ILS,23299.2,115.67169999999999,
9symml_195,11,15232,Qiskit,33088.5,27.258173012733458,
9symml_195,11,15232,SAHS,30727.5,1753.9489361524581,
9symml_195,11,15232,FiDLS,40854.0,25.05,
9symml_195,11,15232,TKET,24219.0,4.756611108779907,
,,,,,,
adr4_197,13,1498,EffectiveQM,2065.3333333333335,95.88455555555554,
adr4_197,13,1498,ILS,2150.4,20.870399999999997,
adr4_197,13,1498,Qiskit,3202.8,2.960929441452026,
adr4_197,13,1498,SAHS,2970.6,92.9483199596405,
adr4_197,13,1498,FiDLS,4131.0,4.55,
adr4_197,13,1498,TKET,2784.0,0.5505127906799316,
,,,,,,
alu-v0_27,5,17,EffectiveQM,18.0,0.5167777777777779,
alu-v0_27,5,17,ILS,18.0,0.1965,
alu-v0_27,5,17,Qiskit,24.6,0.2949687480926514,
alu-v0_27,5,17,SAHS,29.1,5.1343679189682,
alu-v0_27,5,17,FiDLS,21.0,0.01,
alu-v0_27,5,17,TKET,18.0,0.0529322624206543,
,,,,,,
co14_215,15,7840,EffectiveQM,9257.666666666666,802.3702222222222,
co14_215,15,7840,ILS,10269.9,78.99660000000002,
co14_215,15,7840,Qiskit,16052.7,15.131620073318482,
co14_215,15,7840,SAHS,16374.9,767.4801505088806,
co14_215,15,7840,FiDLS,22395.0,24.52,
co14_215,15,7840,TKET,13347.0,2.9474029541015625,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM,3420.6666666666665,170.01044444444446,
cycle10_2_110,12,2648,ILS,3467.1,18.7907,
cycle10_2_110,12,2648,Qiskit,5136.6,5.188981914520264,
cycle10_2_110,12,2648,SAHS,5552.4,155.20721559524537,
cycle10_2_110,12,2648,FiDLS,7302.0,2.71,
cycle10_2_110,12,2648,TKET,3645.0,0.8415019512176514,
,,,,,,
decod24-v2_43,4,22,EffectiveQM,18.0,0.18188888888888888,
decod24-v2_43,4,22,ILS,18.0,0.06220000000000001,
decod24-v2_43,4,22,Qiskit,33.3,0.3017894744873047,
decod24-v2_43,4,22,SAHS,30.0,3.2051056385040284,
decod24-v2_43,4,22,FiDLS,27.0,0.0,
decod24-v2_43,4,22,TKET,21.0,0.05747580528259277,
,,,,,,
ising_model_10,10,90,EffectiveQM,0.0,0.025333333333333333,
ising_model_10,10,90,ILS,0.0,0.011300000000000001,
ising_model_10,10,90,Qiskit,0.6,0.39070687294006345,
ising_model_10,10,90,SAHS,44.1,6.837339258193969,
ising_model_10,10,90,FiDLS,0.0,0.0,
ising_model_10,10,90,TKET,0.0,0.03455328941345215,
,,,,,,
ising_model_13,13,120,EffectiveQM,0.0,0.019444444444444445,
ising_model_13,13,120,ILS,0.0,0.0107,
ising_model_13,13,120,Qiskit,17.4,0.5830998420715332,
ising_model_13,13,120,SAHS,86.7,8.369408512115479,
ising_model_13,13,120,FiDLS,0.0,0.0,
ising_model_13,13,120,TKET,0.0,0.028346776962280273,
,,,,,,
ising_model_16,16,150,EffectiveQM,0.0,0.32477777777777783,
ising_model_16,16,150,ILS,0.0,0.08520000000000001,
ising_model_16,16,150,Qiskit,43.5,0.5488786458969116,
ising_model_16,16,150,SAHS,111.9,8.506269645690917,
ising_model_16,16,150,FiDLS,0.0,0.0,
ising_model_16,16,150,TKET,0.0,0.030013322830200195,
,,,,,,
misex1_241,15,2100,EffectiveQM,2514.6666666666665,105.33144444444444,
misex1_241,15,2100,ILS,2655.3,22.058600000000002,
misex1_241,15,2100,Qiskit,4086.6,4.482215738296508,
misex1_241,15,2100,SAHS,4341.9,122.22084021568298,
misex1_241,15,2100,FiDLS,5589.0,5.17,
misex1_241,15,2100,TKET,3345.0,0.6144580841064453,
,,,,,,
mod5mils_65,5,16,EffectiveQM,12.0,0.25800000000000006,
mod5mils_65,5,16,ILS,12.0,0.0752,
mod5mils_65,5,16,Qiskit,22.8,0.3330942869186401,
mod5mils_65,5,16,SAHS,23.7,2.2749305248260496,
mod5mils_65,5,16,FiDLS,21.0,0.0,
mod5mils_65,5,16,TKET,15.0,0.05024409294128418,
,,,,,,
qft_10,10,90,EffectiveQM,87.0,15.058333333333334,
qft_10,10,90,ILS,91.5,1.4380000000000002,
qft_10,10,90,Qiskit,105.3,0.4614477396011353,
qft_10,10,90,SAHS,139.5,8.753508186340332,
qft_10,10,90,FiDLS,108.0,0.08,
qft_10,10,90,TKET,129.0,0.054225921630859375,
,,,,,,
qft_13,13,156,EffectiveQM,168.33333333333334,31.109222222222222,
qft_13,13,156,ILS,177.9,2.9085,
qft_13,13,156,Qiskit,212.4,0.5178970098495483,
qft_13,13,156,SAHS,279.6,9.454314160346986,
qft_13,13,156,FiDLS,300.0,0.29,
qft_13,13,156,TKET,339.0,0.0701150894165039,
,,,,,,
qft_16,16,240,EffectiveQM,274.6666666666667,84.47066666666667,
qft_16,16,240,ILS,289.8,4.996300000000001,
qft_16,16,240,Qiskit,345.6,0.6259283542633056,
qft_16,16,240,SAHS,472.5,18.84460892677307,
qft_16,16,240,FiDLS,633.0,0.73,
qft_16,16,240,TKET,552.0,0.10837817192077637,
,,,,,,
qft_20,20,380,EffectiveQM,462.0,202.68877777777777,
qft_20,20,380,ILS,490.2,8.3218,
qft_20,20,380,Qiskit,580.5,1.350214695930481,
qft_20,20,380,SAHS,752.1,31.38596942424774,
qft_20,20,380,FiDLS,1026.0,1.45,
qft_20,20,380,TKET,858.0,0.2364368438720703,
,,,,,,
radd_250,13,1405,EffectiveQM,1902.6666666666667,106.555,
radd_250,13,1405,ILS,1968.6,14.9007,
radd_250,13,1405,Qiskit,2864.4,3.5525657653808596,
radd_250,13,1405,SAHS,2760.6,79.79653725624084,
radd_250,13,1405,FiDLS,3618.0,5.2,
radd_250,13,1405,TKET,2334.0,0.4640645980834961,
,,,,,,
rd73_252,10,2319,EffectiveQM,3230.0,159.29711111111112,
rd73_252,10,2319,ILS,3406.2,20.5015,
rd73_252,10,2319,Qiskit,4875.3,4.524365305900574,
rd73_252,10,2319,SAHS,4477.2,137.54711663722992,
rd73_252,10,2319,FiDLS,5862.0,2.36,
rd73_252,10,2319,TKET,3834.0,0.7183904647827148,
,,,,,,
rd84_142,15,154,EffectiveQM,171.66666666666666,24.617111111111114,
rd84_142,15,154,ILS,174.9,2.6382,
rd84_142,15,154,Qiskit,296.7,0.554592514038086,
rd84_142,15,154,SAHS,323.1,11.301244950294494,
rd84_142,15,154,FiDLS,327.0,0.61,
rd84_142,15,154,TKET,192.0,0.0733497142791748,
,,,,,,
