benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,EffectiveQM,24.0,0.7914444444444445,
4gt13_92,5,30,ILS,24.0,0.1462,
4gt13_92,5,30,Qiskit,38.4,0.2059471368789673,
4gt13_92,5,30,SAHS,38.1,7.345154762268066,
4gt13_92,5,30,FiDLS,96.0,0.02,
4gt13_92,5,30,TKET,27.0,0.05766415596008301,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM,6.0,0.4258888888888889,
4mod5-v1_22,5,11,ILS,6.0,0.0901,
4mod5-v1_22,5,11,Qiskit,12.3,0.2889765501022339,
4mod5-v1_22,5,11,SAHS,9.6,4.660143423080444,
4mod5-v1_22,5,11,FiDLS,9.0,0.0,
4mod5-v1_22,5,11,TKET,9.0,0.05498790740966797,
,,,,,,
9symml_195,11,15232,EffectiveQM,16240.0,1525.9133333333334,
9symml_195,11,15232,ILS,16947.3,108.8339,
9symml_195,11,15232,Qiskit,26129.7,26.686372303962706,
9symml_195,11,15232,SAHS,22627.8,2087.7415170431136,
9symml_195,11,15232,FiDLS,27468.0,97.87,
9symml_195,11,15232,TKET,17598.0,5.982846975326538,
,,,,,,
adr4_197,13,1498,EffectiveQM,1567.6666666666667,162.13511111111112,
adr4_197,13,1498,ILS,1615.5,17.9178,
adr4_197,13,1498,Qiskit,2546.1,3.179403853416443,
adr4_197,13,1498,SAHS,2218.2,88.3335637807846,
adr4_197,13,1498,FiDLS,3009.0,20.88,
adr4_197,13,1498,TKET,1779.0,0.6499114036560059,
,,,,,,
alu-v0_27,5,17,EffectiveQM,12.0,0.8400000000000001,
alu-v0_27,5,17,ILS,12.0,0.18870000000000003,
alu-v0_27,5,17,Qiskit,18.6,0.2543497562408447,
alu-v0_27,5,17,SAHS,19.5,3.963636302947998,
alu-v0_27,5,17,FiDLS,24.0,0.03,
alu-v0_27,5,17,TKET,12.0,0.05811738967895508,
,,,,,,
co14_215,15,7840,EffectiveQM,7890.333333333333,1246.742777777778,
co14_215,15,7840,ILS,8668.5,123.05909999999999,
co14_215,15,7840,Qiskit,13626.3,14.487615871429444,
co14_215,15,7840,SAHS,12967.5,1024.8818921089173,
co14_215,15,7840,FiDLS,19890.0,114.18,
co14_215,15,7840,TKET,9660.0,4.856152772903442,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM,2728.0,334.85511111111117,
cycle10_2_110,12,2648,ILS,2801.7,23.658399999999997,
cycle10_2_110,12,2648,Qiskit,4434.6,5.5203962326049805,
cycle10_2_110,12,2648,SAHS,3934.5,160.05868272781373,
cycle10_2_110,12,2648,FiDLS,4938.0,8.9,
cycle10_2_110,12,2648,TKET,3150.0,1.2305407524108887,
,,,,,,
decod24-v2_43,4,22,EffectiveQM,18.0,0.2717777777777778,
decod24-v2_43,4,22,ILS,18.0,0.0661,
decod24-v2_43,4,22,Qiskit,33.0,0.3530310869216919,
decod24-v2_43,4,22,SAHS,27.0,2.9123648166656495,
decod24-v2_43,4,22,FiDLS,27.0,0.01,
decod24-v2_43,4,22,TKET,21.0,0.06237649917602539,
,,,,,,
ising_model_10,10,90,EffectiveQM,0.0,0.07244444444444445,
ising_model_10,10,90,ILS,0.0,0.0034999999999999996,
ising_model_10,10,90,Qiskit,2.7,0.3888054370880127,
ising_model_10,10,90,SAHS,10.8,4.324300456047058,
ising_model_10,10,90,FiDLS,0.0,0.0,
ising_model_10,10,90,TKET,0.0,0.04125499725341797,
,,,,,,
ising_model_13,13,120,EffectiveQM,0.0,0.01888888888888889,
