benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,EffectiveQM,0.0,0.0009000000000000001,
4gt13_92,5,30,ILS,0.0,3.825400000000002,
4gt13_92,5,30,Qiskit,6.0,0.1855473279953003,
4gt13_92,5,30,SAHS,0.0,2.6334789991378784,
4gt13_92,5,30,FiDLS,0.0,0.0,
4gt13_92,5,30,TKET,12.0,0.024423837661743164,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM,0.0,0.0023,
4mod5-v1_22,5,11,ILS,0.0,1.2334,
4mod5-v1_22,5,11,Qiskit,0.3,0.24589805603027343,
4mod5-v1_22,5,11,SAHS,0.0,1.6242571592330932,
4mod5-v1_22,5,11,FiDLS,0.0,0.0,
4mod5-v1_22,5,11,TKET,6.0,0.018114805221557617,
,,,,,,
9symml_195,11,15232,EffectiveQM,5283.6,611.1587,
9symml_195,11,15232,ILS,6427.8,104.16549999999998,
9symml_195,11,15232,Qiskit,15354.6,23.07696557044983,
9symml_195,11,15232,SAHS,8032.2,604.9399066448211,
9symml_195,11,15232,FiDLS,5481.0,142.53,
9symml_195,11,15232,TKET,10806.0,4.5412538051605225,
,,,,,,
adr4_197,13,1498,EffectiveQM,500.7,83.4114,
adr4_197,13,1498,ILS,617.55,9.014199999999999,
adr4_197,13,1498,Qiskit,1271.7,3.422277545928955,
adr4_197,13,1498,SAHS,828.0,44.73496890068054,
adr4_197,13,1498,FiDLS,714.0,24.62,
adr4_197,13,1498,TKET,1056.0,0.44175124168395996,
,,,,,,
alu-v0_27,5,17,EffectiveQM,3.0,0.1829,
alu-v0_27,5,17,ILS,3.0,0.61555,
alu-v0_27,5,17,Qiskit,4.5,0.28925409317016604,
alu-v0_27,5,17,SAHS,6.0,1.979552721977234,
alu-v0_27,5,17,FiDLS,9.0,0.01,
alu-v0_27,5,17,TKET,9.0,0.019971609115600586,
,,,,,,
co14_215,15,7840,EffectiveQM,2736.6,630.0647000000001,
co14_215,15,7840,ILS,3520.95,167.8231,
co14_215,15,7840,Qiskit,7980.3,10.893391275405884,
co14_215,15,7840,SAHS,4836.3,323.33392384052274,
co14_215,15,7840,FiDLS,3975.0,297.3,
co14_215,15,7840,TKET,4971.0,2.701321840286255,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM,878.1,108.59639999999999,
cycle10_2_110,12,2648,ILS,1107.9,53.551300000000005,
cycle10_2_110,12,2648,Qiskit,2399.7,4.490270447731018,
cycle10_2_110,12,2648,SAHS,1298.1,79.915988945961,
cycle10_2_110,12,2648,FiDLS,1125.0,49.51,
cycle10_2_110,12,2648,TKET,1719.0,0.7480213642120361,
,,,,,,
decod24-v2_43,4,22,EffectiveQM,0.0,0.0011000000000000003,
decod24-v2_43,4,22,ILS,0.0,8.1583,
decod24-v2_43,4,22,Qiskit,3.6,0.24470162391662598,
decod24-v2_43,4,22,SAHS,0.0,2.264758896827698,
decod24-v2_43,4,22,FiDLS,0.0,0.0,
decod24-v2_43,4,22,TKET,0.0,0.016399383544921875,
,,,,,,
ising_model_10,10,90,EffectiveQM,0.0,0.0122,
ising_model_10,10,90,ILS,0.0,12.1914,
ising_model_10,10,90,Qiskit,0.6,0.5210565090179443,
ising_model_10,10,90,SAHS,0.0,3.7395613193511963,
ising_model_10,10,90,FiDLS,0.0,0.0,
ising_model_10,10,90,TKET,0.0,0.011191129684448242,
,,,,,,
ising_model_13,13,120,EffectiveQM,0.0,0.005900000000000001,
ising_model_13,13,120,ILS,7.5,25.326649999999994,
ising_model_13,13,120,Qiskit,0.0,0.5410700082778931,
ising_model_13,13,120,SAHS,0.0,4.291182231903076,
ising_model_13,13,120,FiDLS,0.0,0.0,
ising_model_13,13,120,TKET,0.0,0.010035037994384766,
,,,,,,
ising_model_16,16,150,EffectiveQM,0.0,0.10410000000000001,
ising_model_16,16,150,ILS,0.0,19.437999999999995,
ising_model_16,16,150,Qiskit,2.4,0.6082909345626831,
ising_model_16,16,150,SAHS,0.0,5.297206878662109,
ising_model_16,16,150,FiDLS,0.0,0.0,
ising_model_16,16,150,TKET,0.0,0.009780645370483398,
,,,,,,
misex1_241,15,2100,EffectiveQM,436.2,62.623900000000006,
misex1_241,15,2100,ILS,559.35,52.581599999999995,
misex1_241,15,2100,Qiskit,1352.7,4.045916414260864,
misex1_241,15,2100,SAHS,1070.1,62.362996864318845,
misex1_241,15,2100,FiDLS,621.0,8.6,
misex1_241,15,2100,TKET,1398.0,0.9376966953277588,
,,,,,,
mod5mils_65,5,16,EffectiveQM,0.0,0.0046,
mod5mils_65,5,16,ILS,0.0,0.06964999999999999,
mod5mils_65,5,16,Qiskit,5.1,0.30957367420196535,
mod5mils_65,5,16,SAHS,0.0,1.892331600189209,
mod5mils_65,5,16,FiDLS,0.0,0.0,
mod5mils_65,5,16,TKET,9.0,0.017710208892822266,
,,,,,,
qft_10,10,90,EffectiveQM,27.3,12.863900000000001,
qft_10,10,90,ILS,30.9,18.002850000000002,
qft_10,10,90,Qiskit,37.2,0.3478422164916992,
qft_10,10,90,SAHS,42.6,3.9750860214233397,
qft_10,10,90,FiDLS,45.0,1.01,
qft_10,10,90,TKET,57.0,0.023219585418701172,
,,,,,,
qft_13,13,156,EffectiveQM,62.1,40.7926,
qft_13,13,156,ILS,73.65,13.649050000000003,
qft_13,13,156,Qiskit,84.3,0.7476897716522217,
qft_13,13,156,SAHS,91.5,5.826331281661988,
qft_13,13,156,FiDLS,108.0,1.51,
qft_13,13,156,TKET,120.0,0.028824329376220703,
,,,,,,
qft_16,16,240,EffectiveQM,115.5,85.50560000000002,
qft_16,16,240,ILS,133.2,22.238500000000002,
qft_16,16,240,Qiskit,150.9,0.5791309118270874,
qft_16,16,240,SAHS,168.9,8.98570363521576,
qft_16,16,240,FiDLS,189.0,3.17,
qft_16,16,240,TKET,225.0,0.06722187995910645,
,,,,,,
qft_20,20,380,EffectiveQM,219.0,217.29010000000002,
qft_20,20,380,ILS,252.9,74.56565,
qft_20,20,380,Qiskit,260.4,1.2244670629501342,
qft_20,20,380,SAHS,292.8,15.147653222084045,
qft_20,20,380,FiDLS,318.0,6.88,
qft_20,20,380,TKET,351.0,0.11415266990661621,
,,,,,,
radd_250,13,1405,EffectiveQM,526.2,72.1831,
radd_250,13,1405,ILS,634.95,17.108049999999995,
radd_250,13,1405,Qiskit,1289.1,3.1154675245285035,
radd_250,13,1405,SAHS,782.7,41.97122306823731,
radd_250,13,1405,FiDLS,534.0,36.33,
radd_250,13,1405,TKET,1074.0,0.40262866020202637,
,,,,,,
rd73_252,10,2319,EffectiveQM,784.5,122.02630000000002,
rd73_252,10,2319,ILS,984.3,46.158850000000015,
rd73_252,10,2319,Qiskit,2095.2,4.515796041488647,
rd73_252,10,2319,SAHS,1270.2,70.86455726623535,
rd73_252,10,2319,FiDLS,726.0,20.99,
rd73_252,10,2319,TKET,1815.0,0.5923292636871338,
,,,,,,
rd84_142,15,154,EffectiveQM,56.1,20.331599999999998,
rd84_142,15,154,ILS,74.85,1.5322,
rd84_142,15,154,Qiskit,123.3,0.49736082553863525,
rd84_142,15,154,SAHS,111.9,5.809315943717957,
rd84_142,15,154,FiDLS,81.0,1.37,
rd84_142,15,154,TKET,99.0,0.05366945266723633,
,,,,,,
rd84_253,12,5960,EffectiveQM,2231.4,241.10759999999996,
rd84_253,12,5960,ILS,2688.3,29.176,
rd84_253,12,5960,Qiskit,5908.2,8.329363417625427,
rd84_253,12,5960,SAHS,3268.5,202.99647328853607,
rd84_253,12,5960,FiDLS,2952.0,100.0,
rd84_253,12,5960,TKET,3837.0,1.3970906734466553,
,,,,,,
sqn_258,10,4459,EffectiveQM,1485.3,176.9976,
sqn_258,10,4459,ILS,1753.65,99.70724999999997,
sqn_258,10,4459,Qiskit,3904.2,7.491247320175171,
sqn_258,10,4459,SAHS,2172.0,140.89072363376619,
sqn_258,10,4459,FiDLS,1323.0,25.6,
sqn_258,10,4459,TKET,2673.0,1.2512822151184082,
,,,,,,
square_root_7,15,3089,EffectiveQM,777.0,222.7886,
square_root_7,15,3089,ILS,1119.3,36.61844999999999,
square_root_7,15,3089,Qiskit,2451.0,5.450576496124268,
square_root_7,15,3089,SAHS,1608.6,102.41253488063812,
square_root_7,15,3089,FiDLS,1140.0,181.95,
square_root_7,15,3089,TKET,1632.0,1.1460185050964355,
,,,,,,
sym6_145,7,1701,EffectiveQM,461.1,61.74159999999999,
sym6_145,7,1701,ILS,517.95,6.728200000000001,
sym6_145,7,1701,Qiskit,1318.8,3.4460213422775268,
sym6_145,7,1701,SAHS,796.5,49.98952515125275,
sym6_145,7,1701,FiDLS,399.0,2.77,
sym6_145,7,1701,TKET,801.0,0.2537107467651367,
,,,,,,
sym9_193,11,15232,EffectiveQM,5283.6,615.2377,
sym9_193,11,15232,ILS,6394.5,141.20110000000003,
sym9_193,11,15232,Qiskit,15674.4,24.354243087768555,
sym9_193,11,15232,SAHS,7567.8,622.8901439666748,
sym9_193,11,15232,FiDLS,5481.0,142.79,
sym9_193,11,15232,TKET,10806.0,4.512153387069702,
,,,,,,
z4_268,11,1343,EffectiveQM,430.2,76.73849999999999,
z4_268,11,1343,ILS,514.8,18.66675,
z4_268,11,1343,Qiskit,1149.9,1.9697287559509278,
z4_268,11,1343,SAHS,675.6,40.08232810497284,
z4_268,11,1343,FiDLS,576.0,18.86,
z4_268,11,1343,TKET,1140.0,0.3896791934967041,
,,,,,,
