benchmark,qubits,gates,name,added gate,time(s)
QUKENO_Q16_16QBT_large_gate_opt1_0_1.5_no.0,16,9,EffectiveQM_abalation_bridge,0.0,0.0015,
QUKENO_Q16_16QBT_large_gate_opt1_0_1.5_no.0,16,9,EffectiveQM,0.0,0.09250000000000001,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_0_1.5_no.1,16,12,EffectiveQM_abalation_bridge,0.0,0.0047,
QUKENO_Q16_16QBT_large_gate_opt1_0_1.5_no.1,16,12,EffectiveQM,0.0,0.1439,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_10_1.5_no.0,16,109,EffectiveQM_abalation_bridge,27.0,22.273000000000003,
QUKENO_Q16_16QBT_large_gate_opt1_10_1.5_no.0,16,109,EffectiveQM,29.1,17.005100000000002,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_10_1.5_no.4,16,111,EffectiveQM_abalation_bridge,30.0,28.632600000000004,
QUKENO_Q16_16QBT_large_gate_opt1_10_1.5_no.4,16,111,EffectiveQM,30.0,18.2989,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_15_1.5_no.0,16,163,EffectiveQM_abalation_bridge,45.0,48.567699999999995,
QUKENO_Q16_16QBT_large_gate_opt1_15_1.5_no.0,16,163,EffectiveQM,45.0,27.707899999999995,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_15_1.5_no.4,16,167,EffectiveQM_abalation_bridge,45.0,42.3446,
QUKENO_Q16_16QBT_large_gate_opt1_15_1.5_no.4,16,167,EffectiveQM,45.0,23.628999999999998,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_1_1.5_no.0,16,21,EffectiveQM_abalation_bridge,3.0,3.6121000000000003,
QUKENO_Q16_16QBT_large_gate_opt1_1_1.5_no.0,16,21,EffectiveQM,4.8,2.3584,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_1_1.5_no.2,16,19,EffectiveQM_abalation_bridge,3.0,2.4942,
QUKENO_Q16_16QBT_large_gate_opt1_1_1.5_no.2,16,19,EffectiveQM,3.0,2.3388999999999998,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_20_1.5_no.4,16,224,EffectiveQM_abalation_bridge,66.0,49.3561,
QUKENO_Q16_16QBT_large_gate_opt1_20_1.5_no.4,16,224,EffectiveQM,69.0,35.7295,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_20_1.5_no.9,16,211,EffectiveQM_abalation_bridge,63.0,48.5339,
QUKENO_Q16_16QBT_large_gate_opt1_20_1.5_no.9,16,211,EffectiveQM,63.3,42.29430000000001,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_25_1.5_no.1,16,257,EffectiveQM_abalation_bridge,75.0,52.061099999999996,
QUKENO_Q16_16QBT_large_gate_opt1_25_1.5_no.1,16,257,EffectiveQM,78.0,44.3977,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_25_1.5_no.6,16,267,EffectiveQM_abalation_bridge,75.0,61.726800000000004,
QUKENO_Q16_16QBT_large_gate_opt1_25_1.5_no.6,16,267,EffectiveQM,75.0,40.579800000000006,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_2_1.5_no.4,16,35,EffectiveQM_abalation_bridge,6.0,12.873500000000002,
QUKENO_Q16_16QBT_large_gate_opt1_2_1.5_no.4,16,35,EffectiveQM,8.7,9.3393,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_2_1.5_no.8,16,30,EffectiveQM_abalation_bridge,6.0,8.668899999999999,
QUKENO_Q16_16QBT_large_gate_opt1_2_1.5_no.8,16,30,EffectiveQM,7.2,7.5562999999999985,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_3_1.5_no.7,16,44,EffectiveQM_abalation_bridge,9.0,13.3613,
QUKENO_Q16_16QBT_large_gate_opt1_3_1.5_no.7,16,44,EffectiveQM,9.3,8.6304,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_3_1.5_no.8,16,42,EffectiveQM_abalation_bridge,9.0,12.1217,
QUKENO_Q16_16QBT_large_gate_opt1_3_1.5_no.8,16,42,EffectiveQM,9.3,12.647599999999999,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_4_1.5_no.1,16,53,EffectiveQM_abalation_bridge,12.0,17.584899999999998,
QUKENO_Q16_16QBT_large_gate_opt1_4_1.5_no.1,16,53,EffectiveQM,14.4,12.0705,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_4_1.5_no.2,16,50,EffectiveQM_abalation_bridge,12.0,16.4384,
QUKENO_Q16_16QBT_large_gate_opt1_4_1.5_no.2,16,50,EffectiveQM,12.0,9.394,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_5_1.5_no.2,16,58,EffectiveQM_abalation_bridge,15.0,19.508100000000002,
QUKENO_Q16_16QBT_large_gate_opt1_5_1.5_no.2,16,58,EffectiveQM,15.0,10.626900000000001,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt1_5_1.5_no.9,16,61,EffectiveQM_abalation_bridge,15.0,14.652600000000001,
QUKENO_Q16_16QBT_large_gate_opt1_5_1.5_no.9,16,61,EffectiveQM,15.0,9.852,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_0_1.5_no.0,16,9,EffectiveQM_abalation_bridge,0.0,0.0018,
QUKENO_Q16_16QBT_large_gate_opt2_0_1.5_no.0,16,9,EffectiveQM,0.0,0.09890000000000002,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_0_1.5_no.1,16,11,EffectiveQM_abalation_bridge,0.0,0.0108,
QUKENO_Q16_16QBT_large_gate_opt2_0_1.5_no.1,16,11,EffectiveQM,0.0,0.1869,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_10_1.5_no.4,16,69,EffectiveQM_abalation_bridge,33.0,27.8936,
QUKENO_Q16_16QBT_large_gate_opt2_10_1.5_no.4,16,69,EffectiveQM,33.0,15.680600000000002,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_10_1.5_no.9,16,58,EffectiveQM_abalation_bridge,18.0,19.768099999999997,
QUKENO_Q16_16QBT_large_gate_opt2_10_1.5_no.9,16,58,EffectiveQM,20.4,14.3349,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_15_1.5_no.2,16,94,EffectiveQM_abalation_bridge,42.6,51.387299999999996,
QUKENO_Q16_16QBT_large_gate_opt2_15_1.5_no.2,16,94,EffectiveQM,49.2,33.4493,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_15_1.5_no.3,16,92,EffectiveQM_abalation_bridge,50.7,43.779700000000005,
QUKENO_Q16_16QBT_large_gate_opt2_15_1.5_no.3,16,92,EffectiveQM,49.5,27.2534,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_1_1.5_no.3,16,21,EffectiveQM_abalation_bridge,3.0,2.3282999999999996,
QUKENO_Q16_16QBT_large_gate_opt2_1_1.5_no.3,16,21,EffectiveQM,3.0,2.6832000000000003,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_1_1.5_no.9,16,19,EffectiveQM_abalation_bridge,3.0,2.7496,
QUKENO_Q16_16QBT_large_gate_opt2_1_1.5_no.9,16,19,EffectiveQM,3.0,2.4873000000000003,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_20_1.5_no.0,16,113,EffectiveQM_abalation_bridge,65.1,69.6229,
QUKENO_Q16_16QBT_large_gate_opt2_20_1.5_no.0,16,113,EffectiveQM,67.8,34.6925,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_20_1.5_no.1,16,106,EffectiveQM_abalation_bridge,54.0,43.49250000000001,
QUKENO_Q16_16QBT_large_gate_opt2_20_1.5_no.1,16,106,EffectiveQM,55.8,22.6884,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_25_1.5_no.4,16,148,EffectiveQM_abalation_bridge,76.5,102.0004,
QUKENO_Q16_16QBT_large_gate_opt2_25_1.5_no.4,16,148,EffectiveQM,71.1,47.831199999999995,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_25_1.5_no.5,16,153,EffectiveQM_abalation_bridge,78.9,82.57169999999999,
QUKENO_Q16_16QBT_large_gate_opt2_25_1.5_no.5,16,153,EffectiveQM,73.2,48.7743,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_2_1.5_no.2,16,20,EffectiveQM_abalation_bridge,3.0,2.9183,
QUKENO_Q16_16QBT_large_gate_opt2_2_1.5_no.2,16,20,EffectiveQM,4.5,1.9721999999999997,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_2_1.5_no.3,16,20,EffectiveQM_abalation_bridge,3.0,2.8127000000000004,
QUKENO_Q16_16QBT_large_gate_opt2_2_1.5_no.3,16,20,EffectiveQM,3.0,2.4986,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_3_1.5_no.0,16,33,EffectiveQM_abalation_bridge,9.0,9.0404,
QUKENO_Q16_16QBT_large_gate_opt2_3_1.5_no.0,16,33,EffectiveQM,10.2,6.944599999999999,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_3_1.5_no.7,16,32,EffectiveQM_abalation_bridge,9.0,10.6045,
QUKENO_Q16_16QBT_large_gate_opt2_3_1.5_no.7,16,32,EffectiveQM,9.3,9.246100000000002,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_4_1.5_no.3,16,30,EffectiveQM_abalation_bridge,6.0,7.2003,
QUKENO_Q16_16QBT_large_gate_opt2_4_1.5_no.3,16,30,EffectiveQM,7.2,5.386100000000001,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_4_1.5_no.4,16,30,EffectiveQM_abalation_bridge,9.0,9.9999,
QUKENO_Q16_16QBT_large_gate_opt2_4_1.5_no.4,16,30,EffectiveQM,11.1,5.4263,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_5_1.5_no.2,16,36,EffectiveQM_abalation_bridge,12.0,10.4772,
QUKENO_Q16_16QBT_large_gate_opt2_5_1.5_no.2,16,36,EffectiveQM,12.0,4.7355,
,,,,,,
QUKENO_Q16_16QBT_large_gate_opt2_5_1.5_no.9,16,45,EffectiveQM_abalation_bridge,15.0,12.251100000000001,
QUKENO_Q16_16QBT_large_gate_opt2_5_1.5_no.9,16,45,EffectiveQM,15.0,7.939100000000001,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_0_1.5_no.0,16,5,EffectiveQM_abalation_bridge,0.0,0.0012000000000000001,
QUKENO_Q16_16QBT_small_gate_opt1_0_1.5_no.0,16,5,EffectiveQM,0.0,0.0056,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_0_1.5_no.1,16,5,EffectiveQM_abalation_bridge,0.0,0.0001,
QUKENO_Q16_16QBT_small_gate_opt1_0_1.5_no.1,16,5,EffectiveQM,0.0,0.0048000000000000004,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_10_1.5_no.3,16,67,EffectiveQM_abalation_bridge,27.0,25.997000000000003,
QUKENO_Q16_16QBT_small_gate_opt1_10_1.5_no.3,16,67,EffectiveQM,32.7,18.657400000000003,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_10_1.5_no.4,16,60,EffectiveQM_abalation_bridge,18.0,14.517200000000003,
QUKENO_Q16_16QBT_small_gate_opt1_10_1.5_no.4,16,60,EffectiveQM,15.3,8.293,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_15_1.5_no.1,16,96,EffectiveQM_abalation_bridge,36.0,40.7519,
QUKENO_Q16_16QBT_small_gate_opt1_15_1.5_no.1,16,96,EffectiveQM,36.0,18.9535,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_15_1.5_no.3,16,91,EffectiveQM_abalation_bridge,39.0,31.4433,
QUKENO_Q16_16QBT_small_gate_opt1_15_1.5_no.3,16,91,EffectiveQM,33.0,20.166800000000002,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_1_1.5_no.0,16,11,EffectiveQM_abalation_bridge,0.0,0.002,
QUKENO_Q16_16QBT_small_gate_opt1_1_1.5_no.0,16,11,EffectiveQM,0.0,0.0435,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_1_1.5_no.1,16,12,EffectiveQM_abalation_bridge,0.0,0.0103,
QUKENO_Q16_16QBT_small_gate_opt1_1_1.5_no.1,16,12,EffectiveQM,0.0,0.20800000000000002,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_20_1.5_no.2,16,118,EffectiveQM_abalation_bridge,50.4,44.0195,
QUKENO_Q16_16QBT_small_gate_opt1_20_1.5_no.2,16,118,EffectiveQM,51.9,27.5057,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_20_1.5_no.7,16,118,EffectiveQM_abalation_bridge,57.9,69.5008,
QUKENO_Q16_16QBT_small_gate_opt1_20_1.5_no.7,16,118,EffectiveQM,58.5,29.0825,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_25_1.5_no.2,16,149,EffectiveQM_abalation_bridge,54.0,52.4259,
QUKENO_Q16_16QBT_small_gate_opt1_25_1.5_no.2,16,149,EffectiveQM,48.0,25.859199999999998,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_25_1.5_no.4,16,144,EffectiveQM_abalation_bridge,57.0,62.123400000000004,
QUKENO_Q16_16QBT_small_gate_opt1_25_1.5_no.4,16,144,EffectiveQM,56.7,32.775600000000004,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_2_1.5_no.0,16,18,EffectiveQM_abalation_bridge,0.0,0.0688,
QUKENO_Q16_16QBT_small_gate_opt1_2_1.5_no.0,16,18,EffectiveQM,1.5,1.2875,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_2_1.5_no.2,16,16,EffectiveQM_abalation_bridge,0.0,0.0172,
QUKENO_Q16_16QBT_small_gate_opt1_2_1.5_no.2,16,16,EffectiveQM,0.0,0.09240000000000001,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_3_1.5_no.3,16,20,EffectiveQM_abalation_bridge,0.0,0.0194,
QUKENO_Q16_16QBT_small_gate_opt1_3_1.5_no.3,16,20,EffectiveQM,0.0,0.2266,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_3_1.5_no.4,16,22,EffectiveQM_abalation_bridge,3.0,3.3553000000000006,
QUKENO_Q16_16QBT_small_gate_opt1_3_1.5_no.4,16,22,EffectiveQM,3.0,2.1726,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_4_1.5_no.0,16,24,EffectiveQM_abalation_bridge,0.0,0.3601,
QUKENO_Q16_16QBT_small_gate_opt1_4_1.5_no.0,16,24,EffectiveQM,1.2,1.2664,
,,,,,,
QUKENO_Q16_16QBT_small_gate_opt1_4_1.5_no.9,16,30,EffectiveQM_abalation_bridge,6.0,5.6983,
