benchmark,qubits,gates,name,added gate,time(s)
QUKENO_guadalupe_16QBT_large_gate_opt1_0_1.5_no.0,16,9,EffectiveQM_abalation_bridge,0.0,0.013300000000000001,
QUKENO_guadalupe_16QBT_large_gate_opt1_0_1.5_no.0,16,9,EffectiveQM,0.0,0.1135,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_0_1.5_no.1,16,8,EffectiveQM_abalation_bridge,0.0,0.004600000000000001,
QUKENO_guadalupe_16QBT_large_gate_opt1_0_1.5_no.1,16,8,EffectiveQM,0.0,0.0295,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_10_1.5_no.0,16,109,EffectiveQM_abalation_bridge,30.0,15.069999999999997,
QUKENO_guadalupe_16QBT_large_gate_opt1_10_1.5_no.0,16,109,EffectiveQM,27.6,10.145800000000001,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_10_1.5_no.1,16,111,EffectiveQM_abalation_bridge,30.0,14.8392,
QUKENO_guadalupe_16QBT_large_gate_opt1_10_1.5_no.1,16,111,EffectiveQM,30.0,9.4827,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_15_1.5_no.1,16,157,EffectiveQM_abalation_bridge,45.0,30.004100000000005,
QUKENO_guadalupe_16QBT_large_gate_opt1_15_1.5_no.1,16,157,EffectiveQM,48.0,16.550199999999997,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_15_1.5_no.8,16,161,EffectiveQM_abalation_bridge,45.0,21.4564,
QUKENO_guadalupe_16QBT_large_gate_opt1_15_1.5_no.8,16,161,EffectiveQM,45.0,13.261600000000001,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_1_1.5_no.2,16,22,EffectiveQM_abalation_bridge,3.0,3.3268,
QUKENO_guadalupe_16QBT_large_gate_opt1_1_1.5_no.2,16,22,EffectiveQM,3.0,3.1229,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_1_1.5_no.3,16,19,EffectiveQM_abalation_bridge,3.3,4.9134,
QUKENO_guadalupe_16QBT_large_gate_opt1_1_1.5_no.3,16,19,EffectiveQM,4.2,2.9766999999999997,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_20_1.5_no.6,16,211,EffectiveQM_abalation_bridge,60.0,27.7536,
QUKENO_guadalupe_16QBT_large_gate_opt1_20_1.5_no.6,16,211,EffectiveQM,63.0,19.367700000000003,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_20_1.5_no.7,16,212,EffectiveQM_abalation_bridge,60.0,28.346000000000004,
QUKENO_guadalupe_16QBT_large_gate_opt1_20_1.5_no.7,16,212,EffectiveQM,63.0,16.829900000000002,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_25_1.5_no.0,16,264,EffectiveQM_abalation_bridge,75.0,34.128800000000005,
QUKENO_guadalupe_16QBT_large_gate_opt1_25_1.5_no.0,16,264,EffectiveQM,78.0,21.622299999999996,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_25_1.5_no.9,16,267,EffectiveQM_abalation_bridge,75.0,36.3316,
QUKENO_guadalupe_16QBT_large_gate_opt1_25_1.5_no.9,16,267,EffectiveQM,75.0,21.4872,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_2_1.5_no.3,16,32,EffectiveQM_abalation_bridge,6.0,5.9527,
QUKENO_guadalupe_16QBT_large_gate_opt1_2_1.5_no.3,16,32,EffectiveQM,6.0,3.5778000000000008,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_2_1.5_no.7,16,32,EffectiveQM_abalation_bridge,6.0,6.0705,
QUKENO_guadalupe_16QBT_large_gate_opt1_2_1.5_no.7,16,32,EffectiveQM,6.0,3.9399,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_3_1.5_no.0,16,38,EffectiveQM_abalation_bridge,9.0,7.1058,
QUKENO_guadalupe_16QBT_large_gate_opt1_3_1.5_no.0,16,38,EffectiveQM,9.0,4.4097,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_3_1.5_no.6,16,42,EffectiveQM_abalation_bridge,9.0,7.7605,
QUKENO_guadalupe_16QBT_large_gate_opt1_3_1.5_no.6,16,42,EffectiveQM,9.0,4.4475999999999996,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_4_1.5_no.6,16,48,EffectiveQM_abalation_bridge,12.0,9.3198,
QUKENO_guadalupe_16QBT_large_gate_opt1_4_1.5_no.6,16,48,EffectiveQM,12.0,4.631700000000001,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_4_1.5_no.7,16,50,EffectiveQM_abalation_bridge,12.0,8.4911,
QUKENO_guadalupe_16QBT_large_gate_opt1_4_1.5_no.7,16,50,EffectiveQM,12.0,5.166600000000001,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_5_1.5_no.5,16,57,EffectiveQM_abalation_bridge,15.0,8.2063,
QUKENO_guadalupe_16QBT_large_gate_opt1_5_1.5_no.5,16,57,EffectiveQM,15.0,5.1566,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt1_5_1.5_no.8,16,58,EffectiveQM_abalation_bridge,15.0,8.6584,
QUKENO_guadalupe_16QBT_large_gate_opt1_5_1.5_no.8,16,58,EffectiveQM,17.7,5.6349,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_0_1.5_no.1,16,10,EffectiveQM_abalation_bridge,0.0,0.0194,
QUKENO_guadalupe_16QBT_large_gate_opt2_0_1.5_no.1,16,10,EffectiveQM,0.0,0.11979999999999999,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_0_1.5_no.2,16,9,EffectiveQM_abalation_bridge,0.0,0.007499999999999998,
QUKENO_guadalupe_16QBT_large_gate_opt2_0_1.5_no.2,16,9,EffectiveQM,0.0,0.0665,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_10_1.5_no.1,16,59,EffectiveQM_abalation_bridge,30.0,11.5801,
QUKENO_guadalupe_16QBT_large_gate_opt2_10_1.5_no.1,16,59,EffectiveQM,30.0,6.872199999999999,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_10_1.5_no.5,16,71,EffectiveQM_abalation_bridge,30.0,15.613999999999999,
QUKENO_guadalupe_16QBT_large_gate_opt2_10_1.5_no.5,16,71,EffectiveQM,31.2,10.243100000000002,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_15_1.5_no.3,16,85,EffectiveQM_abalation_bridge,36.0,14.3045,
QUKENO_guadalupe_16QBT_large_gate_opt2_15_1.5_no.3,16,85,EffectiveQM,36.0,8.365599999999999,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_15_1.5_no.7,16,93,EffectiveQM_abalation_bridge,45.0,16.378600000000002,
QUKENO_guadalupe_16QBT_large_gate_opt2_15_1.5_no.7,16,93,EffectiveQM,45.0,11.3414,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_1_1.5_no.8,16,18,EffectiveQM_abalation_bridge,4.2,3.498100000000001,
QUKENO_guadalupe_16QBT_large_gate_opt2_1_1.5_no.8,16,18,EffectiveQM,4.5,2.5484999999999998,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_1_1.5_no.9,16,21,EffectiveQM_abalation_bridge,6.0,4.8299,
QUKENO_guadalupe_16QBT_large_gate_opt2_1_1.5_no.9,16,21,EffectiveQM,6.6,2.7983000000000002,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_20_1.5_no.4,16,108,EffectiveQM_abalation_bridge,57.0,21.9573,
QUKENO_guadalupe_16QBT_large_gate_opt2_20_1.5_no.4,16,108,EffectiveQM,69.0,13.8166,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_20_1.5_no.5,16,118,EffectiveQM_abalation_bridge,57.0,21.371100000000002,
QUKENO_guadalupe_16QBT_large_gate_opt2_20_1.5_no.5,16,118,EffectiveQM,57.3,13.137,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_25_1.5_no.4,16,150,EffectiveQM_abalation_bridge,83.1,29.184499999999996,
QUKENO_guadalupe_16QBT_large_gate_opt2_25_1.5_no.4,16,150,EffectiveQM,81.0,15.297,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_25_1.5_no.5,16,145,EffectiveQM_abalation_bridge,72.0,26.2575,
QUKENO_guadalupe_16QBT_large_gate_opt2_25_1.5_no.5,16,145,EffectiveQM,66.0,15.045300000000001,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_2_1.5_no.2,16,18,EffectiveQM_abalation_bridge,3.0,3.8735999999999997,
QUKENO_guadalupe_16QBT_large_gate_opt2_2_1.5_no.2,16,18,EffectiveQM,4.2,3.0553,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_2_1.5_no.8,16,18,EffectiveQM_abalation_bridge,3.0,3.2607999999999997,
QUKENO_guadalupe_16QBT_large_gate_opt2_2_1.5_no.8,16,18,EffectiveQM,3.6,2.4678999999999998,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_3_1.5_no.2,16,31,EffectiveQM_abalation_bridge,9.0,6.2646999999999995,
QUKENO_guadalupe_16QBT_large_gate_opt2_3_1.5_no.2,16,31,EffectiveQM,9.0,3.8726,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_3_1.5_no.6,16,28,EffectiveQM_abalation_bridge,9.0,5.1735,
QUKENO_guadalupe_16QBT_large_gate_opt2_3_1.5_no.6,16,28,EffectiveQM,9.0,4.0672999999999995,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_4_1.5_no.1,16,33,EffectiveQM_abalation_bridge,9.0,6.1851,
QUKENO_guadalupe_16QBT_large_gate_opt2_4_1.5_no.1,16,33,EffectiveQM,9.0,3.9757,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_4_1.5_no.2,16,30,EffectiveQM_abalation_bridge,9.6,6.2012,
QUKENO_guadalupe_16QBT_large_gate_opt2_4_1.5_no.2,16,30,EffectiveQM,9.0,4.286700000000001,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_5_1.5_no.2,16,39,EffectiveQM_abalation_bridge,18.9,8.3055,
QUKENO_guadalupe_16QBT_large_gate_opt2_5_1.5_no.2,16,39,EffectiveQM,15.0,3.9303,
,,,,,,
QUKENO_guadalupe_16QBT_large_gate_opt2_5_1.5_no.4,16,35,EffectiveQM_abalation_bridge,12.0,6.012200000000001,
QUKENO_guadalupe_16QBT_large_gate_opt2_5_1.5_no.4,16,35,EffectiveQM,12.0,4.2328,
,,,,,,
QUKENO_guadalupe_16QBT_small_gate_opt1_0_1.5_no.0,16,8,EffectiveQM_abalation_bridge,0.0,0.0057,
QUKENO_guadalupe_16QBT_small_gate_opt1_0_1.5_no.0,16,8,EffectiveQM,0.0,0.008,
,,,,,,
QUKENO_guadalupe_16QBT_small_gate_opt1_0_1.5_no.1,16,8,EffectiveQM_abalation_bridge,0.0,0.0034000000000000002,
QUKENO_guadalupe_16QBT_small_gate_opt1_0_1.5_no.1,16,8,EffectiveQM,0.0,0.014200000000000004,
,,,,,,
QUKENO_guadalupe_16QBT_small_gate_opt1_10_1.5_no.1,16,65,EffectiveQM_abalation_bridge,30.0,13.249599999999997,
QUKENO_guadalupe_16QBT_small_gate_opt1_10_1.5_no.1,16,65,EffectiveQM,30.3,8.1585,
,,,,,,
QUKENO_guadalupe_16QBT_small_gate_opt1_10_1.5_no.8,16,63,EffectiveQM_abalation_bridge,33.0,13.528,
QUKENO_guadalupe_16QBT_small_gate_opt1_10_1.5_no.8,16,63,EffectiveQM,30.0,6.0689,
,,,,,,
QUKENO_guadalupe_16QBT_small_gate_opt1_15_1.5_no.1,16,93,EffectiveQM_abalation_bridge,45.0,14.5655,
QUKENO_guadalupe_16QBT_small_gate_opt1_15_1.5_no.1,16,93,EffectiveQM,42.0,7.5179,
,,,,,,
QUKENO_guadalupe_16QBT_small_gate_opt1_15_1.5_no.6,16,88,EffectiveQM_abalation_bridge,48.0,15.139200000000002,
QUKENO_guadalupe_16QBT_small_gate_opt1_15_1.5_no.6,16,88,EffectiveQM,43.2,11.3713,
,,,,,,
QUKENO_guadalupe_16QBT_small_gate_opt1_1_1.5_no.0,16,12,EffectiveQM_abalation_bridge,3.0,1.2234,
QUKENO_guadalupe_16QBT_small_gate_opt1_1_1.5_no.0,16,12,EffectiveQM,3.0,1.009,
,,,,,,
QUKENO_guadalupe_16QBT_small_gate_opt1_1_1.5_no.1,16,11,EffectiveQM_abalation_bridge,3.0,0.8480000000000001,
