benchmark,qubits,gates,name,added gate,time(s)
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_0_1.5_no.5,53,20,EffectiveQM_abalation_bridge,0.0,0.24610000000000004,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_0_1.5_no.5,53,20,EffectiveQM,3.3,1001.7656000000001,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_0_1.5_no.6,53,17,EffectiveQM_abalation_bridge,0.0,0.038200000000000005,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_0_1.5_no.6,53,17,EffectiveQM,2.7,427.8672,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_10_1.5_no.5,53,209,EffectiveQM_abalation_bridge,166.8,588.7883999999999,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_10_1.5_no.5,53,209,EffectiveQM,168.3,3584.0689999999995,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_10_1.5_no.8,53,201,EffectiveQM_abalation_bridge,127.8,722.0380999999999,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_10_1.5_no.8,53,201,EffectiveQM,156.9,3600.9339999999997,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_15_1.5_no.2,53,298,EffectiveQM_abalation_bridge,154.8,624.7414999999999,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_15_1.5_no.2,53,298,EffectiveQM,223.8,3600.881,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_15_1.5_no.8,53,307,EffectiveQM_abalation_bridge,98.7,622.2291000000001,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_15_1.5_no.8,53,307,EffectiveQM,190.8,3595.011,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_1_1.5_no.1,53,39,EffectiveQM_abalation_bridge,4.2,100.3955,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_1_1.5_no.1,53,39,EffectiveQM,9.6,2245.996,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_1_1.5_no.7,53,42,EffectiveQM_abalation_bridge,7.5,70.8022,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_1_1.5_no.7,53,42,EffectiveQM,12.9,3227.375,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_20_1.5_no.7,53,388,EffectiveQM_abalation_bridge,70.2,903.0545999999998,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_20_1.5_no.7,53,388,EffectiveQM,205.5,3608.1440000000002,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_20_1.5_no.9,53,388,EffectiveQM_abalation_bridge,159.6,782.7346,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_20_1.5_no.9,53,388,EffectiveQM,242.7,3601.3599999999997,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_25_1.5_no.0,53,494,EffectiveQM_abalation_bridge,101.7,812.2703,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_25_1.5_no.0,53,494,EffectiveQM,258.6,3604.764,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_25_1.5_no.7,53,478,EffectiveQM_abalation_bridge,75.0,970.2599,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_25_1.5_no.7,53,478,EffectiveQM,219.6,3600.525,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_2_1.5_no.3,53,53,EffectiveQM_abalation_bridge,16.2,118.47739999999999,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_2_1.5_no.3,53,53,EffectiveQM,24.0,3437.488,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_2_1.5_no.6,53,62,EffectiveQM_abalation_bridge,16.2,197.6082,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_2_1.5_no.6,53,62,EffectiveQM,19.2,3602.45,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_3_1.5_no.3,53,77,EffectiveQM_abalation_bridge,32.4,331.84919999999994,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_3_1.5_no.3,53,77,EffectiveQM,36.0,3534.5560000000005,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_3_1.5_no.8,53,72,EffectiveQM_abalation_bridge,43.5,362.3116,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_3_1.5_no.8,53,72,EffectiveQM,54.9,3604.3520000000003,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_4_1.5_no.5,53,96,EffectiveQM_abalation_bridge,60.6,343.3711,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_4_1.5_no.5,53,96,EffectiveQM,73.5,3538.993,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_4_1.5_no.7,53,95,EffectiveQM_abalation_bridge,52.2,450.9552,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_4_1.5_no.7,53,95,EffectiveQM,66.6,3611.084,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_5_1.5_no.3,53,115,EffectiveQM_abalation_bridge,101.4,419.601,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_5_1.5_no.3,53,115,EffectiveQM,111.9,3600.6100000000006,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_5_1.5_no.4,53,119,EffectiveQM_abalation_bridge,93.6,351.748,
QUKENO_rochester_53QBT_gate_Rochester_large_opt1_5_1.5_no.4,53,119,EffectiveQM,95.4,3602.968,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt2_0_1.5_no.2,53,21,EffectiveQM_abalation_bridge,0.0,2.7178,
QUKENO_rochester_53QBT_gate_Rochester_large_opt2_0_1.5_no.2,53,21,EffectiveQM,4.8,864.9949999999999,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt2_0_1.5_no.9,53,20,EffectiveQM_abalation_bridge,0.0,0.2334,
QUKENO_rochester_53QBT_gate_Rochester_large_opt2_0_1.5_no.9,53,20,EffectiveQM,2.7,671.0097,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt2_10_1.5_no.8,53,116,EffectiveQM_abalation_bridge,121.2,530.5002000000001,
QUKENO_rochester_53QBT_gate_Rochester_large_opt2_10_1.5_no.8,53,116,EffectiveQM,129.3,3588.392,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt2_10_1.5_no.9,53,109,EffectiveQM_abalation_bridge,108.0,626.5139000000001,
QUKENO_rochester_53QBT_gate_Rochester_large_opt2_10_1.5_no.9,53,109,EffectiveQM,126.6,3602.6589999999997,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt2_15_1.5_no.7,53,174,EffectiveQM_abalation_bridge,151.2,763.7950000000001,
QUKENO_rochester_53QBT_gate_Rochester_large_opt2_15_1.5_no.7,53,174,EffectiveQM,170.4,3605.357,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt2_15_1.5_no.9,53,169,EffectiveQM_abalation_bridge,159.9,811.6600000000001,
QUKENO_rochester_53QBT_gate_Rochester_large_opt2_15_1.5_no.9,53,169,EffectiveQM,174.0,3600.5160000000005,
,,,,,,
QUKENO_rochester_53QBT_gate_Rochester_large_opt2_1_1.5_no.4,53,40,EffectiveQM_abalation_bridge,3.9,68.81219999999999,
